run_id,run_tier,paper_result,analysis_tier,experiment_id,configuration_id,seed,mechanism_id,code_commit,config_hash,input_manifest_hash,calibration_manifest_hash,generated_at,analysis_component,route_id,diagnostic_policy_id,n_rounds,structural_regret,route_regret,alignment_budget,structural_regret_rate,route_regret_rate,alignment_budget_rate,transfer_bound_rate,transfer_slack_rate,numerical_tolerance,transfer_invariant_pass,regret_stability_slack_rate,regret_stability_tolerance,regret_stability_invariant_pass,pairwise_sign_disagreement_rate,directed_choice_disagreement_rate,ranking_reversal_rate,complete_conflict_rate,complete_conflict_count,mean_structural_conflict_margin,min_structural_conflict_margin,mean_route_conflict_margin,min_route_conflict_margin,margin_preservation_rate,mean_reversal_margin,q10_reversal_margin,generated_mean_delay,empty_arrival_clock_rate,multiarrival_clock_rate,mean_route_map_age,max_route_map_age,structural_path_hash,delay_path_hash,bundle_hash,targeted_component,target_horizon,alignment_budget_tolerance,regret_stability_utilization,utilization_defined
exp1_alignment_transfer:targeted:full:targeted_systematic_horizon_10000:2026-09-10T09:09:32.424872+00:00,paper,True,targeted,exp1_alignment_transfer,targeted_systematic_horizon_10000,1,systematic_misbinding,3ddb55654ed7020ccecce1477ee0dd89c92f37d7,da85e70825466cff842b6ebf9a9b518dc6d40d23fd2f752124f37a433b92c063,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,2026-09-10T09:09:32.462359+00:00,route_map_diagnostic,arrival_assigned,route_greedy,10000,1541.6666666666665,0.0,5549.999999999999,0.15416666666666665,0.0,0.5549999999999999,0.5549999999999999,0.40083333333333326,1e-08,True,0.40083333333333326,1e-08,True,0.4107,0.4995,0.4995,0.4995,4995,0.308641975308642,0.3086419753086419,0.012345679012345671,0.012345679012345664,0.5005,0.308641975308642,0.3086419753086419,15.0,0.0,0.0,15.0,15,6238320e9258bb9e34637adb8b4b5002cc41b93c0c9da206e815c2a71c8bde23,2bf54c3e30b82bd9f99d486e372506efa84b5d0cc938fc097d2b77aa9d5ed7b8,eb1f0ba10c1a21dfba21ba6abf07bf69bc619c600008f8f222e3c2e0a897ab82,horizon_route_map,10000,0.0001,0.2777777777777778,True
exp1_alignment_transfer:targeted:full:targeted_systematic_horizon_10000:2026-09-10T09:09:32.424872+00:00,paper,True,targeted,exp1_alignment_transfer,targeted_systematic_horizon_10000,1,systematic_misbinding,3ddb55654ed7020ccecce1477ee0dd89c92f37d7,da85e70825466cff842b6ebf9a9b518dc6d40d23fd2f752124f37a433b92c063,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,2026-09-10T09:09:32.462359+00:00,route_map_diagnostic,source_bound,route_greedy,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,True,0.0,1e-08,True,0.0,0.0,0.0,0.0,0,,,,,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0,6238320e9258bb9e34637adb8b4b5002cc41b93c0c9da206e815c2a71c8bde23,2bf54c3e30b82bd9f99d486e372506efa84b5d0cc938fc097d2b77aa9d5ed7b8,eb1f0ba10c1a21dfba21ba6abf07bf69bc619c600008f8f222e3c2e0a897ab82,horizon_route_map,10000,0.0001,,False
exp1_alignment_transfer:targeted:full:targeted_systematic_horizon_1000:2026-09-10T09:09:35.494851+00:00,paper,True,targeted,exp1_alignment_transfer,targeted_systematic_horizon_1000,2,systematic_misbinding,3ddb55654ed7020ccecce1477ee0dd89c92f37d7,63d64e34a200ec61e73424bbad568ccfc3246f798eacff93f5f654190ad16a1d,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,2026-09-10T09:09:35.533556+00:00,route_map_diagnostic,arrival_assigned,route_greedy,1000,152.77777777777777,0.0,549.9999999999999,0.15277777777777776,0.0,0.5499999999999999,0.5499999999999999,0.3972222222222221,1e-08,True,0.3972222222222221,1e-08,True,0.4069999999999999,0.495,0.495,0.495,495,0.30864197530864196,0.3086419753086419,0.012345679012345671,0.012345679012345664,0.505,0.30864197530864196,0.3086419753086419,15.0,0.0,0.0,15.0,15,abfcc9fc8e68bac1cde4a04e3ab17321aa5961ebf808f6fabe26c064879f9ea5,f701d8dce5b55a65625bdb630322a60801453e406789b815807f69bd5943479a,ec4269a33f4ea07e3746bc9f12e523848adf16a3b67bd99f36e1f31108cb8e2d,horizon_route_map,1000,1e-05,0.27777777777777785,True
exp1_alignment_transfer:targeted:full:targeted_systematic_horizon_1000:2026-09-10T09:09:35.494851+00:00,paper,True,targeted,exp1_alignment_transfer,targeted_systematic_horizon_1000,2,systematic_misbinding,3ddb55654ed7020ccecce1477ee0dd89c92f37d7,63d64e34a200ec61e73424bbad568ccfc3246f798eacff93f5f654190ad16a1d,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,2026-09-10T09:09:35.533556+00:00,route_map_diagnostic,source_bound,route_greedy,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,True,0.0,1e-08,True,0.0,0.0,0.0,0.0,0,,,,,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0,abfcc9fc8e68bac1cde4a04e3ab17321aa5961ebf808f6fabe26c064879f9ea5,f701d8dce5b55a65625bdb630322a60801453e406789b815807f69bd5943479a,ec4269a33f4ea07e3746bc9f12e523848adf16a3b67bd99f36e1f31108cb8e2d,horizon_route_map,1000,1e-05,,False
exp1_alignment_transfer:targeted:full:targeted_systematic_horizon_5000:2026-09-10T09:09:35.937820+00:00,paper,True,targeted,exp1_alignment_transfer,targeted_systematic_horizon_5000,2,systematic_misbinding,3ddb55654ed7020ccecce1477ee0dd89c92f37d7,1738aa639b37c24c9a687969970adb435313e91ca717b336ca50525dd7d4e928,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,2026-09-10T09:09:35.978810+00:00,route_map_diagnostic,arrival_assigned,route_greedy,5000,770.0617283950617,0.0,2772.2222222222217,0.15401234567901234,0.0,0.5544444444444443,0.5544444444444443,0.400432098765432,1e-08,True,0.400432098765432,1e-08,True,0.41028888888888887,0.499,0.499,0.499,2495,0.308641975308642,0.3086419753086419,0.012345679012345671,0.012345679012345664,0.501,0.308641975308642,0.3086419753086419,15.0,0.0,0.0,15.0,15,fda1ec18b8adeb715bbfb9d8f55db76da330c5267c75c5d57a3045ca4f114baf,c6efb0a319c79012233e6d72ce34c34412dc96132709179d7c95cb5c90aa3fa9,5296b23e6ea85f5f6a59748c8787d6acab058d15b59e7bed6eb17a94a20736a6,horizon_route_map,5000,5e-05,0.2777777777777778,True
exp1_alignment_transfer:targeted:full:targeted_systematic_horizon_5000:2026-09-10T09:09:35.937820+00:00,paper,True,targeted,exp1_alignment_transfer,targeted_systematic_horizon_5000,2,systematic_misbinding,3ddb55654ed7020ccecce1477ee0dd89c92f37d7,1738aa639b37c24c9a687969970adb435313e91ca717b336ca50525dd7d4e928,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,2026-09-10T09:09:35.978810+00:00,route_map_diagnostic,source_bound,route_greedy,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,True,0.0,1e-08,True,0.0,0.0,0.0,0.0,0,,,,,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0,fda1ec18b8adeb715bbfb9d8f55db76da330c5267c75c5d57a3045ca4f114baf,c6efb0a319c79012233e6d72ce34c34412dc96132709179d7c95cb5c90aa3fa9,5296b23e6ea85f5f6a59748c8787d6acab058d15b59e7bed6eb17a94a20736a6,horizon_route_map,5000,5e-05,,False
exp1_alignment_transfer:targeted:full:targeted_systematic_horizon_10000:2026-09-10T09:09:37.473420+00:00,paper,True,targeted,exp1_alignment_transfer,targeted_systematic_horizon_10000,2,systematic_misbinding,3ddb55654ed7020ccecce1477ee0dd89c92f37d7,da85e70825466cff842b6ebf9a9b518dc6d40d23fd2f752124f37a433b92c063,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,2026-09-10T09:09:37.518721+00:00,route_map_diagnostic,arrival_assigned,route_greedy,10000,1541.6666666666665,0.0,5549.999999999999,0.15416666666666665,0.0,0.5549999999999999,0.5549999999999999,0.40083333333333326,1e-08,True,0.40083333333333326,1e-08,True,0.4107,0.4995,0.4995,0.4995,4995,0.308641975308642,0.3086419753086419,0.012345679012345671,0.012345679012345664,0.5005,0.308641975308642,0.3086419753086419,15.0,0.0,0.0,15.0,15,0c768f80fa993523a6223015c5d1893f1f4eec41c1d6fe7b2ac05f70a713fcd8,a20972fb78a4bdae89e54624eb96a670561faacd67ded915b888f06b53cc7465,2f5bbb5e507fbdc8cf817f619e5dbce1c1450755bfa2d4c6e57ee67dd31710ef,horizon_route_map,10000,0.0001,0.2777777777777778,True
exp1_alignment_transfer:targeted:full:targeted_systematic_horizon_10000:2026-09-10T09:09:37.473420+00:00,paper,True,targeted,exp1_alignment_transfer,targeted_systematic_horizon_10000,2,systematic_misbinding,3ddb55654ed7020ccecce1477ee0dd89c92f37d7,da85e70825466cff842b6ebf9a9b518dc6d40d23fd2f752124f37a433b92c063,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,2026-09-10T09:09:37.518721+00:00,route_map_diagnostic,source_bound,route_greedy,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,True,0.0,1e-08,True,0.0,0.0,0.0,0.0,0,,,,,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0,0c768f80fa993523a6223015c5d1893f1f4eec41c1d6fe7b2ac05f70a713fcd8,a20972fb78a4bdae89e54624eb96a670561faacd67ded915b888f06b53cc7465,2f5bbb5e507fbdc8cf817f619e5dbce1c1450755bfa2d4c6e57ee67dd31710ef,horizon_route_map,10000,0.0001,,False
exp1_alignment_transfer:targeted:full:targeted_systematic_horizon_1000:2026-09-10T09:09:40.468005+00:00,paper,True,targeted,exp1_alignment_transfer,targeted_systematic_horizon_1000,3,systematic_misbinding,3ddb55654ed7020ccecce1477ee0dd89c92f37d7,63d64e34a200ec61e73424bbad568ccfc3246f798eacff93f5f654190ad16a1d,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,2026-09-10T09:09:40.514523+00:00,route_map_diagnostic,arrival_assigned,route_greedy,1000,153.7037037037037,0.0,553.3333333333333,0.1537037037037037,0.0,0.5533333333333332,0.5533333333333332,0.39962962962962956,1e-08,True,0.39962962962962956,1e-08,True,0.4094666666666666,0.498,0.498,0.498,498,0.3086419753086419,0.3086419753086419,0.012345679012345673,0.012345679012345664,0.502,0.3086419753086419,0.3086419753086419,15.0,0.0,0.0,15.0,15,86daace625fe1bb6f8d8ec036e3feb0088ae883f984b59bf73153df9a4f61beb,5f8d45eeffa252d39762cb6c00e06a4ce7d72533bd8fca4af10793285fa0b681,add902e94e2e6b3bc1ce248b9342ae3c4a207a69796b1bcdad34a6bbc542e8d5,horizon_route_map,1000,1e-05,0.2777777777777778,True
exp1_alignment_transfer:targeted:full:targeted_systematic_horizon_1000:2026-09-10T09:09:40.468005+00:00,paper,True,targeted,exp1_alignment_transfer,targeted_systematic_horizon_1000,3,systematic_misbinding,3ddb55654ed7020ccecce1477ee0dd89c92f37d7,63d64e34a200ec61e73424bbad568ccfc3246f798eacff93f5f654190ad16a1d,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,3ebb8ce93cecd9d76ef6358493113e3d186b46dc569038f73332c9cc58c495a3,2026-09-10T09:09:40.514523+00:00,route_map_diagnostic,source_bound,route_greedy,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,True,0.0,1e-08,True,0.0,0.0,0.0,0.0,0,,,,,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0,86daace625fe1bb6f8d8ec036e3feb0088ae883f984b59bf73153df9a4f61beb,5f8d45eeffa252d39762cb6c00e06a4ce7d72533bd8fca4af10793285fa0b681,add902e94e2e6b3bc1ce248b9342ae3c4a207a69796b1bcdad34a6bbc542e8d5,horizon_route_map,1000,1e-05,,False
