cancellation_sweep_id,shared_profile,alpha_shared,alpha_dep,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,paper_result
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.0,mean_absolute_actionwise_level_error,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.0,mean_delta,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.0,alignment_budget_rate,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.0,mean_rho,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.0,mean_chi,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.0,complete_conflict_rate,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.0,regret_map_linf_to_structural,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.5,mean_absolute_actionwise_level_error,30,0.0003052280496820461,6.801084145588844e-07,0.00030397074835438045,0.0003065220036240173,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.5,mean_delta,30,0.003052280496820461,6.801084145588853e-06,0.0030390828197453417,0.0030654756755351367,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.5,alignment_budget_rate,30,0.003052280496820461,6.801084145588853e-06,0.0030396825672211612,0.003065360450654986,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.5,mean_rho,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.5,mean_chi,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.5,complete_conflict_rate,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.5,regret_map_linf_to_structural,30,0.00617158769445623,2.400317179871539e-07,0.006171051758464408,0.006171974805920352,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.99,mean_absolute_actionwise_level_error,30,0.0006043515383704512,1.3466146608265913e-06,0.0006018001962373645,0.0006068861283038394,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.99,mean_delta,30,0.006043515383704511,1.3466146608265898e-05,0.00601846420326939,0.00606880233021491,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.99,alignment_budget_rate,30,0.006043515383704511,1.3466146608265898e-05,0.0060180676953619896,0.006070032585130836,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.99,mean_rho,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.99,mean_chi,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.99,complete_conflict_rate,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,0.99,regret_map_linf_to_structural,30,0.012219743635023332,4.7526280161455367e-07,0.012218709857269501,0.012220517074782292,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.0,mean_absolute_actionwise_level_error,30,0.0006104560993640921,1.3602168291177707e-06,0.0006078440794327113,0.0006132558396808901,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.0,mean_delta,30,0.006104560993640921,1.3602168291177682e-05,0.006076809884022997,0.006130725356568987,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.0,alignment_budget_rate,30,0.006104560993640921,1.3602168291177682e-05,0.006078163931418695,0.006131292024835474,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.0,mean_rho,30,0.02222222222222223,1.2885202500607364e-18,0.02222222222222223,0.02222222222222223,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.0,mean_chi,30,0.5,0.0,0.5,0.5,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.0,complete_conflict_rate,30,0.0,0.0,0.0,0.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.0,regret_map_linf_to_structural,30,0.01234317538891246,4.800634359743144e-07,0.012342155784688422,0.012343928153275077,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.01,mean_absolute_actionwise_level_error,30,0.0006165606603577331,1.3738189974089484e-06,0.0006138489375207187,0.000619335889522812,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.01,mean_delta,30,0.006165606603577331,1.3738189974089478e-05,0.00613858999725208,0.006192711096578555,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.01,alignment_budget_rate,30,0.006165606603577331,1.3738189974089478e-05,0.0061400605513370595,0.006192775924811532,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.01,mean_rho,30,0.02222222222222223,1.2885202500607364e-18,0.02222222222222223,0.02222222222222223,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.01,mean_chi,30,1.0,0.0,1.0,1.0,2000,0.95,True
cancellation_shared_vs_action_dependent,state_varying_shared,0.0,1.01,complete_conflict_rate,30,1.0,0.0,1.0,1.0,2000,0.95,True
