targeted_component,target_horizon,feedback_binding_id,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,paper_result
horizon_scaling,1000,arrival_clock,structural_regret,30,179.89794238683126,1.3936361714615937,177.10784979423866,182.52939300411524,2000,0.95,True
horizon_scaling,1000,arrival_clock,structural_regret_rate,30,0.1798979423868312,0.0013936361714615,0.1770935699588477,0.1826419958847736,2000,0.95,True
horizon_scaling,1000,source_round,structural_regret,30,155.45349794238683,1.2217380652451513,153.12796296296298,157.69072016460905,2000,0.95,True
horizon_scaling,1000,source_round,structural_regret_rate,30,0.1554534979423868,0.0012217380652451,0.1530554526748971,0.1577997839506172,2000,0.95,True
horizon_scaling,5000,arrival_clock,structural_regret,30,892.3551440329217,3.106733755694897,886.1162860082304,898.1327469135803,2000,0.95,True
horizon_scaling,5000,arrival_clock,structural_regret_rate,30,0.1784710288065843,0.0006213467511389,0.1772720802469135,0.1796314547325102,2000,0.95,True
horizon_scaling,5000,source_round,structural_regret,30,535.4102880658435,1.389023336233675,532.6338683127572,538.0696913580246,2000,0.95,True
horizon_scaling,5000,source_round,structural_regret_rate,30,0.1070820576131687,0.0002778046672467,0.1065464711934156,0.1076323127572016,2000,0.95,True
horizon_scaling,10000,arrival_clock,structural_regret,30,1783.3691358024687,8.72867491892628,1767.6116460905346,1799.7390226337448,2000,0.95,True
horizon_scaling,10000,arrival_clock,structural_regret_rate,30,0.1783369135802469,0.0008728674918926,0.1767067469135802,0.1800637942386831,2000,0.95,True
horizon_scaling,10000,source_round,structural_regret,30,860.7251028806583,1.969178878941121,856.9652674897118,864.5072736625515,2000,0.95,True
horizon_scaling,10000,source_round,structural_regret_rate,30,0.0860725102880658,0.0001969178878941,0.0856927901234567,0.0864694917695473,2000,0.95,True
