cancellation_sweep_id,seed,shared_profile,alpha_shared,alpha_dep,eligible_rounds,mean_absolute_actionwise_level_error,mean_delta,max_delta,alignment_budget,alignment_budget_rate,mean_rho,mean_chi,complete_conflict_rate,regret_map_linf_to_structural,optimal_mask_mismatch_count_to_structural,delta_linf_to_shared_reference,rho_linf_to_shared_reference,chi_linf_to_shared_reference,regret_map_linf_to_shared_reference,optimal_mask_mismatch_count_to_shared_reference,max_delta_over_mu_deviation,shared_component_min,shared_component_max,structural_path_hash
cancellation_shared_vs_action_dependent,0,static_shared,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,3eac5d8df853cf8877a8cf2da4676afa083247dfec16cc899f30c0dac1d94879
cancellation_shared_vs_action_dependent,0,static_shared,0.05,0.0,5000,0.05,4.5322079422760453e-17,1.1102230246251565e-16,2.2661039711380226e-13,4.5322079422760453e-17,0.0,0.0,0.0,1.1102230246251565e-16,0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0,1.8409254276838294e-11,1.0,1.0,3eac5d8df853cf8877a8cf2da4676afa083247dfec16cc899f30c0dac1d94879
cancellation_shared_vs_action_dependent,0,static_shared,0.1,0.0,5000,0.1,5.0501269832636805e-17,1.1102230246251565e-16,2.5250634916318404e-13,5.0501269832636805e-17,0.0,0.0,0.0,1.1102230246251565e-16,0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0,1.8409254276838294e-11,1.0,1.0,3eac5d8df853cf8877a8cf2da4676afa083247dfec16cc899f30c0dac1d94879
cancellation_shared_vs_action_dependent,0,static_shared,0.2,0.0,5000,0.2,7.63888952093339e-17,1.1102230246251565e-16,3.819444760466695e-13,7.63888952093339e-17,0.0,0.0,0.0,1.1102230246251565e-16,0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0,3.681850855367659e-11,1.0,1.0,3eac5d8df853cf8877a8cf2da4676afa083247dfec16cc899f30c0dac1d94879
cancellation_shared_vs_action_dependent,0,state_varying_shared,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.010439210511264285,1.9689416214936513,3eac5d8df853cf8877a8cf2da4676afa083247dfec16cc899f30c0dac1d94879
cancellation_shared_vs_action_dependent,0,state_varying_shared,0.05,0.0,5000,0.04617014883006654,3.8550109285329094e-17,1.6653345369377348e-16,1.9275054642664546e-13,3.8550109285329094e-17,0.0,0.0,0.0,1.1102230246251565e-16,0,1.6653345369377348e-16,0.0,0.0,1.1102230246251565e-16,0,9.204627138419147e-12,0.010439210511264285,1.9689416214936513,3eac5d8df853cf8877a8cf2da4676afa083247dfec16cc899f30c0dac1d94879
cancellation_shared_vs_action_dependent,0,state_varying_shared,0.1,0.0,5000,0.09234029766013307,4.513004553396982e-17,1.6653345369377348e-16,2.256502276698491e-13,4.513004553396982e-17,0.0,0.0,0.0,2.220446049250313e-16,0,1.6653345369377348e-16,0.0,0.0,2.220446049250313e-16,0,2.761388141525744e-11,0.010439210511264285,1.9689416214936513,3eac5d8df853cf8877a8cf2da4676afa083247dfec16cc899f30c0dac1d94879
cancellation_shared_vs_action_dependent,0,state_varying_shared,0.2,0.0,5000,0.18468059532026615,5.96047516898679e-17,2.220446049250313e-16,2.980237584493395e-13,5.96047516898679e-17,0.0,0.0,0.0,2.220446049250313e-16,0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0,3.0988591564377657e-11,0.010439210511264285,1.9689416214936513,3eac5d8df853cf8877a8cf2da4676afa083247dfec16cc899f30c0dac1d94879
cancellation_shared_vs_action_dependent,0,static_shared,0.0,0.5,5000,0.0003044310351943712,0.003044310351943712,0.006171392761278861,15.221551759718562,0.003044310351943712,0.0,0.0,0.0,0.006171392761278861,0,0.0,0.0,0.0,0.0,0,1.2817524819297432e-13,1.0,1.0,3eac5d8df853cf8877a8cf2da4676afa083247dfec16cc899f30c0dac1d94879
cancellation_shared_vs_action_dependent,0,static_shared,0.05,0.5,5000,0.05,0.003044310351943712,0.006171392761278857,15.221551759718562,0.003044310351943712,0.0,0.0,0.0,0.006171392761278859,0,1.3877787807814457e-17,0.0,0.0,1.1102230246251565e-16,0,1.4589995878111495e-12,1.0,1.0,3eac5d8df853cf8877a8cf2da4676afa083247dfec16cc899f30c0dac1d94879
cancellation_shared_vs_action_dependent,0,static_shared,0.1,0.5,5000,0.1,0.003044310351943712,0.006171392761278871,15.22155175971856,0.003044310351943712,0.0,0.0,0.0,0.006171392761278866,0,2.7755575615628914e-17,0.0,0.0,1.1102230246251565e-16,0,1.5164536293355013e-12,1.0,1.0,3eac5d8df853cf8877a8cf2da4676afa083247dfec16cc899f30c0dac1d94879
cancellation_shared_vs_action_dependent,0,static_shared,0.2,0.5,5000,0.2,0.0030443103519437117,0.006171392761278871,15.221551759718558,0.0030443103519437117,0.0,0.0,0.0,0.00617139276127888,0,5.551115123125783e-17,0.0,0.0,1.1102230246251565e-16,0,4.5998760356269486e-12,1.0,1.0,3eac5d8df853cf8877a8cf2da4676afa083247dfec16cc899f30c0dac1d94879
