seed,c_scale,g_scale,n_rounds,max_delta,max_rho,max_chi,mean_absolute_actionwise_level_error,loss_clipping_count
11,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.4425960426223128e-18,0
11,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0138119932568638,0
11,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0276239865137276,0
11,0.2,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0552479730274554,0
12,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.5533407893286724e-18,0
12,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0129248098677204,0
12,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0258496197354408,0
12,0.2,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0516992394708817,0
13,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.4221956945448257e-18,0
13,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0130971164886835,0
13,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.026194232977367,0
13,0.2,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0523884659547341,0
14,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.4979684159754926e-18,0
14,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0135567518199476,0
14,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0271135036398953,0
14,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0542270072797907,0
15,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.4221956945448257e-18,0
15,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0135318343012758,0
15,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0270636686025516,0
15,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0541273372051032,0
16,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.5766554728458005e-18,0
16,0.05,0.6,5000,2.3592239273284576e-16,0.0,0.0,0.0116520055916044,0
16,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0233040111832089,0
16,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0466080223664178,0
17,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.4804824033376462e-18,0
17,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0135072080332634,0
17,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0270144160665268,0
17,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0540288321330536,0
18,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.5037970868547745e-18,0
18,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0131781766590249,0
18,0.1,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0263563533180499,0
18,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0527127066360999,0
19,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.3697376566312868e-18,0
19,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0129538112631713,0
19,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0259076225263427,0
19,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0518152450526855,0
20,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.5008827514151334e-18,0
20,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0129654461502274,0
20,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0259308923004548,0
20,0.2,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0518617846009096,0
21,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.474653732458364e-18,0
21,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0131443021008851,0
21,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0262886042017703,0
21,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0525772084035406,0
22,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.2473355681663634e-18,0
22,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.013383884259687,0
22,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0267677685193741,0
22,0.2,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0535355370387482,0
23,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.305622276959184e-18,0
23,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0133482090635714,0
23,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0266964181271429,0
23,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0533928362542859,0
24,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.4542533843808768e-18,0
24,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0123544538545512,0
24,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0247089077091025,0
24,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.049417815418205,0
25,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.3609946503123638e-18,0
25,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0126588787096358,0
25,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0253177574192717,0
25,0.2,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0506355148385435,0
26,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.5096257577340566e-18,0
26,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0128582042623656,0
26,0.1,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0257164085247313,0
26,0.2,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0514328170494626,0
27,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.515454428613339e-18,0
27,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0125698987059248,0
27,0.1,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0251397974118496,0
27,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0502795948236992,0
28,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.5125400931736977e-18,0
28,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0136853598451047,0
28,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0273707196902095,0
28,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0547414393804191,0
29,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.366823321191646e-18,0
29,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0124931218318808,0
29,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0249862436637616,0
29,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0499724873275233,0
