seed,c_scale,g_scale,n_rounds,max_delta,max_rho,max_chi,mean_absolute_actionwise_level_error,loss_clipping_count
0,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.5271117703719028e-18,0
0,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0121449529400882,0
0,0.1,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0242899058801764,0
0,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0485798117603528,0
1,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.4047096819069796e-18,0
1,0.05,0.6,5000,1.9428902930940242e-16,0.0,0.0,0.0137881817307724,0
1,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0275763634615449,0
1,0.2,0.6,5000,2.498001805406602e-16,0.0,0.0,0.0551527269230899,0
2,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.3930523401484153e-18,0
2,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0133135765272461,0
2,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0266271530544922,0
2,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0532543061089844,0
3,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.372651992070928e-18,0
3,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0121416056017888,0
3,0.1,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0242832112035776,0
3,0.2,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0485664224071552,0
4,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.3755663275105691e-18,0
4,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0133153759073513,0
4,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0266307518147027,0
4,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0532615036294054,0
5,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.6640855360350317e-18,0
5,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0132334690730979,0
5,0.1,0.6,5000,2.3592239273284576e-16,0.0,0.0,0.0264669381461959,0
5,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0529338762923918,0
6,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.5416834475701081e-18,0
6,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0120457019952299,0
6,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0240914039904599,0
6,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0481828079809198,0
7,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.4921397450962105e-18,0
7,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0125848070365762,0
7,0.1,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0251696140731524,0
7,0.2,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0503392281463048,0
8,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.4688250615790823e-18,0
8,0.05,0.6,5000,2.3592239273284576e-16,0.0,0.0,0.0127039689529044,0
8,0.1,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0254079379058089,0
8,0.2,0.6,5000,2.7755575615628914e-16,0.0,0.0,0.0508158758116179,0
9,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.4833967387772873e-18,0
9,0.05,0.6,5000,1.9428902930940242e-16,0.0,0.0,0.013110829332094,0
9,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0262216586641881,0
9,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0524433173283762,0
10,0.0,0.6,5000,5.551115123125783e-17,0.0,0.0,1.4484247135015951e-18,0
10,0.05,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0120992138220261,0
10,0.1,0.6,5000,2.220446049250313e-16,0.0,0.0,0.0241984276440522,0
10,0.2,0.6,5000,3.3306690738754696e-16,0.0,0.0,0.0483968552881045,0
