targeted_component,target_mean_delay,feedback_binding_id,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,generated_mean_delay,generated_mean_delay_ci_lower,generated_mean_delay_ci_upper,bootstrap_repetitions,ci_level,paper_result
mean_delay_robustness,5.0,arrival_clock,structural_regret_rate,30,0.15777323136990765,0.0007200142006420412,0.15645833199284276,0.1591454489440489,4.988189542483661,4.965627450980393,5.009061274509803,2000,0.95,True
mean_delay_robustness,5.0,source_round,structural_regret_rate,30,0.11324479587246719,0.00032517876407698514,0.11260258554034278,0.11385645049442643,4.988189542483661,4.965860947712417,5.0098039215686265,2000,0.95,True
mean_delay_robustness,15.0,arrival_clock,structural_regret_rate,30,0.16816585299615955,0.0010037127688585956,0.16625055173036798,0.1700475593407422,14.970849673202613,14.90896045751634,15.030090849673199,2000,0.95,True
mean_delay_robustness,15.0,source_round,structural_regret_rate,30,0.11372615600136225,0.00032665843726674854,0.11311225795791802,0.11436068933325598,14.970849673202613,14.910590686274507,15.028948692810454,2000,0.95,True
mean_delay_robustness,30.0,arrival_clock,structural_regret_rate,30,0.17092241917433834,0.0010767267737089292,0.1686811166995973,0.17299549004737536,29.97690849673203,29.87291895424837,30.07887761437908,2000,0.95,True
mean_delay_robustness,30.0,source_round,structural_regret_rate,30,0.11432661426775034,0.0003306207558081461,0.1137033295078328,0.11496585019580238,29.97690849673203,29.874704084967316,30.083174509803918,2000,0.95,True
