seed,ratio,eligible_rounds,mean_delta_over_mu,max_delta_over_mu_deviation,mean_chi,mean_rho,expected_chi
5,1.5,5000,1.5,5.129230373768223e-14,1.0,0.022222222222222223,1.0
5,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
6,0.0,5000,0.0,0.0,0.0,0.0,0.0
6,0.25,5000,0.24999999999999992,1.5096257577340566e-13,0.0,0.0,0.0
6,0.5,5000,0.5,1.006972283335017e-13,0.0,0.0,0.0
6,0.75,5000,0.75,1.2179146580137967e-13,0.0,0.0,0.0
6,0.9,5000,0.9,1.461053500406706e-13,0.0,0.0,0.0
6,0.99,5000,0.99,9.581224702515101e-14,0.0,0.0,0.0
6,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
6,1.01,5000,1.01,9.57012247226885e-14,1.0,0.022222222222222223,1.0
6,1.1,5000,1.1,1.461053500406706e-13,1.0,0.022222222222222223,1.0
6,1.25,5000,1.25,1.2168044349891716e-13,1.0,0.022222222222222223,1.0
6,1.5,5000,1.5,1.0058620603103918e-13,1.0,0.022222222222222223,1.0
6,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
7,0.0,5000,0.0,0.0,0.0,0.0,0.0
7,0.25,5000,0.24999999999999994,3.880229471064922e-14,0.0,0.0,0.0
7,0.5,5000,0.5,7.760458942129844e-14,0.0,0.0,0.0
7,0.75,5000,0.75,4.618527782440651e-14,0.0,0.0,0.0
7,0.9,5000,0.9,5.5289106626332796e-14,0.0,0.0,0.0
7,0.99,5000,0.99,6.361577931102147e-14,0.0,0.0,0.0
7,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
7,1.01,5000,1.01,6.372680161348399e-14,1.0,0.022222222222222223,1.0
7,1.1,5000,1.0999999999999999,5.551115123125783e-14,1.0,0.022222222222222223,1.0
7,1.25,5000,1.25,4.618527782440651e-14,1.0,0.022222222222222223,1.0
7,1.5,5000,1.5,7.771561172376096e-14,1.0,0.022222222222222223,1.0
7,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
8,0.0,5000,0.0,0.0,0.0,0.0,0.0
8,0.25,5000,0.24999999999999786,1.062869237067332e-11,0.0,0.0,0.0
8,0.5,5000,0.5000000000000014,7.0857764100651366e-12,0.0,0.0,0.0
8,0.75,5000,0.7499999999999992,3.5429437161837996e-12,0.0,0.0,0.0
8,0.9,5000,0.8999999999999981,9.920175791933161e-12,0.0,0.0,0.0
8,0.99,5000,0.9899999999999997,2.4091839634365897e-12,0.0,0.0,0.0
8,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
8,1.01,5000,1.0100000000000005,2.4091839634365897e-12,1.0,0.022222222222222223,1.0
8,1.1,5000,1.1000000000000019,9.920064769630699e-12,1.0,0.022222222222222223,1.0
8,1.25,5000,1.2500000000000007,3.5429437161837996e-12,1.0,0.022222222222222223,1.0
8,1.5,5000,1.4999999999999984,7.085887432367599e-12,1.0,0.022222222222222223,1.0
8,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
9,0.0,5000,0.0,0.0,0.0,0.0,0.0
9,0.25,5000,0.24999999999999994,9.831024883055761e-14,0.0,0.0,0.0
9,0.5,5000,0.5,6.550315845288424e-14,0.0,0.0,0.0
9,0.75,5000,0.75,3.275157922644212e-14,0.0,0.0,0.0
9,0.9,5000,0.9000000000000001,3.930189507173054e-14,0.0,0.0,0.0
9,0.99,5000,0.99,4.3298697960381105e-14,0.0,0.0,0.0
9,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
9,1.01,5000,1.01,4.3298697960381105e-14,1.0,0.022222222222222223,1.0
9,1.1,5000,1.1,3.930189507173054e-14,1.0,0.022222222222222223,1.0
