experiment_id,delay_setting,regime,method,method_id,metric_id,mean,se,bootstrap_ci_lower,bootstrap_ci_upper,ci_level,uncertainty_unit,n_bootstrap,n
exp1_controlled_validity,zero_static,unlabelled,sliding_window_W250,arrival_time_sliding_window_w250,causal_regret_per_round,0.036207407407407265,0.0014240043703876248,0.03363950617283938,0.03855802469135785,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,zero_static,unlabelled,anonymous_delayed,anonymous_delayed,causal_regret_per_round,0.39853168724281796,0.0052443772777344,0.3885629629629816,0.40634074074076115,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,zero_static,unlabelled,causal_labeled,source_labelled,causal_regret_per_round,0.3950551440329413,0.0009165044218654237,0.3932444444444631,0.3962074074074271,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,zero_static,unlabelled,causal_em,soft_attribution_em,causal_regret_per_round,0.03114403292181063,0.001908374883932391,0.028483950617283888,0.03484444444444435,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,zero_static,unlabelled,causal_em_misspecified,soft_attribution_em_stationary_ablation,causal_regret_per_round,0.032625514403292075,0.001062655670616876,0.030617283950617195,0.034232098765431956,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,zero_static,unlabelled,proxy,proxy_state,causal_regret_per_round,0.033672427983538984,0.0008928550443553699,0.03255308641975295,0.03543703703703693,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,labelled,oracle,oracle_reference,causal_regret_per_round,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,labelled,naive,arrival_time_naive,causal_regret_per_round,0.34022057613169426,0.13250769780972077,0.12938271604938176,0.5846913580247056,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,labelled,naive_ewma,arrival_time_ewma,causal_regret_per_round,0.3671242798354089,0.01785743592311162,0.3373234567901365,0.39907160493829136,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,labelled,delayed_ucb,delayed_ucb,causal_regret_per_round,0.16122469135801012,0.013327762286816397,0.13975308641975145,0.1856395061728158,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,labelled,delayed_exp3,delayed_exp3,causal_regret_per_round,0.3944823045267687,0.000599176954732208,0.39377777777779793,0.39567407407409316,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,labelled,sliding_window_W250,arrival_time_sliding_window_w250,causal_regret_per_round,0.23569382716049736,0.012017611760664097,0.21813333333333398,0.25868641975309253,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,labelled,anonymous_delayed,anonymous_delayed,causal_regret_per_round,0.39386995884775616,0.008364558154598379,0.3772444444444624,0.4037925925926134,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,labelled,causal_labeled,source_labelled,causal_regret_per_round,0.03239506172839498,0.0010674589345471505,0.03059753086419748,0.03429135802469125,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,labelled,causal_em,soft_attribution_em,causal_regret_per_round,0.03563456790123445,0.0008073029468927804,0.03464691358024679,0.03723456790123443,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,labelled,causal_em_misspecified,soft_attribution_em_stationary_ablation,causal_regret_per_round,0.03354732510288055,0.0018157565000842056,0.03020246913580238,0.0364444444444443,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,labelled,proxy,proxy_state,causal_regret_per_round,0.033139094650205654,0.0022288138786952486,0.02868148148148141,0.03537777777777763,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,mixture_labelled,oracle,oracle_reference,causal_regret_per_round,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,mixture_labelled,naive,arrival_time_naive,causal_regret_per_round,0.23300740740741213,0.17505782240385712,0.03883456790123444,0.582400000000014,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,mixture_labelled,naive_ewma,arrival_time_ewma,causal_regret_per_round,0.3106041152263566,0.02256827751500675,0.2697679012345724,0.3476740740740994,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,mixture_labelled,delayed_ucb,delayed_ucb,causal_regret_per_round,0.11063045267489761,0.011944713480096044,0.09177283950617328,0.13276049382716026,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,mixture_labelled,delayed_exp3,delayed_exp3,causal_regret_per_round,0.3972213991769744,0.0037981669139710962,0.39008395061730305,0.4030419753086618,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,mixture_labelled,sliding_window_W250,arrival_time_sliding_window_w250,causal_regret_per_round,0.23908477366254863,0.03177477071711037,0.20604444444443526,0.30261728395062687,0.95,shared_simulation_seed,2000,3
exp1_controlled_validity,aligned_static_delay_15,mixture_labelled,anonymous_delayed,anonymous_delayed,causal_regret_per_round,0.39288888888890844,0.0040491578779296355,0.3854814814815007,0.399427160493847,0.95,shared_simulation_seed,2000,3
