source_label_rate_q,proxy_noise_sigma,n_seeds,n_rows,causal_regret_per_round_mean,causal_regret_per_round_se,causal_regret_per_round_ci_low,causal_regret_per_round_ci_high,causal_regret_all_rounds_mean,causal_regret_all_rounds_se,causal_regret_all_rounds_ci_low,causal_regret_all_rounds_ci_high,final_causal_regret_mean,final_causal_regret_se,final_causal_regret_ci_low,final_causal_regret_ci_high,proxy_state_error_per_round_mean,proxy_state_error_per_round_se,proxy_state_error_per_round_ci_low,proxy_state_error_per_round_ci_high,absolute_proxy_distortion_per_round_mean,absolute_proxy_distortion_per_round_se,absolute_proxy_distortion_per_round_ci_low,absolute_proxy_distortion_per_round_ci_high,proxy_ranking_reversal_rate_mean,proxy_ranking_reversal_rate_se,proxy_ranking_reversal_rate_ci_low,proxy_ranking_reversal_rate_ci_high,mean_delay_mean,mean_delay_se,mean_delay_ci_low,mean_delay_ci_high,pending_at_horizon_mean,pending_at_horizon_se,pending_at_horizon_ci_low,pending_at_horizon_ci_high,pending_fraction_mean,pending_fraction_se,pending_fraction_ci_low,pending_fraction_ci_high,source_state_mismatch_mean,source_state_mismatch_se,source_state_mismatch_ci_low,source_state_mismatch_ci_high,ranking_reversal_rate_mean,ranking_reversal_rate_se,ranking_reversal_rate_ci_low,ranking_reversal_rate_ci_high,wrong_assignment_rate_mean,wrong_assignment_rate_se,wrong_assignment_rate_ci_low,wrong_assignment_rate_ci_high,labelled_arrival_fraction_mean,labelled_arrival_fraction_se,labelled_arrival_fraction_ci_low,labelled_arrival_fraction_ci_high,oracle_normalized_recovery_mean,oracle_normalized_recovery_se,oracle_normalized_recovery_ci_low,oracle_normalized_recovery_ci_high,source_labelled_normalized_recovery_mean,source_labelled_normalized_recovery_se,source_labelled_normalized_recovery_ci_low,source_labelled_normalized_recovery_ci_high,ci_level,uncertainty_unit,n_bootstrap
0.0,0.05,30,30,0.5382523902332117,0.0018399932215885841,0.5346584063921109,0.5418356330752453,0.5427018051140059,0.0017535304463157323,0.5392885785391304,0.5461600093924444,2713.509025570029,8.767652231578664,2695.0643789875767,2729.732008220714,0.07975214167405947,0.00010089979772967928,0.07955028890456299,0.079942630011137,0.016242431315976566,6.143729018699763e-05,0.016121595486206498,0.01636655916504918,0.0068133333333333344,0.0002126857988727635,0.0064,0.0072334999999999995,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.0010866666666666666,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.30255189091937834,0.3092840227838349,0.1666811073045147,0.0003052590267960014,0.16609375472212065,0.16727200540757434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10332052137456653,0.006174104708320127,0.09135848605514145,0.11445427636455234,0.18979123474561602,0.01066969636708072,0.16844390919726496,0.2108005944810816,0.95,shared_simulation_seed_percentile_bootstrap,2000
0.0,0.1,30,30,0.541969084541462,0.0022985260818156744,0.5375984834813661,0.5460302565567734,0.5461771822473999,0.002225161064177361,0.5417522773949984,0.5504554713015825,2730.8859112369996,11.125805320886807,2708.3890764290168,2753.3178308388706,0.15950428334811897,0.00020179959545936209,0.1591006908341556,0.15989063119515484,0.0353701590059828,0.0001206428688349706,0.03514110324061685,0.03560468081312642,0.07456666666666667,0.0009903016298116764,0.07277333333333334,0.07654666666666668,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.00108,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3025962855571361,0.3090399470596816,0.1666811073045147,0.0003052590267960014,0.16610934564556182,0.16727617778993364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09707760901337367,0.006883049142476949,0.08303378171673294,0.11002797915364364,0.17802905872166017,0.012056146557356243,0.15541917814063466,0.20054991302134467,0.95,shared_simulation_seed_percentile_bootstrap,2000
0.0,0.25,30,30,0.5436468055476691,0.002595218196437939,0.5385135008853942,0.5486987367618283,0.5477789228065343,0.0025291641054805427,0.5428354234884576,0.5524852708656188,2738.8946140326725,12.645820527402726,2714.967392621317,2763.6985805838003,0.3987607083702976,0.0005044989886484046,0.39780338109908936,0.3997021410220646,0.09326290226641527,0.00026321893204591626,0.09273365104683516,0.09378721285281875,0.39639333333333326,0.0018322144966367402,0.3927798333333334,0.39980033333333337,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.432500000000002,5.834166666666662,0.0011266666666666667,2.2454722429524106e-05,0.00108,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3026115438751553,0.3091507870349089,0.1666811073045147,0.0003052590267960014,0.16611927708591034,0.1672606997821586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09435510179849485,0.006829692888253911,0.08125497553031216,0.10721375694710475,0.1731745459100488,0.011889896295834704,0.15038187190228347,0.19650811004412647,0.95,shared_simulation_seed_percentile_bootstrap,2000
0.0,0.5,30,30,0.5516289405214927,0.0021502173881187366,0.547493083350811,0.5557429251873582,0.5553042661600337,0.002072082507883986,0.5513046702083263,0.559249536104653,2776.5213308001685,10.360412539419928,2756.7446811535024,2795.220507748642,0.7975214167405953,0.0010089979772968103,0.7956135820357771,0.7993327948653288,0.14746638215615382,0.00037547222089781866,0.1467339785736188,0.14819798317238458,0.6264000000000002,0.0021854692544323205,0.6222198333333334,0.6306741666666668,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.00108,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3026073568692596,0.309030834896527,0.1666811073045147,0.0003052590267960014,0.16611928858862446,0.1672818333584709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08084579344604807,0.007473174975256845,0.06570137376718756,0.0945774483887486,0.147983423387789,0.013321070865883983,0.12139956372921686,0.17118170577159525,0.95,shared_simulation_seed_percentile_bootstrap,2000
0.0,1.0,30,30,0.5617262725981517,0.002012829578063055,0.5579070326801184,0.5655911260684267,0.5649986183245214,0.0020016364637457135,0.5610108383738466,0.5687197417100779,2824.9930916226062,10.00818231872857,2805.1953733636783,2844.3438248073685,1.5950428334811904,0.002017995954593621,1.5910069083415563,1.5989063119515485,0.17126998198228324,0.00042654579814282615,0.17045335930130678,0.1720891587456702,0.7612866666666667,0.0021772846810592978,0.7571458333333334,0.7655001666666664,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.00108,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3025962855571361,0.3090399470596816,0.1666811073045147,0.0003052590267960014,0.16610934564556182,0.16727617778993364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06413911831908622,0.006876922884095614,0.05060418595721699,0.07807638870098484,0.11698952025198955,0.012180818944205802,0.09449117683645919,0.14053815380787069,0.95,shared_simulation_seed_percentile_bootstrap,2000
0.1,0.05,30,30,0.5012854473491489,0.002406077281873137,0.4963813587817897,0.5059318725650628,0.5073289231228676,0.002250166784563694,0.5030425085660107,0.5115008576093795,2536.644615614338,11.250833922818464,2515.311810102366,2557.6399261858023,0.07975214167405947,0.00010089979772967928,0.07955492058693382,0.07994735383164342,0.016242431315976566,6.143729018699763e-05,0.016124543380724787,0.016359475818600814,0.0068133333333333344,0.0002126857988727635,0.006413333333333334,0.00722,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.0010866666666666666,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3028034669330463,0.30946766064495124,0.1666811073045147,0.0003052590267960014,0.1661002951268363,0.167269549329441,0.0,0.0,0.0,0.0,0.10045313288999344,0.0008008826400431609,0.09879666077791999,0.1018565648610798,0.1646487917795187,0.007458051157040187,0.15033810285014473,0.17851629403253896,0.30320213275330976,0.012451533650519155,0.27901675261850295,0.3276384549669188,0.95,shared_simulation_seed_percentile_bootstrap,2000
0.1,0.1,30,30,0.5056424846251273,0.002617063110414016,0.5007620432093892,0.5107556064157212,0.5115960664326115,0.0024623007029792817,0.5068389184995193,0.5161646956085407,2557.9803321630575,12.311503514896419,2533.24680443532,2582.678465140091,0.15950428334811897,0.00020179959545936209,0.1591127822745787,0.15987562187081825,0.0353701590059828,0.0001206428688349706,0.03515135331349218,0.03561016853377128,0.07456666666666667,0.0009903016298116764,0.07264666666666668,0.07637999999999999,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.00108,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3026927686763795,0.3088787393379316,0.1666811073045147,0.0003052590267960014,0.1660981656768995,0.16727954251051236,0.0,0.0,0.0,0.0,0.10045313288999344,0.0008008826400431609,0.09890601678125718,0.1020458828656718,0.15783485354503812,0.005780585368172658,0.146120603650343,0.1682500684703519,0.29108730631504887,0.009588176470030262,0.27274803622124233,0.30905803466469545,0.95,shared_simulation_seed_percentile_bootstrap,2000
0.1,0.25,30,30,0.5058834650809507,0.0021420732372863507,0.5018604696303036,0.5099283794695357,0.5117026461790801,0.0020122757695539076,0.5079004932671123,0.5155249570518474,2558.5132308954007,10.061378847769529,2540.042420988018,2577.663698821749,0.3987607083702976,0.0005044989886484046,0.39779333908458564,0.39974203162248506,0.09326290226641527,0.00026321893204591626,0.09276091940623732,0.09376231002164906,0.39639333333333326,0.0018322144966367402,0.39280000000000004,0.39979366666666666,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.0010800000000000002,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3026663609313808,0.30934390093315967,0.1666811073045147,0.0003052590267960014,0.16613713444225367,0.16726514638056292,0.0,0.0,0.0,0.0,0.10045313288999344,0.0008008826400431609,0.09899522322033708,0.10198680542612162,0.15712691730111258,0.006715653605423478,0.14394676562140712,0.1692390922298038,0.2892976874858313,0.011162094736891264,0.26751918537105723,0.31032119308261513,0.95,shared_simulation_seed_percentile_bootstrap,2000
0.1,0.5,30,30,0.5087450342128113,0.0024578897796533913,0.5039446255003202,0.513328830489692,0.5142746626688927,0.0024142473628694255,0.5097109512054598,0.5189726570108959,2571.373313344463,12.071236814347131,2548.277230348361,2593.8462264213617,0.7975214167405953,0.0010089979772968103,0.7955814926835564,0.7993953279507096,0.14746638215615382,0.00037547222089781866,0.14670370929877152,0.14821394109011737,0.6264000000000002,0.0021854692544323205,0.6222118333333333,0.6308668333333334,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.433333333333334,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.0010866666666666663,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3026910113707914,0.30913282967908606,0.1666811073045147,0.0003052590267960014,0.1660626216034839,0.16727626915758628,0.0,0.0,0.0,0.0,0.10045313288999344,0.0008008826400431609,0.09892594059455685,0.10208820905341236,0.15251577038511377,0.006314604575614844,0.14030901376389643,0.16495958838759997,0.2809603810044782,0.010388102837233138,0.2624638406853803,0.30116949770467366,0.95,shared_simulation_seed_percentile_bootstrap,2000
0.1,1.0,30,30,0.5233544497156557,0.002228874460599348,0.5189853006834533,0.5278046459846804,0.5281684080228873,0.0021819221707580273,0.5239810916140001,0.5322756322638008,2640.842040114437,10.909610853790134,2620.050078465177,2661.62112811521,1.5950428334811904,0.002017995954593621,1.5911278227457868,1.5987562187081834,0.17126998198228324,0.00042654579814282615,0.1704619097490756,0.17210598183943823,0.7612866666666667,0.0021772846810592978,0.7570066666666666,0.7653533333333332,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.00108,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3026927686763795,0.3088787393379316,0.1666811073045147,0.0003052590267960014,0.1660981656768995,0.16727954251051236,0.0,0.0,0.0,0.0,0.10045313288999344,0.0008008826400431609,0.09890601678125718,0.1020458828656718,0.12792269075857843,0.007319435687077226,0.11407819975034153,0.14209653578470607,0.23513821190276427,0.01245957186630086,0.21119779720749512,0.2595213580928694,0.95,shared_simulation_seed_percentile_bootstrap,2000
