method_id,source_label_rate_q,proxy_noise_sigma,n_seeds,n_rows,causal_regret_per_round_mean,causal_regret_per_round_se,causal_regret_per_round_ci_low,causal_regret_per_round_ci_high,causal_regret_all_rounds_mean,causal_regret_all_rounds_se,causal_regret_all_rounds_ci_low,causal_regret_all_rounds_ci_high,final_causal_regret_mean,final_causal_regret_se,final_causal_regret_ci_low,final_causal_regret_ci_high,mean_delay_mean,mean_delay_se,mean_delay_ci_low,mean_delay_ci_high,pending_at_horizon_mean,pending_at_horizon_se,pending_at_horizon_ci_low,pending_at_horizon_ci_high,pending_fraction_mean,pending_fraction_se,pending_fraction_ci_low,pending_fraction_ci_high,source_state_mismatch_mean,source_state_mismatch_se,source_state_mismatch_ci_low,source_state_mismatch_ci_high,ranking_reversal_rate_mean,ranking_reversal_rate_se,ranking_reversal_rate_ci_low,ranking_reversal_rate_ci_high,wrong_assignment_rate_mean,wrong_assignment_rate_se,wrong_assignment_rate_ci_low,wrong_assignment_rate_ci_high,labelled_arrival_fraction_mean,labelled_arrival_fraction_se,labelled_arrival_fraction_ci_low,labelled_arrival_fraction_ci_high,ci_level,uncertainty_unit,n_bootstrap,proxy_state_error_per_round_mean,proxy_state_error_per_round_se,proxy_state_error_per_round_ci_low,proxy_state_error_per_round_ci_high,absolute_proxy_distortion_per_round_mean,absolute_proxy_distortion_per_round_se,absolute_proxy_distortion_per_round_ci_low,absolute_proxy_distortion_per_round_ci_high,proxy_ranking_reversal_rate_mean,proxy_ranking_reversal_rate_se,proxy_ranking_reversal_rate_ci_low,proxy_ranking_reversal_rate_ci_high
arrival_time_naive,0.0,0.25,30,30,0.6009548942467995,0.003924233186313133,0.5934709485114795,0.6085176778094802,0.602932687822003,0.003707486824318726,0.5954820881204873,0.6096878895363986,3014.6634391100156,18.537434121593623,2977.9082520312522,3051.616201124809,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.433333333333334,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.00108,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.30264712544186,0.3091607954708529,0.1666811073045147,0.0003052590267960014,0.16610362506182802,0.16726512850900102,0.8414347606291965,0.0029508660618020963,0.8356466933022171,0.8468824321747258,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
arrival_time_naive,0.1,0.25,30,30,0.6009548942467995,0.003924233186313133,0.5934399662042861,0.6083757997552448,0.602932687822003,0.003707486824318726,0.5954188621679996,0.6099771852989151,3014.6634391100156,18.537434121593623,2977.63802248217,3050.827992374601,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.0010800000000000002,0.0011666666666666668,0.3057432572330691,0.0016884030082483271,0.3025796783527145,0.3091416011021347,0.1666811073045147,0.0003052590267960014,0.16611265814597795,0.16725624657871888,0.8414347606291965,0.0029508660618020963,0.8356286574754838,0.8470926152392619,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
arrival_time_naive,0.3,0.25,30,30,0.6009548942467995,0.003924233186313133,0.5932540611933695,0.6082147958379454,0.602932687822003,0.003707486824318726,0.5957938865114528,0.6095338342476497,3014.6634391100156,18.537434121593623,2976.672951356345,3050.1788567831045,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.00108,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3028075627299745,0.3091855801916649,0.1666811073045147,0.0003052590267960014,0.16609148782706334,0.16727960097502778,0.8414347606291965,0.0029508660618020963,0.835704112088767,0.847095425556324,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
arrival_time_naive,0.5,0.25,30,30,0.6009548942467995,0.003924233186313133,0.5934880620104946,0.6083304334030781,0.602932687822003,0.003707486824318726,0.5953403160704691,0.6100620966272141,3014.6634391100156,18.537434121593623,2978.839312431332,3048.6423963208254,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.433333333333334,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.00108,0.001173333333333333,0.3057432572330691,0.0016884030082483271,0.30247617655440173,0.3092174779209791,0.1666811073045147,0.0003052590267960014,0.1661115258533155,0.16726513579970334,0.8414347606291965,0.0029508660618020963,0.835415974521737,0.846999596765103,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
arrival_time_naive,0.7,0.25,30,30,0.6009548942467995,0.003924233186313133,0.5938650456288761,0.608223345508406,0.602932687822003,0.003707486824318726,0.5955175366768867,0.6100896350590479,3014.6634391100156,18.537434121593623,2979.534998605987,3048.149894999806,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.0010800000000000002,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3028309693251309,0.30917703400605323,0.1666811073045147,0.0003052590267960014,0.1660970443423858,0.16725183860884585,0.8414347606291965,0.0029508660618020963,0.8360546609337437,0.8469465215272048,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
arrival_time_naive,1.0,0.25,30,30,0.6009548942467995,0.003924233186313133,0.5934399662042861,0.6083757997552448,0.602932687822003,0.003707486824318726,0.5954188621679996,0.6099771852989151,3014.6634391100156,18.537434121593623,2977.63802248217,3050.827992374601,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.0010800000000000002,0.0011666666666666668,0.3057432572330691,0.0016884030082483271,0.3025796783527145,0.3091416011021347,0.1666811073045147,0.0003052590267960014,0.16611265814597795,0.16725624657871888,0.8414347606291965,0.0029508660618020963,0.8356286574754838,0.8470926152392619,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
observable_history_surrogate,0.0,0.25,30,30,0.5540830071182502,0.005995002986525721,0.5428606548797906,0.5658722027243991,0.558019574134838,0.005768186072220249,0.5464527273010501,0.5684513330484371,2790.097870674191,28.84093036110124,2735.496250796713,2845.96976909265,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.866666666666666,0.0011266666666666667,2.2454722429524106e-05,0.0010866666666666666,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.30263264839343734,0.3090931215363448,0.1666811073045147,0.0003052590267960014,0.16611151915274855,0.16725296196831363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
observable_history_surrogate,0.1,0.25,30,30,0.5540830071182502,0.005995002986525721,0.5421259029737188,0.5650589514512129,0.558019574134838,0.005768186072220249,0.5468008032375754,0.5688740193920959,2790.097870674191,28.84093036110124,2733.9739080052955,2844.1106493961597,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.0010800000000000002,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.30266380754288497,0.30929996787542435,0.1666811073045147,0.0003052590267960014,0.16609232387612333,0.16727736532296544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
observable_history_surrogate,0.3,0.25,30,30,0.5540830071182502,0.005995002986525721,0.5420664827926293,0.5652680071076205,0.558019574134838,0.005768186072220249,0.546125683355188,0.5687029074380108,2790.097870674191,28.84093036110124,2733.301633135256,2845.0415821129377,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.00108,0.0011666666666666668,0.3057432572330691,0.0016884030082483271,0.30261866954403926,0.30902894777954737,0.1666811073045147,0.0003052590267960014,0.16609810874089323,0.1672428774361895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
observable_history_surrogate,0.5,0.25,30,30,0.5540830071182502,0.005995002986525721,0.5424459965440993,0.5658931750410022,0.558019574134838,0.005768186072220249,0.5470278232991006,0.5693314339651554,2790.097870674191,28.84093036110124,2730.2873123936865,2842.980822212464,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.433333333333334,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.00108,0.0011666666666666665,0.3057432572330691,0.0016884030082483271,0.3026370125888343,0.3091073602075703,0.1666811073045147,0.0003052590267960014,0.16611265894469668,0.16726630654902536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
