route,method_display_name,reference_route,reference_label,top_k,cost_lambda,n_eligible_conversion_events,top_k_credited_mass_per_1000_events,top_k_cost_adjusted_score_per_1000_events,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor,top_k_cost_adjusted_score_difference_per_1000_events_vs_arrival_anchor,credit_allocation_tv_distance_vs_arrival_anchor,top_k_decision_cell_overlap_vs_arrival_anchor,spearman_rank_correlation_vs_arrival_anchor,top_action_id,top_action_score,top_k_credited_mass_per_1000_events_ci_lower,top_k_credited_mass_per_1000_events_ci_upper,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_lower,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_upper,credit_allocation_tv_distance_vs_arrival_anchor_ci_lower,credit_allocation_tv_distance_vs_arrival_anchor_ci_upper,top_k_decision_cell_overlap_vs_arrival_anchor_ci_lower,top_k_decision_cell_overlap_vs_arrival_anchor_ci_upper,spearman_rank_correlation_vs_arrival_anchor_ci_lower,spearman_rank_correlation_vs_arrival_anchor_ci_upper,ci_level,candidate_window_days,window_common_cohort_events,common_cohort_coverage
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.64487561955322,57.64487561955322,-292.78147095440556,-292.78147095440556,0.9436588287801555,0.0,0.0963099929259639,495,0.16134831460674157,52.111667598430905,61.70461484557152,-300.7228701137438,-260.1199350544617,0.9420958227123589,0.9456334805189608,0.0,0.0,0.08489199161005073,0.10077135897615658,0.95,14.0,85142,0.6132029269416917
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.928425453947526,56.928425453947526,-293.49792112001126,-293.49792112001126,0.9408634986258251,0.0,0.10708038053626544,1295,0.16232895089884625,55.29336750150217,61.55656682677414,-300.40414556670214,-258.21752227085307,0.9393306588362073,0.9427913678302032,0.0,0.0,0.09372005237925865,0.11221076848079525,0.95,14.0,85142,0.6132029269416917
linear_attribution,Linear attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.69639012025847,56.69639012025847,-293.72995645370037,-293.72995645370037,0.9424336792653838,0.0,0.10401836727645168,1295,0.16041722565065736,53.637829480923635,61.21095337958364,-301.40605580798035,-257.59450330887,0.9408882591148154,0.9444253667871326,0.0,0.0,0.09092595803878155,0.10838766594564597,0.95,14.0,85142,0.6132029269416917
time_decay_soft,Time-decay attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.91055166975228,56.91055166975228,-293.51579490420653,-293.51579490420653,0.9414013695741441,0.0,0.10613327339403732,1295,0.16289471297929015,55.17231415607186,61.51401461554959,-300.4646694042514,-258.3324883735779,0.9397305974701357,0.9433631758498657,0.0,0.0,0.0937738452537773,0.11098375090887305,0.95,14.0,85142,0.6132029269416917
soft_attribution_em,EM soft attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.02733334982259,57.02733334982259,-293.39901322413624,-293.39901322413624,0.9411561090770678,0.0,0.10572007444890656,1295,0.16352245285442052,55.27298302725736,61.62427609240502,-300.3777971153772,-258.2278120733135,0.9395124654991166,0.94314630573473,0.0,0.0,0.09337872533964715,0.11050346723574621,0.95,14.0,85142,0.6132029269416917
arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,350.4263465739588,350.4263465739588,0.0,0.0,0.0,1.0,1.0,378,0.24775472282440383,315.40392761126986,357.4508552675799,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.95,30.0,85142,0.586183630755673
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,58.20863968429212,58.20863968429212,-292.21770688966666,-292.21770688966666,0.944351788776397,0.0,0.09342285342899082,495,0.16179775280898875,52.19185832134619,61.595918388499925,-301.928270507083,-259.6863596154918,0.9428885103371257,0.9459498660547213,0.0,0.0,0.08363927636711874,0.09772177859237317,0.95,30.0,85142,0.586183630755673
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.928425453947526,56.928425453947526,-293.49792112001126,-293.49792112001126,0.9408634986258251,0.0,0.10708038053626544,1295,0.16232895089884625,55.33372291691274,61.31165719246242,-299.91725933434844,-257.962723459785,0.9393570398075911,0.9426441480246418,0.0,0.0,0.09586364080511912,0.1121578684515183,0.95,30.0,85142,0.586183630755673
linear_attribution,Linear attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.745953259037286,57.745953259037286,-292.6803933149215,-292.6803933149215,0.9428958251319746,0.0,0.10269795959899133,495,0.1601391118245051,53.56369824543323,61.092750369632164,-301.550627035353,-257.84718814909,0.941464014050337,0.9444595836405122,0.0,0.0,0.09088050962610265,0.10652000773365154,0.95,30.0,85142,0.586183630755673
time_decay_soft,Time-decay attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.91054571969702,56.91054571969702,-293.5158008542618,-293.5158008542618,0.9414022132019941,0.0,0.10612302716373717,1295,0.16289406738372442,55.22684600790126,61.15741464834505,-300.09726008195577,-258.0089726216462,0.9398803462009803,0.943056174549482,0.0,0.0,0.09545001963604707,0.11089488219012983,0.95,30.0,85142,0.586183630755673
soft_attribution_em,EM soft attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.02735302925372,57.02735302925372,-293.3989935447051,-293.3989935447051,0.9411568501455474,0.0,0.10572005994325089,1295,0.16352183651334765,54.89077575700071,61.46312298985934,-300.02727060397564,-257.9036717439857,0.93964176445473,0.9428192972117146,0.0,0.0,0.0950740662459889,0.11012753611647244,0.95,30.0,85142,0.586183630755673
