action_id,eligible_event_count,action_match_rate,exact_source_match_rate,lag_hours_p10,lag_hours_median,lag_hours_p90,eligible_event_share
action_01,819819,0.23085949459575833,0.0027981786223544467,0.5354471111111111,5.696678055555555,8.620137055555558,0.16076713837399909
action_02,424211,0.1125642663674445,0.0020485088788362396,0.5541794444444444,5.6880355555555555,8.6325925,0.0831881043703214
action_03,414699,0.08904771894795985,0.0022908181596772597,0.5413328333333336,5.6303463888888885,8.614355555555555,0.08132279383200322
action_04,407839,0.12610368307101577,0.0019762700477394266,0.5498158888888889,5.485020555555556,8.574543333333333,0.0799775425396501
action_05,317790,0.07341640706126687,0.001689795147739073,0.6698564722222222,5.874565416666666,8.690926222222222,0.062318864168643524
action_06,292467,0.23275446460626328,0.0024002707997825396,0.6316301111111112,5.822438611111111,8.663973722222227,0.05735300433245434
action_07,288724,0.06467768526343498,0.0021439159889721673,0.5084972222222223,5.608441388888889,8.618839277777779,0.05661899914480453
action_08,298372,0.1107376027241162,0.0022321129328489266,0.46479027777777776,5.487844861111111,8.594634083333336,0.05851097938804401
action_09,219731,0.10177899340557318,0.002120774947549504,0.44920194444444445,5.374477222222223,8.632635,0.043089418618081785
action_10,215979,0.09092550664647951,0.0018844424689437398,0.6328594444444444,5.88229,8.702319944444445,0.042353648523488656
action_11,170524,0.0635570359597476,0.0019528042973423097,0.5629619444444445,5.759864027777778,8.684718861111113,0.03343988795586321
action_12,153225,0.12878446728666992,0.002636645456028716,0.5555226111111112,5.625606666666667,8.62990138888889,0.030047540710029907
action_13,155431,0.08515032393795317,0.002386911233923735,0.4669258333333333,5.555141111111111,8.601967222222223,0.030480139011914886
action_14,135196,0.055423237373886804,0.0022411905677682774,0.38424375,5.332008472222222,8.576050416666666,0.026512039901016176
action_15,157755,0.0657728756616272,0.001438940128680549,0.5199168333333334,5.764364444444444,8.615040944444445,0.03093587720483451
action_16,141865,0.06363091671659676,0.0021428823176964013,0.48415966666666677,5.573786666666667,8.630359333333333,0.027819835946016596
action_17,144128,0.060480961367673176,0.0016998778863232683,0.5212694444444445,5.693835555555555,8.604760527777778,0.028263611991875937
action_18,122788,0.04313125061080887,0.002027885461119979,0.5221331944444446,5.615923333333333,8.614555722222223,0.024078821528491775
action_19,118142,0.03748032029252933,0.0015320546461038411,0.5741085277777778,5.77189875,8.650390972222223,0.023167737344195485
action_20,100734,0.06240196954355034,0.0020350626402207794,0.5485632500000001,5.5922463888888885,8.621990277777778,0.01975401511427086
