Route,Source-cell match mass,Mismatch mass,Allocation TV vs Criteo-attributed reference,Top-10 overlap vs Criteo-attributed reference,candidate_decision_cell_count_p90,attribution_nondiscriminative,interpretation_note
Arrival-bin anchor (diagnostic),0.0322020520915548,0.9677979479084452,0.9275059194948696,0.0,1.0,True,This subset is bookkeeping-valid but attribution-nondiscriminative because retained conversion journeys contain at most one eligible source-time decision cell at the 90th percentile.
First click or touch,1.0,0.0,0.0,1.0,1.0,True,This subset is bookkeeping-valid but attribution-nondiscriminative because retained conversion journeys contain at most one eligible source-time decision cell at the 90th percentile.
Last click or touch,1.0,0.0,0.0,1.0,1.0,True,This subset is bookkeeping-valid but attribution-nondiscriminative because retained conversion journeys contain at most one eligible source-time decision cell at the 90th percentile.
Linear attribution,1.0,0.0,0.0,1.0,1.0,True,This subset is bookkeeping-valid but attribution-nondiscriminative because retained conversion journeys contain at most one eligible source-time decision cell at the 90th percentile.
Time-decay attribution,1.0,0.0,0.0,1.0,1.0,True,This subset is bookkeeping-valid but attribution-nondiscriminative because retained conversion journeys contain at most one eligible source-time decision cell at the 90th percentile.
EM soft attribution,1.0,0.0,0.0,1.0,1.0,True,This subset is bookkeeping-valid but attribution-nondiscriminative because retained conversion journeys contain at most one eligible source-time decision cell at the 90th percentile.
Criteo-attributed cell reference,1.0,0.0,0.0,1.0,1.0,True,This subset is bookkeeping-valid but attribution-nondiscriminative because retained conversion journeys contain at most one eligible source-time decision cell at the 90th percentile.
