cohort_id,route,method_display_name,information_interface,reference_role,diagnostic_only,deployable,n_assignment_rows,n_conversion_events,assigned_conversion_mass,mean_assignment_weight
all_conversion_candidates,arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin,diagnostic_control,True,False,145248,145248,145248.0,1.0
all_conversion_candidates,click_prior_soft,Click prior soft attribution,source_candidate,none,False,True,222847,145248,145248.0,0.65178351065978
all_conversion_candidates,first_click,First click or touch,source_candidate,none,False,True,145248,145248,145248.0,1.0
all_conversion_candidates,last_click,Last click or touch,source_candidate,none,False,True,145248,145248,145248.0,1.0
all_conversion_candidates,last_touch,Last touch,source_candidate,none,False,True,145248,145248,145248.0,1.0
all_conversion_candidates,linear_attribution,Linear attribution,source_candidate,none,False,True,222847,145248,145248.0,0.65178351065978
all_conversion_candidates,soft_attribution_em,EM soft attribution,source_candidate,diagnostic_control,True,False,222847,145248,145248.0,0.65178351065978
all_conversion_candidates,time_decay_soft,Time-decay attribution,source_candidate,none,False,True,222847,145248,145248.0,0.65178351065978
all_conversion_candidates,uniform_soft,Uniform soft attribution,source_candidate,none,False,True,222847,145248,145248.0,0.65178351065978
unique_labelled_conversion_candidates,arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin,diagnostic_control,True,False,50680,50680,50680.0,1.0
unique_labelled_conversion_candidates,click_prior_soft,Click prior soft attribution,source_candidate,none,False,True,50680,50680,50680.0,1.0
unique_labelled_conversion_candidates,first_click,First click or touch,source_candidate,none,False,True,50680,50680,50680.0,1.0
unique_labelled_conversion_candidates,last_click,Last click or touch,source_candidate,none,False,True,50680,50680,50680.0,1.0
unique_labelled_conversion_candidates,last_touch,Last touch,source_candidate,none,False,True,50680,50680,50680.0,1.0
unique_labelled_conversion_candidates,linear_attribution,Linear attribution,source_candidate,none,False,True,50680,50680,50680.0,1.0
unique_labelled_conversion_candidates,soft_attribution_em,EM soft attribution,source_candidate,diagnostic_control,True,False,50680,50680,50680.0,1.0
unique_labelled_conversion_candidates,source_linked_reference,Criteo-attributed cell reference,source_labelled,source_linked_reference,False,False,50680,50680,50680.0,1.0
unique_labelled_conversion_candidates,time_decay_soft,Time-decay attribution,source_candidate,none,False,True,50680,50680,50680.0,1.0
unique_labelled_conversion_candidates,uniform_soft,Uniform soft attribution,source_candidate,none,False,True,50680,50680,50680.0,1.0
