route,method_display_name,reference_route,reference_label,top_k,cost_lambda,n_eligible_conversion_events,top_k_credited_mass_per_1000_events,top_k_cost_adjusted_score_per_1000_events,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor,top_k_cost_adjusted_score_difference_per_1000_events_vs_arrival_anchor,credit_allocation_tv_distance_vs_arrival_anchor,top_k_decision_cell_overlap_vs_arrival_anchor,spearman_rank_correlation_vs_arrival_anchor,top_action_id,top_action_score,top_k_credited_mass_per_1000_events_ci_lower,top_k_credited_mass_per_1000_events_ci_upper,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_lower,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_upper,credit_allocation_tv_distance_vs_arrival_anchor_ci_lower,credit_allocation_tv_distance_vs_arrival_anchor_ci_upper,top_k_decision_cell_overlap_vs_arrival_anchor_ci_lower,top_k_decision_cell_overlap_vs_arrival_anchor_ci_upper,spearman_rank_correlation_vs_arrival_anchor_ci_lower,spearman_rank_correlation_vs_arrival_anchor_ci_upper,ci_level,n_bootstrap,bootstrap_unit,metric_formula_id
arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin_anchor,arrival_anchor,10,0.0,145248.0,377.8158735404274,377.8158735404274,0.0,0.0,0.0,1.0,1.0,1396,0.45496073088636,371.3968641306368,385.54138942657784,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.95,1000,uid,source_time_decision_cell_credit_allocation_distance_vs_constructed_arrival_anchor
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,145248.0,42.64430491297642,42.64430491297642,-335.171568627451,-335.171568627451,0.9243707314386429,0.0,0.09828330324907779,495,0.19685393258426967,36.793604710917315,43.95823899369732,-346.21938040394645,-329.83222548120324,0.9227571496905044,0.925939216715262,0.0,0.0,0.0939412669251333,0.10221100108033546,0.95,1000,uid,source_time_decision_cell_credit_allocation_distance_vs_constructed_arrival_anchor
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,145248.0,40.689028420356905,40.689028420356905,-337.1268451200705,-337.1268451200705,0.9222433355364617,0.0,0.12199897673577828,495,0.19280898876404495,37.17181206110837,42.9945977637221,-345.0157712090601,-330.29956369016753,0.9207023622588973,0.9238546731066866,0.0,0.0,0.1142667989931579,0.12493787166077194,0.95,1000,uid,source_time_decision_cell_credit_allocation_distance_vs_constructed_arrival_anchor
linear_attribution,Linear attribution,arrival_bin_anchor,arrival_anchor,10,0.0,145248.0,39.75355669733561,39.75355669733561,-338.06231684309176,-338.06231684309176,0.9234837676685581,0.0,0.11045859489111497,495,0.19586944890315672,36.34811880069951,43.12486836806256,-345.2630570331232,-329.9227004091019,0.922022797288247,0.9250080734291523,0.0,0.0,0.10487335513958121,0.11383584933015055,0.95,1000,uid,source_time_decision_cell_credit_allocation_distance_vs_constructed_arrival_anchor
time_decay_soft,Time-decay attribution,arrival_bin_anchor,arrival_anchor,10,0.0,145248.0,40.690246694678265,40.690246694678265,-337.12562684574914,-337.12562684574914,0.9225146012904447,0.0,0.12036861166495925,495,0.1928361494942433,36.47346513941893,42.94547180628405,-345.2592660753599,-330.51840046193297,0.9210111170379474,0.9240927104348386,0.0,0.0,0.11315101047644781,0.12328274373140252,0.95,1000,uid,source_time_decision_cell_credit_allocation_distance_vs_constructed_arrival_anchor
soft_attribution_em,EM soft attribution,arrival_bin_anchor,arrival_anchor,10,0.0,145248.0,40.76745294413912,40.76745294413912,-337.04842059628834,-337.04842059628834,0.9224342591727409,0.0,0.11978108668587038,495,0.19334129000988054,36.63062494280413,43.045519801572226,-345.17139220772896,-330.4393890159326,0.9209408137523826,0.9240047966453616,0.0,0.0,0.1126302845891784,0.12260445582069127,0.95,1000,uid,source_time_decision_cell_credit_allocation_distance_vs_constructed_arrival_anchor
