route,method_display_name,reference_route,reference_label,top_k,cost_lambda,n_eligible_conversion_events,top_k_credited_mass_per_1000_events,top_k_cost_adjusted_score_per_1000_events,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor,top_k_cost_adjusted_score_difference_per_1000_events_vs_arrival_anchor,credit_allocation_tv_distance_vs_arrival_anchor,top_k_decision_cell_overlap_vs_arrival_anchor,spearman_rank_correlation_vs_arrival_anchor,top_action_id,top_action_score,top_k_credited_mass_per_1000_events_ci_lower,top_k_credited_mass_per_1000_events_ci_upper,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_lower,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_upper,credit_allocation_tv_distance_vs_arrival_anchor_ci_lower,credit_allocation_tv_distance_vs_arrival_anchor_ci_upper,top_k_decision_cell_overlap_vs_arrival_anchor_ci_lower,top_k_decision_cell_overlap_vs_arrival_anchor_ci_upper,spearman_rank_correlation_vs_arrival_anchor_ci_lower,spearman_rank_correlation_vs_arrival_anchor_ci_upper,ci_level,candidate_window_days,window_common_cohort_events,common_cohort_coverage
arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,350.4263465739588,350.4263465739588,0.0,0.0,0.0,1.0,1.0,378,0.24775472282440383,315.682898728979,358.1640894455885,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.95,1.0,85142,1.0
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.99889596203989,56.99889596203989,-293.4274506119189,-293.4274506119189,0.9409926945573277,0.0,0.10716234256482172,1295,0.16259726321438153,54.288965850663295,61.78008156864928,-300.1800027945287,-257.43957437870847,0.9391333506447175,0.9425710871116806,0.0,0.0,0.09589220699531835,0.1121082029990777,0.95,1.0,85142,1.0
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.928425453947526,56.928425453947526,-293.49792112001126,-293.49792112001126,0.9408634986258251,0.0,0.10708038053626544,1295,0.16232895089884625,54.77258710365023,61.829923426446804,-300.33343023782015,-257.42093195470517,0.9391012951860384,0.9424311669593962,0.0,0.0,0.09587653195375839,0.11235520611762602,0.95,1.0,85142,1.0
linear_attribution,Linear attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.963660707993704,56.963660707993704,-293.4626858659651,-293.4626858659651,0.9409280965915764,0.0,0.10708951671216327,1295,0.1624631070566139,54.55382453711322,61.82268577522862,-300.17027575311334,-257.4592539152035,0.9390886313520007,0.9424748772898801,0.0,0.0,0.09610581980106742,0.11240832254496669,0.95,1.0,85142,1.0
time_decay_soft,Time-decay attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.95392366724905,56.95392366724905,-293.4724229067097,-293.4724229067097,0.9409156902910494,0.0,0.10713600655451169,1295,0.16240724779809884,54.686872780173466,61.805585887572256,-300.06103067501687,-257.42872118959616,0.939086516460638,0.9424541070923557,0.0,0.0,0.09627095715172547,0.11225455606707543,0.95,1.0,85142,1.0
soft_attribution_em,EM soft attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.96952068097589,56.96952068097589,-293.4568258929829,-293.4568258929829,0.940890333913785,0.0,0.10715546681318637,1295,0.16254716981569378,54.689920206320735,61.82582920457234,-300.04684324243476,-257.41252353639874,0.9390736387232569,0.942436415899628,0.0,0.0,0.09631996825077493,0.11216422128107637,0.95,1.0,85142,1.0
arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,350.4263465739588,350.4263465739588,0.0,0.0,0.0,1.0,1.0,378,0.24775472282440383,313.3790836026229,357.76554698937366,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.95,7.0,85142,0.676390444640403
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.86803222851237,57.86803222851237,-292.55831434544643,-292.55831434544643,0.9432007704775551,0.0,0.10070078195219408,1295,0.16125570163670513,52.6827880443118,61.903392115438805,-300.59192584716317,-253.848999606938,0.941405131563712,0.9449558980699491,0.0,0.0,0.0893200196209474,0.10493028492239038,0.95,7.0,85142,0.676390444640403
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.928425453947526,56.928425453947526,-293.49792112001126,-293.49792112001126,0.9408634986258251,0.0,0.10708038053626544,1295,0.16232895089884625,54.993414920154,61.48950588651683,-300.2861488626514,-254.79057028038676,0.939133042181619,0.9426998941107607,0.0,0.0,0.09594090101467846,0.11222652673712016,0.95,7.0,85142,0.676390444640403
linear_attribution,Linear attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.844056595648055,56.844056595648055,-293.58228997831077,-293.58228997831077,0.9420742490696214,0.0,0.10511143646871014,1295,0.16185940434665955,54.190346618973095,61.543844138488076,-299.89516895944473,-254.22798993798958,0.9403516734663943,0.9438326033297805,0.0,0.0,0.09387285832426354,0.10992261990611694,0.95,7.0,85142,0.676390444640403
time_decay_soft,Time-decay attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.915253169867704,56.915253169867704,-293.5110934040911,-293.5110934040911,0.9413849704450539,0.0,0.1061030391343308,1295,0.1629325298186011,54.43951118103378,61.41219715464516,-300.18765390803753,-254.81263998854098,0.9396779741400498,0.9431648839541396,0.0,0.0,0.09522263240961812,0.11125656147605695,0.95,7.0,85142,0.676390444640403
soft_attribution_em,EM soft attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.02953629602743,57.02953629602743,-293.39681027793137,-293.39681027793137,0.9411507149966589,0.0,0.10564823131741208,1295,0.1635556309998797,54.5844661110658,61.47403013544103,-300.10759741194283,-254.72217142556275,0.939447222556559,0.9429234010234432,0.0,0.0,0.09493809990905015,0.11048207874355169,0.95,7.0,85142,0.676390444640403
arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,350.4263465739588,350.4263465739588,0.0,0.0,0.0,1.0,1.0,378,0.24775472282440383,314.9134681478776,357.8575442387999,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.95,14.0,85142,0.6132029269416917
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.64487561955322,57.64487561955322,-292.78147095440556,-292.78147095440556,0.9436588287801555,0.0,0.0963099929259639,495,0.16134831460674157,52.11166759843091,61.52766139192879,-300.86196644333535,-257.0977167024058,0.9418646014704769,0.9453932548985211,0.0,0.0,0.08419584518427735,0.10159976105298058,0.95,14.0,85142,0.6132029269416917
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.928425453947526,56.928425453947526,-293.49792112001126,-293.49792112001126,0.9408634986258251,0.0,0.10708038053626544,1295,0.16232895089884625,54.86638415715252,61.64576851813354,-300.26924168322114,-256.0221048789423,0.9389657503818222,0.9426670970092295,0.0,0.0,0.09548452859799911,0.11279273779223388,0.95,14.0,85142,0.6132029269416917
linear_attribution,Linear attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.69639012025847,56.69639012025847,-293.72995645370037,-293.72995645370037,0.9424336792653838,0.0,0.10401836727645168,1295,0.16041722565065736,53.43576506279776,61.42512545635186,-300.72393820014474,-256.5573397796512,0.9406798108196899,0.9440750770396844,0.0,0.0,0.09216085145833117,0.10924365696929131,0.95,14.0,85142,0.6132029269416917
time_decay_soft,Time-decay attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.91055166975228,56.91055166975228,-293.51579490420653,-293.51579490420653,0.9414013695741441,0.0,0.10613327339403732,1295,0.16289471297929015,54.50047350115849,61.509284348915514,-300.44258553160734,-255.88981029509404,0.9395630638326503,0.9431549156264849,0.0,0.0,0.09506057196387652,0.11213256063463004,0.95,14.0,85142,0.6132029269416917
soft_attribution_em,EM soft attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.02733334982259,57.02733334982259,-293.39901322413624,-293.39901322413624,0.9411561090770678,0.0,0.10572007444890656,1295,0.16352245285442052,54.70457680594749,61.62427609240502,-300.32907400984794,-255.996708789437,0.9393142630978545,0.942914564018527,0.0,0.0,0.09434967680270907,0.11111354056315469,0.95,14.0,85142,0.6132029269416917
arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,350.4263465739588,350.4263465739588,0.0,0.0,0.0,1.0,1.0,378,0.24775472282440383,314.90354700728375,357.97556792458613,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.95,30.0,85142,0.586183630755673
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,58.20863968429212,58.20863968429212,-292.21770688966666,-292.21770688966666,0.944351788776397,0.0,0.09342285342899082,495,0.16179775280898875,52.002936782193274,61.72385209753311,-301.66031977076653,-259.0114607213016,0.9426173483542223,0.9461368945781307,0.0,0.0,0.08206535932763866,0.09801784110562813,0.95,30.0,85142,0.586183630755673
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.928425453947526,56.928425453947526,-293.49792112001126,-293.49792112001126,0.9408634986258251,0.0,0.10708038053626544,1295,0.16232895089884625,54.981122294167044,61.58879531246336,-299.56352035202923,-256.3209385776517,0.9390871167754556,0.9427402359811422,0.0,0.0,0.09565941246302365,0.1125366406672992,0.95,30.0,85142,0.586183630755673
linear_attribution,Linear attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.745953259037286,57.745953259037286,-292.6803933149215,-292.6803933149215,0.9428958251319746,0.0,0.10269795959899133,495,0.1601391118245051,52.50498320485652,61.36257695442729,-300.3641268996254,-257.84718814909,0.9411784030613192,0.9445899907670783,0.0,0.0,0.09072911088025135,0.10723154702859423,0.95,30.0,85142,0.586183630755673
time_decay_soft,Time-decay attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.91054571969702,56.91054571969702,-293.5158008542618,-293.5158008542618,0.9414022132019941,0.0,0.10612302716373717,1295,0.16289406738372442,54.550214932522245,61.502349110748135,-299.7200368187368,-256.53187675771403,0.9396583239698383,0.9431965815796679,0.0,0.0,0.09505249877689265,0.11163685271101766,0.95,30.0,85142,0.586183630755673
soft_attribution_em,EM soft attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.02735302925372,57.02735302925372,-293.3989935447051,-293.3989935447051,0.9411568501455474,0.0,0.10572005994325089,1295,0.16352183651334765,54.649382927537324,61.53576235784243,-299.6770267144825,-256.46022115584,0.9394076231173796,0.9429513382452238,0.0,0.0,0.09460733671211886,0.11088112653062594,0.95,30.0,85142,0.586183630755673
