route,method_display_name,reference_route,reference_label,top_k,cost_lambda,n_eligible_conversion_events,top_k_credited_mass_per_1000_events,top_k_cost_adjusted_score_per_1000_events,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor,top_k_cost_adjusted_score_difference_per_1000_events_vs_arrival_anchor,credit_allocation_tv_distance_vs_arrival_anchor,top_k_decision_cell_overlap_vs_arrival_anchor,spearman_rank_correlation_vs_arrival_anchor,top_action_id,top_action_score
arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin_anchor,arrival_anchor,10,0.1,145248.0,336.5485239039436,270.6705779593223,0.0,0.0,0.0,1.0,1.0,378,0.36268401447346005
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,0.1,145248.0,38.60294117647059,22.216066247442168,-297.94558272747304,-248.45451171188017,0.9243707314386429,0.0,0.9237825866438754,45,0.12665800957233347
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,0.1,145248.0,40.93688037012558,22.396987390373894,-295.61164353381804,-248.27359056894844,0.9222433355364617,0.0,0.9344359152350594,545,0.11071530259429122
linear_attribution,Linear attribution,arrival_bin_anchor,arrival_anchor,10,0.1,145248.0,36.90207902761605,20.682874457569834,-299.64644487632756,-249.9877035017525,0.9234837676685581,0.0,0.9315906809022183,545,0.11288242713641569
time_decay_soft,Time-decay attribution,arrival_bin_anchor,arrival_anchor,10,0.1,145248.0,37.781171580280244,20.891185824584568,-298.7673523236634,-249.77939213473775,0.9225146012904447,0.0,0.9339011382367869,545,0.11116004551511091
soft_attribution_em,EM soft attribution,arrival_bin_anchor,arrival_anchor,10,0.1,145248.0,37.84758773014467,20.95760197444899,-298.70093617379894,-249.7129759848733,0.9224342591727409,0.0,0.9337239498392284,545,0.11169190955549355
arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin_anchor,arrival_anchor,10,0.5,145248.0,264.24460233531613,136.8569757088933,0.0,0.0,0.0,1.0,1.0,378,0.27114692278538627
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,0.5,145248.0,8.605970478078872,-6.051169510954933,-255.63863185723727,-142.9081452198482,0.9243707314386429,0.0,0.9847518896007914,189,-0.024960481599355273
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,0.5,145248.0,8.378772857457589,-9.374634568150633,-255.86582947785857,-146.2316102770439,0.9222433355364617,0.0,0.9849487677630975,1089,-0.032349292632946704
linear_attribution,Linear attribution,arrival_bin_anchor,arrival_anchor,10,0.5,145248.0,8.007118123608539,-7.265030163579084,-256.2374842117076,-144.12200587247233,0.9234837676685581,0.0,0.9849176954112739,1089,-0.03278580056945464
time_decay_soft,Time-decay attribution,arrival_bin_anchor,arrival_anchor,10,0.5,145248.0,8.401004962676673,-9.35240246293155,-255.84359737263946,-146.2093781718248,0.9225146012904447,0.0,0.9849316500408503,1089,-0.029950080270775156
soft_attribution_em,EM soft attribution,arrival_bin_anchor,arrival_anchor,10,0.5,145248.0,8.417506826780343,-9.33590059882788,-255.82709550853585,-146.19287630772115,0.9224342591727409,0.0,0.9849279478584633,1089,-0.029092626382560702
arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin_anchor,arrival_anchor,10,1.0,145248.0,264.24460233531613,9.46934908247037,0.0,0.0,0.0,1.0,1.0,378,0.15672555817529404
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,1.0,145248.0,8.929554968054637,-23.552337421416677,-255.3150473672615,-33.02168650388705,0.9243707314386429,0.0,0.9963222974821595,339,-0.10257365141327171
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,1.0,145248.0,7.51129103326724,-24.905614141415935,-256.7333113020489,-34.374963223886304,0.9222433355364617,0.0,0.9963884431408071,1089,-0.1021985852658934
linear_attribution,Linear attribution,arrival_bin_anchor,arrival_anchor,10,1.0,145248.0,8.286847680849661,-24.768442530662536,-255.95775465446647,-34.237791613132906,0.9234837676685581,0.0,0.9963728225291568,1089,-0.10263509320240134
time_decay_soft,Time-decay attribution,arrival_bin_anchor,arrival_anchor,10,1.0,145248.0,7.543704972517778,-24.873200202165396,-256.70089736279834,-34.34254928463577,0.9225146012904447,0.0,0.9963869070598694,1089,-0.09979937290372186
soft_attribution_em,EM soft attribution,arrival_bin_anchor,arrival_anchor,10,1.0,145248.0,7.54502042340508,-24.8718847512781,-256.6995819119111,-34.34123383374846,0.9224342591727409,0.0,0.9963827989364313,1089,-0.0989419190155074
