metric,route_left,route_right,value
allocation_tv,first_click_or_touch,first_click_or_touch,0.0
allocation_tv,first_click_or_touch,last_click_or_touch,0.06176835518152883
allocation_tv,first_click_or_touch,linear_source_cell_credit,0.03216834324618756
allocation_tv,first_click_or_touch,time_decay_source_cell_credit,0.049638155022721106
allocation_tv,last_click_or_touch,first_click_or_touch,0.06176835518152883
allocation_tv,last_click_or_touch,last_click_or_touch,0.0
allocation_tv,last_click_or_touch,linear_source_cell_credit,0.032788333836238026
allocation_tv,last_click_or_touch,time_decay_source_cell_credit,0.01665405827747619
allocation_tv,linear_source_cell_credit,first_click_or_touch,0.03216834324618756
allocation_tv,linear_source_cell_credit,last_click_or_touch,0.032788333836238026
allocation_tv,linear_source_cell_credit,linear_source_cell_credit,0.0
allocation_tv,linear_source_cell_credit,time_decay_source_cell_credit,0.019048877312472137
allocation_tv,time_decay_source_cell_credit,first_click_or_touch,0.049638155022721106
allocation_tv,time_decay_source_cell_credit,last_click_or_touch,0.01665405827747619
allocation_tv,time_decay_source_cell_credit,linear_source_cell_credit,0.019048877312472137
allocation_tv,time_decay_source_cell_credit,time_decay_source_cell_credit,0.0
top_k_overlap,first_click_or_touch,first_click_or_touch,1.0
top_k_overlap,first_click_or_touch,last_click_or_touch,0.8
top_k_overlap,first_click_or_touch,linear_source_cell_credit,0.9
top_k_overlap,first_click_or_touch,time_decay_source_cell_credit,0.9
top_k_overlap,last_click_or_touch,first_click_or_touch,0.8
top_k_overlap,last_click_or_touch,last_click_or_touch,1.0
top_k_overlap,last_click_or_touch,linear_source_cell_credit,0.9
top_k_overlap,last_click_or_touch,time_decay_source_cell_credit,0.9
top_k_overlap,linear_source_cell_credit,first_click_or_touch,0.9
top_k_overlap,linear_source_cell_credit,last_click_or_touch,0.9
top_k_overlap,linear_source_cell_credit,linear_source_cell_credit,1.0
top_k_overlap,linear_source_cell_credit,time_decay_source_cell_credit,1.0
top_k_overlap,time_decay_source_cell_credit,first_click_or_touch,0.9
top_k_overlap,time_decay_source_cell_credit,last_click_or_touch,0.9
top_k_overlap,time_decay_source_cell_credit,linear_source_cell_credit,1.0
top_k_overlap,time_decay_source_cell_credit,time_decay_source_cell_credit,1.0
kendall_tau_b,first_click_or_touch,first_click_or_touch,1.0
kendall_tau_b,first_click_or_touch,last_click_or_touch,0.7174258471978646
kendall_tau_b,first_click_or_touch,linear_source_cell_credit,0.8475712249359046
kendall_tau_b,first_click_or_touch,time_decay_source_cell_credit,0.7741811188326542
kendall_tau_b,last_click_or_touch,first_click_or_touch,0.7174258471978646
kendall_tau_b,last_click_or_touch,last_click_or_touch,1.0
kendall_tau_b,last_click_or_touch,linear_source_cell_credit,0.8545082113377596
kendall_tau_b,last_click_or_touch,time_decay_source_cell_credit,0.9250167745648283
kendall_tau_b,linear_source_cell_credit,first_click_or_touch,0.8475712249359046
kendall_tau_b,linear_source_cell_credit,last_click_or_touch,0.8545082113377596
kendall_tau_b,linear_source_cell_credit,linear_source_cell_credit,1.0
kendall_tau_b,linear_source_cell_credit,time_decay_source_cell_credit,0.9165681733115445
kendall_tau_b,time_decay_source_cell_credit,first_click_or_touch,0.7741811188326542
kendall_tau_b,time_decay_source_cell_credit,last_click_or_touch,0.9250167745648283
kendall_tau_b,time_decay_source_cell_credit,linear_source_cell_credit,0.9165681733115445
kendall_tau_b,time_decay_source_cell_credit,time_decay_source_cell_credit,1.0
