source_label_rate_q,proxy_noise_sigma,source_labelled_normalized_recovery,n_seeds,uncertainty_unit
0.0,0.05,0.1809 [fast preview],3,fast_preview_point_estimate_only
0.0,0.1,0.1760 [fast preview],3,fast_preview_point_estimate_only
0.0,0.25,0.1832 [fast preview],3,fast_preview_point_estimate_only
0.0,0.5,0.1497 [fast preview],3,fast_preview_point_estimate_only
0.0,1.0,0.1470 [fast preview],3,fast_preview_point_estimate_only
0.1,0.05,0.3146 [fast preview],3,fast_preview_point_estimate_only
0.1,0.1,0.2829 [fast preview],3,fast_preview_point_estimate_only
0.1,0.25,0.2802 [fast preview],3,fast_preview_point_estimate_only
0.1,0.5,0.2960 [fast preview],3,fast_preview_point_estimate_only
0.1,1.0,0.2407 [fast preview],3,fast_preview_point_estimate_only
0.3,0.05,0.5554 [fast preview],3,fast_preview_point_estimate_only
0.3,0.1,0.5221 [fast preview],3,fast_preview_point_estimate_only
0.3,0.25,0.4959 [fast preview],3,fast_preview_point_estimate_only
0.3,0.5,0.4991 [fast preview],3,fast_preview_point_estimate_only
0.3,1.0,0.4598 [fast preview],3,fast_preview_point_estimate_only
0.5,0.05,0.7135 [fast preview],3,fast_preview_point_estimate_only
0.5,0.1,0.7010 [fast preview],3,fast_preview_point_estimate_only
0.5,0.25,0.6920 [fast preview],3,fast_preview_point_estimate_only
0.5,0.5,0.6939 [fast preview],3,fast_preview_point_estimate_only
0.5,1.0,0.6823 [fast preview],3,fast_preview_point_estimate_only
0.7,0.05,0.8386 [fast preview],3,fast_preview_point_estimate_only
0.7,0.1,0.8553 [fast preview],3,fast_preview_point_estimate_only
0.7,0.25,0.8543 [fast preview],3,fast_preview_point_estimate_only
0.7,0.5,0.8559 [fast preview],3,fast_preview_point_estimate_only
0.7,1.0,0.8319 [fast preview],3,fast_preview_point_estimate_only
1.0,0.05,1.0000 [fast preview],3,fast_preview_point_estimate_only
1.0,0.1,1.0000 [fast preview],3,fast_preview_point_estimate_only
1.0,0.25,1.0000 [fast preview],3,fast_preview_point_estimate_only
1.0,0.5,1.0000 [fast preview],3,fast_preview_point_estimate_only
1.0,1.0,1.0000 [fast preview],3,fast_preview_point_estimate_only
