setting_id,method_id,method_display_name,information_interface,reference_role,deployable,metric_id,point_estimate,ci_lower,ci_upper,ci_level,n_seeds,n_bootstrap,paper_result
zero_static,arrival_time_naive,Arrival time,arrival_time,none,True,causal_regret_per_round,0.030972839506172745,0.030972839506172745,0.030972839506172745,0.95,1,1000,False
zero_static,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,True,causal_regret_per_round,0.253807407407414,0.253807407407414,0.253807407407414,0.95,1,1000,False
zero_static,source_labelled,Source labelled,source_labelled,none,True,causal_regret_per_round,0.03217777777777767,0.03217777777777767,0.03217777777777767,0.95,1,1000,False
zero_static,soft_attribution_em,Soft attribution,partial_attribution,none,True,causal_regret_per_round,0.030518518518518386,0.030518518518518386,0.030518518518518386,0.95,1,1000,False
zero_static,proxy_state,Proxy state,proxy_state,none,True,causal_regret_per_round,0.033027160493827076,0.033027160493827076,0.033027160493827076,0.95,1,1000,False
zero_static,oracle_reference,Oracle reference†,oracle_reference,oracle_reference,False,causal_regret_per_round,0.0,0.0,0.0,0.95,1,1000,False
aligned_static_delay_15,arrival_time_naive,Arrival time,arrival_time,none,True,causal_regret_per_round,0.1333135802469121,0.1333135802469121,0.1333135802469121,0.95,1,1000,False
aligned_static_delay_15,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,True,causal_regret_per_round,0.3922962962963157,0.3922962962963157,0.3922962962963157,0.95,1,1000,False
aligned_static_delay_15,source_labelled,Source labelled,source_labelled,none,True,causal_regret_per_round,0.03059753086419748,0.03059753086419748,0.03059753086419748,0.95,1,1000,False
aligned_static_delay_15,soft_attribution_em,Soft attribution,partial_attribution,none,True,causal_regret_per_round,0.03446913580246904,0.03446913580246904,0.03446913580246904,0.95,1,1000,False
aligned_static_delay_15,proxy_state,Proxy state,proxy_state,none,True,causal_regret_per_round,0.03093333333333324,0.03093333333333324,0.03093333333333324,0.95,1,1000,False
aligned_static_delay_15,oracle_reference,Oracle reference†,oracle_reference,oracle_reference,False,causal_regret_per_round,0.0,0.0,0.0,0.95,1,1000,False
geometric_mid,arrival_time_naive,Arrival time,arrival_time,none,True,causal_regret_per_round,1.2970328114114824,1.2970328114114824,1.2970328114114824,0.95,1,1000,False
geometric_mid,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,True,causal_regret_per_round,1.6796089436156705,1.6796089436156705,1.6796089436156705,0.95,1,1000,False
geometric_mid,source_labelled,Source labelled,source_labelled,none,True,causal_regret_per_round,0.3718006766108772,0.3718006766108772,0.3718006766108772,0.95,1,1000,False
geometric_mid,soft_attribution_em,Soft attribution,partial_attribution,none,True,causal_regret_per_round,0.5616331351967353,0.5616331351967353,0.5616331351967353,0.95,1,1000,False
geometric_mid,proxy_state,Proxy state,proxy_state,none,True,causal_regret_per_round,1.7360346912386175,1.7360346912386175,1.7360346912386175,0.95,1,1000,False
geometric_mid,oracle_reference,Oracle reference†,oracle_reference,oracle_reference,False,causal_regret_per_round,0.0,0.0,0.0,0.95,1,1000,False
mixture_mid,arrival_time_naive,Arrival time,arrival_time,none,True,causal_regret_per_round,1.0127963243658797,1.0127963243658797,1.0127963243658797,0.95,1,1000,False
mixture_mid,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,True,causal_regret_per_round,1.6946053237789522,1.6946053237789522,1.6946053237789522,0.95,1,1000,False
mixture_mid,source_labelled,Source labelled,source_labelled,none,True,causal_regret_per_round,0.37769997150083673,0.37769997150083673,0.37769997150083673,0.95,1,1000,False
mixture_mid,soft_attribution_em,Soft attribution,partial_attribution,none,True,causal_regret_per_round,0.5394348737784833,0.5394348737784833,0.5394348737784833,0.95,1,1000,False
mixture_mid,proxy_state,Proxy state,proxy_state,none,True,causal_regret_per_round,1.2832262993946502,1.2832262993946502,1.2832262993946502,0.95,1,1000,False
mixture_mid,oracle_reference,Oracle reference†,oracle_reference,oracle_reference,False,causal_regret_per_round,0.0,0.0,0.0,0.95,1,1000,False
structural_mid,arrival_time_naive,Arrival time,arrival_time,none,True,causal_regret_per_round,0.9916414766883512,0.9916414766883512,0.9916414766883512,0.95,1,1000,False
structural_mid,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,True,causal_regret_per_round,1.6585455615832856,1.6585455615832856,1.6585455615832856,0.95,1,1000,False
structural_mid,source_labelled,Source labelled,source_labelled,none,True,causal_regret_per_round,0.48717195167013877,0.48717195167013877,0.48717195167013877,0.95,1,1000,False
structural_mid,soft_attribution_em,Soft attribution,partial_attribution,none,True,causal_regret_per_round,0.554946505688951,0.554946505688951,0.554946505688951,0.95,1,1000,False
structural_mid,proxy_state,Proxy state,proxy_state,none,True,causal_regret_per_round,0.9523302088912268,0.9523302088912268,0.9523302088912268,0.95,1,1000,False
structural_mid,oracle_reference,Oracle reference†,oracle_reference,oracle_reference,False,causal_regret_per_round,0.0,0.0,0.0,0.95,1,1000,False
