Control,Unit-level correspondence,Raw defect,OOF calibrated defect,Recoverability,Estimability rate
Affine-linked control,preserved by construction,0.5815165225499298,0.1562108811929857,0.7312124455253525,1.0
Temporally blocked correspondence-destroyed control,destroyed within temporal blocks,1.4356938637214156,0.8766230994979726,0.3893364825918112,1.0
