split_id,record_type,component_id,eligible_source_event_count,right_censored_count,target_zero_rate,target_mean,target_std,target_interval,target_p0,target_p25,target_p50,target_p75,target_p90,target_p95,target_p99,statistic,value,source_column,component_weight,nonzero_rate,component_window_sum_mean,raw_weighted_contribution,raw_weighted_contribution_total,contribution_share,long_view_shared_with_proxy,longview_shared_component_disclosure,eligible_target_count,constructed_formula,constructed_formula_matches,component_formula_matches,target_horizon_hours,run_id,run_tier,paper_result,analysis_tier,experiment_id,config_hash,input_manifest_hash,code_version_type,code_version
history,target_summary,constructed_target,4522259.0,121323.0,0.018940091666576373,3.0195184690425987,1.1066711790790567,"[t,t+6h)",0.0,2.3513752571634776,3.1780538303479458,3.828641396489095,4.30406509320417,4.5591262474866845,4.993828175779875,,,,,,,,,,,,,,,,,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history,target_distribution,constructed_target,,,,,,,,,,,,,,count,4522259.0,,,,,,,,,,,,,,,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history,target_distribution,constructed_target,,,,,,,,,,,,,,mean,3.0195184690425987,,,,,,,,,,,,,,,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history,target_distribution,constructed_target,,,,,,,,,,,,,,std,1.1066711790790567,,,,,,,,,,,,,,,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history,target_distribution,constructed_target,,,,,,,,,,,,,,zero_rate,0.018940091666576373,,,,,,,,,,,,,,,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history,target_distribution,constructed_target,,,,,,,,,,,,,,p0,0.0,,,,,,,,,,,,,,,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history,target_distribution,constructed_target,,,,,,,,,,,,,,p25,2.3513752571634776,,,,,,,,,,,,,,,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history,target_distribution,constructed_target,,,,,,,,,,,,,,p50,3.1780538303479458,,,,,,,,,,,,,,,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history,target_distribution,constructed_target,,,,,,,,,,,,,,p75,3.828641396489095,,,,,,,,,,,,,,,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history,target_distribution,constructed_target,,,,,,,,,,,,,,p90,4.30406509320417,,,,,,,,,,,,,,,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
