control_id,control_display_name,correspondence_status,raw_pairwise_discrepancy,oof_calibrated_pairwise_discrepancy,recoverability,negative_recoverability_rate,estimability_rate,minimum_training_support,monte_carlo_replications,analysis_tier,run_id,run_tier,paper_result,experiment_id,module_id,code_commit,config_hash,source_code_hash,calibration_hash,result_schema,seed_or_replication
affine_linked,Affine-linked control,preserved by construction,0.24076498393744067,0.04582664250282,0.8094463061623256,0.0,1.0,391,1000,primary,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_c_calibration_controls,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
blocked_correspondence_destroyed,Temporally blocked correspondence-destroyed control,destroyed within temporal blocks,0.39609431680825763,0.29307320334805864,0.25982973532650794,0.0,1.0,391,1000,primary,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_c_calibration_controls,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
nonlinear_monotone,Nonlinear monotone control,monotone but outside affine family,0.04603573953743075,0.031784320702910054,0.30909206302848147,0.0,1.0,391,1000,appendix,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_c_calibration_controls,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
