mechanism_id,mechanism_display_name,route_id,route_display_name,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,transfer_slack_rate,30,5.5502171146063847e-17,1.1158351929961586e-19,5.5293016946028155e-17,5.571423127897236e-17,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,regret_stability_slack_rate,30,5.5502171146063847e-17,1.1158351929961586e-19,5.529477132970354e-17,5.571619975643672e-17,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,ranking_reversal_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,pairwise_sign_disagreement_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,directed_choice_disagreement_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,complete_conflict_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,mean_structural_conflict_margin,0,,,,,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,min_structural_conflict_margin,0,,,,,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,mean_route_conflict_margin,0,,,,,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,min_route_conflict_margin,0,,,,,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,arrival_assigned,Arrival-time assignment,margin_preservation_rate,30,1.0,0.0,1.0,1.0,2000,0.95,full,False
