mechanism_id,mechanism,mean_delay,mean_delay_ci_lower,mean_delay_ci_upper,alignment_budget_rate,alignment_budget_rate_ci_lower,alignment_budget_rate_ci_upper,ranking_reversal_rate,ranking_reversal_rate_ci_lower,ranking_reversal_rate_ci_upper,margin_preservation_rate,margin_preservation_rate_ci_lower,margin_preservation_rate_ci_upper,arrival_minus_source_regret_rate,arrival_minus_source_ci_lower,arrival_minus_source_ci_upper
zero_delay,Zero delay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
exact_valid_shift,Exact-valid shift,14.970849673202611,14.90722908496732,15.033072385620914,5.550217114606385e-17,5.5288500557318384e-17,5.572219597269171e-17,0.0,0.0,0.0,1.0,1.0,1.0,0.06749504,0.066203312,0.0688731239999999
geometric_delay,Geometric delay,14.970849673202611,14.904618790849671,15.028969117647058,0.2587714326563771,0.2549227961717554,0.2627063563627808,0.6680466666666667,0.6615111666666667,0.67436,0.0460866666666666,0.0443666666666666,0.0478466666666666,0.0544396969947972,0.0527156886768948,0.0562251062260916
mixture_delay,Mixture delay,14.97058823529412,14.85621454248366,15.07498725490196,0.2191296534230705,0.2157251878257576,0.2223268697656643,0.58616,0.5809531666666666,0.5911211666666666,0.1015733333333333,0.0993931666666667,0.1036668333333333,0.0436676890470432,0.0425063025784628,0.0448419154064721
state_coupled_delay,State-coupled delay,14.902045751633986,14.538344281045749,15.284206699346404,0.2480882327850295,0.2436658699178359,0.2523038978665366,0.6517533333333333,0.6442574999999998,0.6586135000000001,0.0530533333333333,0.0507398333333333,0.0556068333333333,0.0516033582352001,0.049811923229285,0.0533845024249466
systematic_misbinding,Systematic misbinding,15.0,15.0,15.0,0.5555703703703704,0.5553111111111111,0.5558296296296296,0.5000133333333333,0.4997798333333332,0.5002533333333333,0.4999866666666666,0.4997533333333333,0.5002133333333333,0.0713889711934156,0.0701656604938271,0.0726065514403292
