targeted_component,target_horizon,feedback_binding_id,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,paper_result
horizon_scaling,1000,arrival_clock,structural_regret,30,179.89794238683126,1.3936361714615937,177.10784979423866,182.52939300411524,2000,0.95,False
horizon_scaling,1000,arrival_clock,structural_regret_rate,30,0.17989794238683127,0.0013936361714615934,0.1770935699588477,0.18264199588477367,2000,0.95,False
horizon_scaling,1000,source_round,structural_regret,30,155.45349794238683,1.2217380652451513,153.12796296296298,157.69072016460905,2000,0.95,False
horizon_scaling,1000,source_round,structural_regret_rate,30,0.1554534979423868,0.0012217380652451513,0.1530554526748971,0.15779978395061725,2000,0.95,False
horizon_scaling,5000,arrival_clock,structural_regret,30,892.3551440329217,3.106733755694897,886.1162860082304,898.1327469135803,2000,0.95,False
horizon_scaling,5000,arrival_clock,structural_regret_rate,30,0.1784710288065843,0.0006213467511389796,0.17727208024691354,0.17963145473251024,2000,0.95,False
horizon_scaling,5000,source_round,structural_regret,30,535.4102880658435,1.389023336233675,532.6338683127572,538.0696913580246,2000,0.95,False
horizon_scaling,5000,source_round,structural_regret_rate,30,0.10708205761316872,0.0002778046672467352,0.10654647119341562,0.10763231275720163,2000,0.95,False
horizon_scaling,10000,arrival_clock,structural_regret,30,1783.3691358024687,8.72867491892628,1767.6116460905346,1799.7390226337448,2000,0.95,False
horizon_scaling,10000,arrival_clock,structural_regret_rate,30,0.1783369135802469,0.0008728674918926281,0.17670674691358024,0.1800637942386831,2000,0.95,False
horizon_scaling,10000,source_round,structural_regret,30,860.7251028806583,1.9691788789411213,856.9652674897118,864.5072736625515,2000,0.95,False
horizon_scaling,10000,source_round,structural_regret_rate,30,0.08607251028806585,0.0001969178878941121,0.08569279012345676,0.08646949176954731,2000,0.95,False
