split_id,excluded_event_count,excluded_event_fraction,frozen_tolerance,tolerance_source,timezone_name,timezone_rule,boundary_policy,raw_strict_event_time_nonoverlap,raw_overlap_width_ms,retained_strict_event_time_nonoverlap
history,1964,0.00042277054193414507,0.001,run_config.max_prestart_history_fraction,Asia/Shanghai,Asia/Shanghai_epoch_day,quarantine_events_outside_frozen_split_boundaries,False,3031968,True
evaluation,2195,0.0003580834525313482,0.001,run_config.max_preboundary_evaluation_fraction,Asia/Shanghai,Asia/Shanghai_epoch_day,quarantine_events_outside_frozen_split_boundaries,False,3031968,True
