Control,Unit-level correspondence,Raw defect,OOF calibrated defect,Recoverability,Estimability rate
Affine-linked control,preserved by construction,0.5907838796257786,0.1562775871490851,0.7353102830286662,1.0
Temporally blocked correspondence-destroyed control,destroyed within temporal blocks,1.4390008751655974,0.8783542239691527,0.3895300990419809,1.0
