dimension,primary_specification,alternative_specification,comparison_group,allocation_tv_min,allocation_tv_max,kendall_tau_b_min,kendall_tau_b_max,top_k_overlap_min,top_k_overlap_max,qualitative_conclusion_preserved
top_k,10.0,20.0|50.0,arrival_displacement,0.10291682746772567,0.13830965926774308,0.4824190992159766,0.589144819333549,0.6,0.8,True
top_k,10.0,20.0|50.0,source_route_pair,0.01665405827747619,0.06176835518152883,0.7174258471978646,0.9250167745648283,0.84,1.0,True
candidate_window_days,7.0,30.0|7.0,arrival_displacement,0.10291682746772567,0.654494382022472,0.11559560772187563,0.589144819333549,0.5,0.9,True
candidate_window_days,7.0,30.0|7.0,source_route_pair,0.01665405827747619,0.26725008414675194,0.298453140541172,0.9250167745648283,0.8,1.0,True
time_decay_half_life_days,1.38629436112,1.0|1.38629436112|3.0|7.0,arrival_displacement,0.10291682746772567,0.13830965926774308,0.4824190992159766,0.5930973420263144,0.5,0.6,True
time_decay_half_life_days,1.38629436112,1.0|1.38629436112|3.0|7.0,source_route_pair,0.004929099701836135,0.06176835518152883,0.7174258471978646,0.9781723937418777,0.8,1.0,True
minimum_impressions,50.0,100.0|25.0|50.0,arrival_displacement,0.10138198503304746,0.1370261900660109,0.49770241601658954,0.616309331426953,0.5,0.7,True
minimum_impressions,50.0,100.0|25.0|50.0,source_route_pair,0.016369775786658648,0.06136786685210786,0.708121684258162,0.9287191230619888,0.8,1.0,True
