experiment_id,mode,config_hash,run_id,seed,delay_setting,method,T,K,D_max,mean_delay,median_delay,p90_delay,max_delay,arrival_rate,censor_rate,ranking_reversal_rate,final_Rc,normalized_final_Rc,auc_causal_regret,mean_instant_causal_regret,gain_vs_naive,gain_vs_naive_pct,runtime_seconds
toy,fast,a924f01a5b,toy_fast_a924f01a5b_piece_0.6to0.15_oracle_s001,1,piece_0.6to0.15,oracle,2000,5,10,4.2925,2.0,11.0,42,0.8925,0.1075,0.013445378151260505,0.0,0.0,0.0,0.0,NA,NA,0.017619967999962682
toy,fast,a924f01a5b,toy_fast_a924f01a5b_piece_0.6to0.15_naive_s001,1,piece_0.6to0.15,naive,2000,5,10,4.2925,2.0,11.0,42,0.8925,0.1075,0.013445378151260505,4604.942230502918,2.302471115251459,2479.9916124199412,2.302471115251459,NA,NA,0.0206247619998976
toy,fast,a924f01a5b,toy_fast_a924f01a5b_piece_0.6to0.15_causal_labelled_s001,1,piece_0.6to0.15,causal_labelled,2000,5,10,4.2925,2.0,11.0,42,0.8925,0.1075,0.013445378151260505,982.267957550282,0.491133978775141,566.1782326992093,0.491133978775141,3622.6742729526363,78.66926644499934,0.020609071000308177
toy,fast,a924f01a5b,toy_fast_a924f01a5b_mixed_geom_0.6+0.1_w0.2_oracle_s001,1,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,8.278,5.0,20.0,67,0.7175,0.2825,0.014634146341463415,0.0,0.0,0.0,0.0,NA,NA,0.017225997999958054
toy,fast,a924f01a5b,toy_fast_a924f01a5b_mixed_geom_0.6+0.1_w0.2_naive_s001,1,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,8.278,5.0,20.0,67,0.7175,0.2825,0.014634146341463415,6905.637393673202,3.4528186968366006,3597.674205085964,3.4528186968366006,NA,NA,0.020052796000072703
toy,fast,a924f01a5b,toy_fast_a924f01a5b_mixed_geom_0.6+0.1_w0.2_causal_labelled_s001,1,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,8.278,5.0,20.0,67,0.7175,0.2825,0.014634146341463415,1076.2558177784547,0.5381279088892273,627.6574229628645,0.5381279088892273,5829.381575894747,84.41482289868713,0.02010773500023788
toy,fast,a924f01a5b,toy_fast_a924f01a5b_0_delay_oracle_s002,2,0_delay,oracle,2000,5,10,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.017968488999940746
toy,fast,a924f01a5b,toy_fast_a924f01a5b_0_delay_naive_s002,2,0_delay,naive,2000,5,10,0.0,0.0,0.0,0,1.0,0.0,0.0,1933.1082881250518,0.9665541440625259,552.2111688003907,0.9665541440625259,NA,NA,0.02142342999968605
toy,fast,a924f01a5b,toy_fast_a924f01a5b_0_delay_causal_labelled_s002,2,0_delay,causal_labelled,2000,5,10,0.0,0.0,0.0,0,1.0,0.0,0.0,1933.1082881250518,0.9665541440625259,552.2111688003907,0.9665541440625259,0.0,0.0,0.0212069959998189
toy,fast,a924f01a5b,toy_fast_a924f01a5b_geom_0.15_oracle_s002,2,geom_0.15,oracle,2000,5,10,6.7945,5.0,14.0,54,0.7925,0.2075,0.039116719242902206,0.0,0.0,0.0,0.0,NA,NA,0.017432722999728867
toy,fast,a924f01a5b,toy_fast_a924f01a5b_geom_0.15_naive_s002,2,geom_0.15,naive,2000,5,10,6.7945,5.0,14.0,54,0.7925,0.2075,0.039116719242902206,8895.745667789804,4.447872833894902,2467.366019886452,4.447872833894902,NA,NA,0.020613840999885724
toy,fast,a924f01a5b,toy_fast_a924f01a5b_geom_0.15_causal_labelled_s002,2,geom_0.15,causal_labelled,2000,5,10,6.7945,5.0,14.0,54,0.7925,0.2075,0.039116719242902206,2990.5654304169175,1.4952827152084587,839.4047673023884,1.4952827152084587,5905.180237372887,66.38207136198466,0.020416246999957366
toy,fast,a924f01a5b,toy_fast_a924f01a5b_piece_0.6to0.15_oracle_s002,2,piece_0.6to0.15,oracle,2000,5,10,4.018,2.0,10.0,47,0.9125,0.0875,0.030136986301369864,0.0,0.0,0.0,0.0,NA,NA,0.017941179999979795
toy,fast,a924f01a5b,toy_fast_a924f01a5b_piece_0.6to0.15_naive_s002,2,piece_0.6to0.15,naive,2000,5,10,4.018,2.0,10.0,47,0.9125,0.0875,0.030136986301369864,9133.639730822777,4.5668198654113885,2887.0357598557493,4.5668198654113885,NA,NA,0.021227755000381876
toy,fast,a924f01a5b,toy_fast_a924f01a5b_piece_0.6to0.15_causal_labelled_s002,2,piece_0.6to0.15,causal_labelled,2000,5,10,4.018,2.0,10.0,47,0.9125,0.0875,0.030136986301369864,2939.6385950008043,1.469819297500402,800.3541111576393,1.469819297500402,6194.001135821973,67.81525567424592,0.021110909000071842
toy,fast,a924f01a5b,toy_fast_a924f01a5b_mixed_geom_0.6+0.1_w0.2_oracle_s002,2,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,8.144,5.0,19.0,74,0.724,0.276,0.04074585635359116,0.0,0.0,0.0,0.0,NA,NA,0.01746199199988041
toy,fast,a924f01a5b,toy_fast_a924f01a5b_mixed_geom_0.6+0.1_w0.2_naive_s002,2,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,8.144,5.0,19.0,74,0.724,0.276,0.04074585635359116,7913.312560453047,3.9566562802265235,2378.9266457401714,3.9566562802265235,NA,NA,0.020235490000231948
toy,fast,a924f01a5b,toy_fast_a924f01a5b_mixed_geom_0.6+0.1_w0.2_causal_labelled_s002,2,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,8.144,5.0,19.0,74,0.724,0.276,0.04074585635359116,2746.8868022364054,1.3734434011182026,823.506506162507,1.3734434011182026,5166.425758216641,65.28777574180461,0.020467294999889418
