delay_bin,eligible_event_count,carrier_available_rate,exact_source_match_rate,action_match_rate,lag_hours_p10,lag_hours_median,lag_hours_p90,mean_source_to_carrier_lag_hours,panel_id,action_id,eligible_event_share,action_display_name,figure_run_id,figure_run_tier,figure_paper_result,figure_analysis_tier,figure_experiment_id,figure_config_hash,figure_input_manifest_hash,figure_code_version_type,figure_code_version
,219731,,0.0021207749475495,0.1017789934055731,0.4492019444444444,5.374477222222223,8.632635,,panel_b_action_match,action_09,0.0430894186180817,Tag 2,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,215979,,0.0018844424689437,0.0909255066464795,0.6328594444444444,5.88229,8.702319944444445,,panel_b_action_match,action_10,0.0423536485234886,Tag 25,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,170524,,0.0019528042973423,0.0635570359597476,0.5629619444444445,5.759864027777778,8.684718861111113,,panel_b_action_match,action_11,0.0334398879558632,Tag 19,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,153225,,0.0026366454560287,0.1287844672866699,0.5555226111111112,5.625606666666667,8.62990138888889,,panel_b_action_match,action_12,0.0300475407100299,Tag 20,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,155431,,0.0023869112339237,0.0851503239379531,0.4669258333333333,5.555141111111111,8.601967222222223,,panel_b_action_match,action_13,0.0304801390119148,Tag 7,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,135196,,0.0022411905677682,0.0554232373738868,0.38424375,5.332008472222222,8.576050416666666,,panel_b_action_match,action_14,0.0265120399010161,Tag 1,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,157755,,0.0014389401286805,0.0657728756616272,0.5199168333333334,5.764364444444444,8.615040944444445,,panel_b_action_match,action_15,0.0309358772048345,Tag 5,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,141865,,0.0021428823176964,0.0636309167165967,0.4841596666666667,5.573786666666667,8.630359333333333,,panel_b_action_match,action_16,0.0278198359460165,Tag 8,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,144128,,0.0016998778863232,0.0604809613676731,0.5212694444444445,5.693835555555555,8.604760527777778,,panel_b_action_match,action_17,0.0282636119918759,Tag 13,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,122788,,0.0020278854611199,0.0431312506108088,0.5221331944444446,5.615923333333333,8.614555722222223,,panel_b_action_match,action_18,0.0240788215284917,Tag 15,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,118142,,0.0015320546461038,0.0374803202925293,0.5741085277777778,5.77189875,8.650390972222223,,panel_b_action_match,action_19,0.0231677373441954,Tag 17,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,100734,,0.0020350626402207,0.0624019695435503,0.5485632500000001,5.5922463888888885,8.621990277777778,,panel_b_action_match,action_20,0.0197540151142708,Tag 18,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
