route_id,selection_direction_count,unique_selected_action_count,dominant_selected_action_id,dominant_selected_action_share,maximum_selected_action_share,selected_action_entropy,all_directions_same_action,ridge_history_selected_action_agreement,figure_run_id,figure_run_tier,figure_paper_result,figure_analysis_tier,figure_experiment_id,figure_config_hash,figure_input_manifest_hash,figure_code_version_type,figure_code_version
arrival_carrier,170,14,action_06,0.3588235294117647,0.3588235294117647,1.801641531471508,False,0.6705882352941176,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history_mean_control,170,2,action_06,0.611764705882353,0.611764705882353,0.6679521636123391,False,0.6705882352941176,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
ridge_proxy,170,2,action_12,0.5294117647058824,0.5294117647058824,0.6914160776171183,False,0.6705882352941176,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
