dimension,primary_specification,alternative_specification,comparison_group,allocation_tv_min,allocation_tv_max,kendall_tau_b_min,kendall_tau_b_max,top_k_overlap_min,top_k_overlap_max,qualitative_conclusion_preserved
top_k,10,20.0|50.0,arrival_displacement,0.1029168274677256,0.138309659267743,0.48241909921597659,0.58914481933354901,0.59999999999999998,0.80000000000000004,True
top_k,10,20.0|50.0,source_route_pair,0.0166540582774761,0.061768355181528803,0.71742584719786462,0.92501677456482845,0.83999999999999997,1,True
candidate_window_days,7,30.0|7.0,arrival_displacement,0.1029168274677256,0.65449438202247201,0.1155956077218756,0.58914481933354901,0.5,0.90000000000000002,True
candidate_window_days,7,30.0|7.0,source_route_pair,0.0166540582774761,0.26725008414675189,0.298453140541172,0.92501677456482845,0.80000000000000004,1,True
time_decay_half_life_days,1.38629436112,1.0|1.38629436112|3.0|7.0,arrival_displacement,0.1029168274677256,0.138309659267743,0.48241909921597659,0.59309734202631437,0.5,0.59999999999999998,True
time_decay_half_life_days,1.38629436112,1.0|1.38629436112|3.0|7.0,source_route_pair,0.0049290997018360998,0.061768355181528803,0.71742584719786462,0.97817239374187759,0.80000000000000004,1,True
minimum_impressions,50,100.0|25.0|50.0,arrival_displacement,0.10138198503304741,0.13702619006601091,0.49770241601658949,0.61630933142695299,0.5,0.69999999999999996,True
minimum_impressions,50,100.0|25.0|50.0,source_route_pair,0.016369775786658599,0.061367866852107801,0.70812168425816202,0.92871912306198878,0.80000000000000004,1,True
