delay_condition,method_id,replication_kind,point_estimate,top_action_match_rate,policy_value,oracle_value,n_label_mask_trajectories,n_decision_bins,method_display_name,information_interface,reference_role,diagnostic_only,deployable
action_value_coupled_matched_delay_pool,arrival_time_naive,fixed_trajectory,0.07775685270626514,0.3888888888888889,3.181478264112586,3.259235116818851,1,18,Arrival-time carrier,arrival_time_carrier,none,False,False
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,fixed_history_fitted_proxy,0.024835709952348604,0.5555555555555556,3.234399406866502,3.259235116818851,1,18,History EWMA ridge proxy,history_plus_lagged_proxy,none,True,False
action_value_coupled_matched_delay_pool,history_mean_static,fixed_history_fitted_proxy,0.02913638342301746,0.5,3.230098733395833,3.259235116818851,1,18,History mean static,history_target_mean_only,diagnostic_control,True,False
action_value_coupled_matched_delay_pool,partial_source_label_q10,label_mask,0.05850704114558734,0.42407407407407405,3.200728075673263,3.259235116818851,30,18,"Partial source labels, q=0.10",partial_source_label,none,False,False
action_value_coupled_matched_delay_pool,partial_source_label_q30,label_mask,0.0593722599977121,0.43148148148148147,3.199862856821139,3.259235116818851,30,18,"Partial source labels, q=0.30",partial_source_label,none,False,False
action_value_coupled_matched_delay_pool,partial_source_label_q50,label_mask,0.06002302425904048,0.437037037037037,3.19921209255981,3.259235116818851,30,18,"Partial source labels, q=0.50",partial_source_label,none,False,False
action_value_coupled_matched_delay_pool,short_term_composite_surrogate,fixed_history_fitted_proxy,0.04630657600192288,0.3888888888888889,3.2129285408169275,3.259235116818851,1,18,Short-term composite surrogate,lagged_composite_proxy,none,False,False
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,fixed_history_fitted_proxy,0.024835709952348604,0.5555555555555556,3.234399406866502,3.259235116818851,1,18,Short-term ridge proxy,lagged_short_term_proxy,none,False,False
action_value_coupled_matched_delay_pool,source_aware_reference,offline_reference,0.0,1.0,3.259235116818851,3.259235116818851,1,18,Source-aware reference,offline_source_target,source_aware_reference,False,False
action_value_coupled_matched_delay_pool,source_labelled_empirical,fixed_trajectory,0.05180530042379981,0.6111111111111112,3.2074298163950505,3.259235116818851,1,18,Source-labelled empirical,source_labelled,source_labelled_control,True,False
independent_matched_delay_pool,arrival_time_naive,fixed_trajectory,0.05850998420827566,0.3888888888888889,3.200725132610575,3.259235116818851,1,18,Arrival-time carrier,arrival_time_carrier,none,False,False
independent_matched_delay_pool,history_ewma_ridge_proxy,fixed_history_fitted_proxy,0.024835709952348604,0.5555555555555556,3.234399406866502,3.259235116818851,1,18,History EWMA ridge proxy,history_plus_lagged_proxy,none,True,False
independent_matched_delay_pool,history_mean_static,fixed_history_fitted_proxy,0.02913638342301746,0.5,3.230098733395833,3.259235116818851,1,18,History mean static,history_target_mean_only,diagnostic_control,True,False
independent_matched_delay_pool,partial_source_label_q10,label_mask,0.05850998420827566,0.3888888888888889,3.200725132610575,3.259235116818851,30,18,"Partial source labels, q=0.10",partial_source_label,none,False,False
independent_matched_delay_pool,partial_source_label_q30,label_mask,0.05923231393798655,0.38333333333333336,3.200002802880864,3.259235116818851,30,18,"Partial source labels, q=0.30",partial_source_label,none,False,False
independent_matched_delay_pool,partial_source_label_q50,label_mask,0.06414516270209451,0.3851851851851852,3.1950899541167557,3.259235116818851,30,18,"Partial source labels, q=0.50",partial_source_label,none,False,False
independent_matched_delay_pool,short_term_composite_surrogate,fixed_history_fitted_proxy,0.04630657600192288,0.3888888888888889,3.2129285408169275,3.259235116818851,1,18,Short-term composite surrogate,lagged_composite_proxy,none,False,False
independent_matched_delay_pool,short_term_ridge_proxy,fixed_history_fitted_proxy,0.024835709952348604,0.5555555555555556,3.234399406866502,3.259235116818851,1,18,Short-term ridge proxy,lagged_short_term_proxy,none,False,False
independent_matched_delay_pool,source_aware_reference,offline_reference,0.0,1.0,3.259235116818851,3.259235116818851,1,18,Source-aware reference,offline_source_target,source_aware_reference,False,False
independent_matched_delay_pool,source_labelled_empirical,fixed_trajectory,0.06340156222027288,0.6111111111111112,3.1958335545985777,3.259235116818851,1,18,Source-labelled empirical,source_labelled,source_labelled_control,True,False
