delay_condition,method_id,decile,mean_predicted_long_value_log,mean_observed_long_value_log,ci_lower,ci_upper,n_bootstrap
independent_matched_delay_pool,short_term_ridge_proxy,0,2.7070387387223995,2.749803542414442,2.6752513084597087,2.8233554560853493,1000
independent_matched_delay_pool,short_term_ridge_proxy,1,2.808861105216819,2.812441662847544,2.73961175470401,2.8858735062990757,1000
independent_matched_delay_pool,short_term_ridge_proxy,2,2.8513184311912534,2.8501555912405645,2.7906695320903427,2.9102719374884645,1000
independent_matched_delay_pool,short_term_ridge_proxy,3,2.906092794733743,2.9309314647603966,2.867546469981822,2.994650098620046,1000
independent_matched_delay_pool,short_term_ridge_proxy,4,2.9350409692079906,2.9277350285752095,2.873924646163197,2.981261439495441,1000
independent_matched_delay_pool,short_term_ridge_proxy,5,2.9739347482528884,2.971652118833438,2.9192717997595365,3.023823055891526,1000
independent_matched_delay_pool,short_term_ridge_proxy,6,3.0056807270561983,3.031714033855145,2.9720146215545493,3.0875889231399403,1000
independent_matched_delay_pool,short_term_ridge_proxy,7,3.0332675609058217,3.05191411013455,2.9947960173539876,3.105253980596983,1000
independent_matched_delay_pool,short_term_ridge_proxy,8,3.0536008007780437,3.039398620935711,2.991444699586295,3.0867229332897823,1000
independent_matched_delay_pool,short_term_ridge_proxy,9,3.1675030594483524,3.2293587698239783,3.1588826214188277,3.2958865972932387,1000
independent_matched_delay_pool,history_ewma_ridge_proxy,0,2.814742940084874,2.7547582608968026,2.6863757784319766,2.8213656839529895,1000
independent_matched_delay_pool,history_ewma_ridge_proxy,1,2.8707418105781217,2.8079490636165914,2.7377469025986065,2.8757794386709996,1000
independent_matched_delay_pool,history_ewma_ridge_proxy,2,2.9114486228166907,2.8582554024086266,2.7969276197441224,2.919928990759435,1000
independent_matched_delay_pool,history_ewma_ridge_proxy,3,2.963150286168814,2.92542292274006,2.8626110013487884,2.988969323989214,1000
independent_matched_delay_pool,history_ewma_ridge_proxy,4,2.997739927588305,2.9418954381314095,2.8901432248669017,2.991683249429399,1000
independent_matched_delay_pool,history_ewma_ridge_proxy,5,3.0298335860722454,2.97506061472696,2.9213196494274807,3.026885482751086,1000
independent_matched_delay_pool,history_ewma_ridge_proxy,6,3.0642342610583038,3.0276423588155774,2.970404581584388,3.0828922053587053,1000
independent_matched_delay_pool,history_ewma_ridge_proxy,7,3.0895094388303104,3.0411859053287165,2.9856055704601063,3.0944363819031504,1000
independent_matched_delay_pool,history_ewma_ridge_proxy,8,3.1135634764161284,3.0419401767247867,2.992629063057931,3.088493360632408,1000
independent_matched_delay_pool,history_ewma_ridge_proxy,9,3.22983140976604,3.2446866150317577,3.1720265631650966,3.313459810301181,1000
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,0,2.7070387387223995,2.749803542414442,2.6752513084597087,2.8233554560853493,1000
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,1,2.808861105216819,2.812441662847544,2.73961175470401,2.8858735062990757,1000
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,2,2.8513184311912534,2.8501555912405645,2.7906695320903427,2.9102719374884645,1000
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,3,2.906092794733743,2.9309314647603966,2.867546469981822,2.994650098620046,1000
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,4,2.9350409692079906,2.9277350285752095,2.873924646163197,2.981261439495441,1000
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,5,2.9739347482528884,2.971652118833438,2.9192717997595365,3.023823055891526,1000
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,6,3.0056807270561983,3.031714033855145,2.9720146215545493,3.0875889231399403,1000
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,7,3.0332675609058217,3.05191411013455,2.9947960173539876,3.105253980596983,1000
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,8,3.0536008007780437,3.039398620935711,2.991444699586295,3.0867229332897823,1000
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,9,3.1675030594483524,3.2293587698239783,3.1588826214188277,3.2958865972932387,1000
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,0,2.814742940084874,2.7547582608968026,2.6863757784319766,2.8213656839529895,1000
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,1,2.8707418105781217,2.8079490636165914,2.7377469025986065,2.8757794386709996,1000
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,2,2.9114486228166907,2.8582554024086266,2.7969276197441224,2.919928990759435,1000
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,3,2.963150286168814,2.92542292274006,2.8626110013487884,2.988969323989214,1000
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,4,2.997739927588305,2.9418954381314095,2.8901432248669017,2.991683249429399,1000
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,5,3.0298335860722454,2.97506061472696,2.9213196494274807,3.026885482751086,1000
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,6,3.0642342610583038,3.0276423588155774,2.970404581584388,3.0828922053587053,1000
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,7,3.0895094388303104,3.0411859053287165,2.9856055704601063,3.0944363819031504,1000
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,8,3.1135634764161284,3.0419401767247867,2.992629063057931,3.088493360632408,1000
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,9,3.22983140976604,3.2446866150317577,3.1720265631650966,3.313459810301181,1000
