method_id,metric_id,point_estimate,ci_lower,ci_upper,ci_level,n_bootstrap,uncertainty_unit
arrival_time_naive,ranking_regret_coupled_minus_independent,0.019246868497989483,-0.025433062593606094,0.02847702916536175,0.95,1000,paired_user_cluster_bootstrap_same_user_weights_across_mechanisms
history_ewma_ridge_proxy,ranking_regret_coupled_minus_independent,0.0,0.0,0.0,0.95,1000,paired_user_cluster_bootstrap_same_user_weights_across_mechanisms
history_mean_static,ranking_regret_coupled_minus_independent,0.0,0.0,0.0,0.95,1000,paired_user_cluster_bootstrap_same_user_weights_across_mechanisms
partial_source_label_q10,ranking_regret_coupled_minus_independent,-2.94306268832506e-06,-0.028734885465812376,0.02448135438029336,0.95,1000,paired_user_cluster_bootstrap_same_user_weights_across_mechanisms
partial_source_label_q30,ranking_regret_coupled_minus_independent,0.00013994605972554586,-0.02636046818030072,0.023314652271116378,0.95,1000,paired_user_cluster_bootstrap_same_user_weights_across_mechanisms
partial_source_label_q50,ranking_regret_coupled_minus_independent,-0.004122138443054035,-0.02802142790390216,0.02096319740413875,0.95,1000,paired_user_cluster_bootstrap_same_user_weights_across_mechanisms
short_term_composite_surrogate,ranking_regret_coupled_minus_independent,0.0,0.0,0.0,0.95,1000,paired_user_cluster_bootstrap_same_user_weights_across_mechanisms
short_term_ridge_proxy,ranking_regret_coupled_minus_independent,0.0,0.0,0.0,0.95,1000,paired_user_cluster_bootstrap_same_user_weights_across_mechanisms
source_aware_reference,ranking_regret_coupled_minus_independent,0.0,0.0,0.0,0.95,1000,paired_user_cluster_bootstrap_same_user_weights_across_mechanisms
source_labelled_empirical,ranking_regret_coupled_minus_independent,-0.011596261796473065,-0.020107995894183467,0.017831978254154265,0.95,1000,paired_user_cluster_bootstrap_same_user_weights_across_mechanisms
