mechanism_id,mechanism_display_name,route_id,route_display_name,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result,summary_component,feedback_binding_id,feedback_binding_display_name
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,generated_mean_delay,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,alignment_budget_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,structural_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,route_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,transfer_bound_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,transfer_slack_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,regret_stability_slack_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,ranking_reversal_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,pairwise_sign_disagreement_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,directed_choice_disagreement_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,complete_conflict_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,mean_structural_conflict_margin,0,,,,,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,min_structural_conflict_margin,0,,,,,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,mean_route_conflict_margin,0,,,,,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,min_route_conflict_margin,0,,,,,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,margin_preservation_rate,30,1.0,0.0,1.0,1.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,mean_reversal_margin,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,empty_arrival_clock_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,multiarrival_clock_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,arrival_assigned,Arrival-time assignment,mean_route_map_age,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,generated_mean_delay,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,alignment_budget_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,structural_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,route_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,transfer_bound_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,transfer_slack_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,regret_stability_slack_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,ranking_reversal_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,pairwise_sign_disagreement_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,directed_choice_disagreement_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,complete_conflict_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,mean_structural_conflict_margin,0,,,,,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,min_structural_conflict_margin,0,,,,,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,mean_route_conflict_margin,0,,,,,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,min_route_conflict_margin,0,,,,,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,margin_preservation_rate,30,1.0,0.0,1.0,1.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,mean_reversal_margin,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,empty_arrival_clock_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
zero_delay,Zero delay,source_bound,Source-bound assignment,multiarrival_clock_rate,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True,route,,
