figure_id,panel_id,mechanism_id,mechanism_display_name,series_id,metric_id,estimate,ci_lower,ci_upper,n_seeds,bootstrap_repetitions,run_tier,paper_result
fig_exp1_alignment_transfer,C,state_coupled_delay,State-coupled delay,arrival_clock,structural_regret_rate,0.16532643480770312,0.16318570182144382,0.16748249168563728,30,2000,full,False
fig_exp1_alignment_transfer,C,state_coupled_delay,State-coupled delay,source_round,structural_regret_rate,0.11372307657250298,0.11313466150895972,0.1143063980382236,30,2000,full,False
fig_exp1_alignment_transfer,C,state_coupled_delay,State-coupled delay,paired_contrast,arrival_minus_source_regret_rate,0.05160335823520014,0.04981192322928507,0.05338450242494669,30,2000,full,False
fig_exp1_alignment_transfer,A,systematic_misbinding,Systematic misbinding,alignment_budget_rate,alignment_budget_rate,0.5555703703703704,0.5553111111111111,0.5558296296296296,30,2000,full,False
fig_exp1_alignment_transfer,A,systematic_misbinding,Systematic misbinding,generated_mean_delay,generated_mean_delay,15.0,15.0,15.0,30,2000,full,False
fig_exp1_alignment_transfer,A,systematic_misbinding,Systematic misbinding,ranking_reversal_rate,ranking_reversal_rate,0.5000133333333333,0.49977983333333326,0.5002533333333333,30,2000,full,False
fig_exp1_alignment_transfer,B,systematic_misbinding,Systematic misbinding,structural_regret_rate,structural_regret_rate,0.15432510288065843,0.15424897119341566,0.15439506172839507,30,2000,full,False
fig_exp1_alignment_transfer,B,systematic_misbinding,Systematic misbinding,transfer_bound_rate,transfer_bound_rate,0.5555703703703704,0.5553037037037036,0.5558222222222221,30,2000,full,False
fig_exp1_alignment_transfer,C,systematic_misbinding,Systematic misbinding,arrival_clock,structural_regret_rate,0.1784710288065843,0.17721790534979423,0.17964445061728396,30,2000,full,False
fig_exp1_alignment_transfer,C,systematic_misbinding,Systematic misbinding,source_round,structural_regret_rate,0.10708205761316872,0.10651674074074073,0.10761327160493826,30,2000,full,False
fig_exp1_alignment_transfer,C,systematic_misbinding,Systematic misbinding,paired_contrast,arrival_minus_source_regret_rate,0.07138897119341564,0.07016566049382715,0.07260655144032921,30,2000,full,False
