figure_id,panel_id,mechanism_id,mechanism_display_name,delay_threshold,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,27,delay_survival_probability,30,0.16357999999999998,0.0007758036248741142,0.16209983333333336,0.16509333333333334,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,28,delay_survival_probability,30,0.15343999999999997,0.0007782916747816871,0.15190649999999997,0.15496016666666665,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,29,delay_survival_probability,30,0.14404,0.0007486017617539716,0.14241333333333336,0.14550016666666665,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,30,delay_survival_probability,30,0.13532000000000002,0.0007254709132535998,0.13390000000000002,0.13666683333333335,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,31,delay_survival_probability,30,0.12683999999999998,0.0007838249863301133,0.1252665,0.12820033333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,32,delay_survival_probability,30,0.1189533333333333,0.0007021597770382617,0.11753316666666665,0.12024016666666665,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,33,delay_survival_probability,30,0.11142666666666666,0.0006576680036805303,0.11012666666666666,0.11263366666666667,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,34,delay_survival_probability,30,0.10435333333333334,0.0006448154566851485,0.10309316666666668,0.10555333333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,35,delay_survival_probability,30,0.09794,0.0006541222072892537,0.09667300000000001,0.09914683333333334,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,36,delay_survival_probability,30,0.09159333333333332,0.0006525975213745566,0.09029316666666666,0.09278016666666669,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,37,delay_survival_probability,30,0.08572,0.0006858571279792898,0.08442650000000002,0.08705999999999998,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,38,delay_survival_probability,30,0.08049333333333333,0.0006708877860387225,0.07915983333333332,0.08170016666666668,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,39,delay_survival_probability,30,0.07570666666666666,0.0006302514246215935,0.07446650000000002,0.07688016666666667,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,40,delay_survival_probability,30,0.07089333333333332,0.000604788047480668,0.06975333333333335,0.07200683333333334,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,41,delay_survival_probability,30,0.06627333333333334,0.0005348097380739224,0.0653,0.06734,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,42,delay_survival_probability,30,0.06185333333333333,0.0005225871391525656,0.060913,0.06284,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,43,delay_survival_probability,30,0.05792666666666667,0.0004906934650353034,0.05694666666666667,0.058893499999999994,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,44,delay_survival_probability,30,0.05412000000000001,0.0004417936273820643,0.05327333333333333,0.05498,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,45,delay_survival_probability,30,0.05073999999999999,0.00045009832897615417,0.04986649999999999,0.05158683333333334,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,46,delay_survival_probability,30,0.04728666666666666,0.0004071412343085991,0.046520000000000006,0.04804,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,47,delay_survival_probability,30,0.04443333333333333,0.0003659135421196014,0.04373333333333333,0.04515333333333334,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,48,delay_survival_probability,30,0.04166666666666666,0.00036857393192549453,0.040940000000000004,0.042346666666666664,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,49,delay_survival_probability,30,0.039099999999999996,0.0003740735682760259,0.03837333333333333,0.03985349999999999,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,50,delay_survival_probability,30,0.03662,0.00035691526409937466,0.03591316666666666,0.03729999999999999,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,51,delay_survival_probability,30,0.03414,0.0003641586113946415,0.033440000000000004,0.034826666666666665,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,52,delay_survival_probability,30,0.0318,0.00035545017595467145,0.031079833333333334,0.032453499999999996,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,53,delay_survival_probability,30,0.02981333333333334,0.0003633728756295591,0.029053333333333334,0.03050016666666667,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,54,delay_survival_probability,30,0.027759999999999996,0.00031896383969735935,0.027146666666666663,0.028359999999999996,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,55,delay_survival_probability,30,0.02601333333333334,0.00028038287998195105,0.025473166666666668,0.02652016666666667,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,56,delay_survival_probability,30,0.024293333333333337,0.0003254328093631029,0.02366,0.024900166666666664,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,57,delay_survival_probability,30,0.02266,0.00032450138586034936,0.021986666666666668,0.023246833333333328,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,58,delay_survival_probability,30,0.02116,0.0003243951046302117,0.02051333333333333,0.02177333333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,59,delay_survival_probability,30,0.019739999999999997,0.00035156791662493893,0.019040000000000005,0.02041333333333333,2000,0.95,full,False
