contrast_family,expected_direction,contrast_count,mean_direction_agreement,minimum_direction_agreement,mean_exact_zero_rate,run_id,run_tier,paper_result,experiment_id,module_id,analysis_tier,code_commit,config_hash,source_code_hash,calibration_hash,result_schema,seed_or_replication
proxy_noise_sd,increase,12,0.7341666666666667,0.0,0.25,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,diagnostic,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
route_label_rate,decrease,12,1.0,1.0,0.0,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,diagnostic,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
