route_id,route_label_rate,attribution_proxy_noise_sd,shared_seed_count,mean_pairwise_gap_discrepancy_mean,mean_pairwise_gap_discrepancy_sd,mean_pairwise_gap_discrepancy_mcse,mean_pairwise_gap_discrepancy_ci_lower,mean_pairwise_gap_discrepancy_ci_upper,route_optimal_set_conflict_rate_mean,route_optimal_set_conflict_rate_sd,route_optimal_set_conflict_rate_mcse,route_optimal_set_conflict_rate_ci_lower,route_optimal_set_conflict_rate_ci_upper,pairwise_gap_sign_disagreement_rate_mean,pairwise_gap_sign_disagreement_rate_sd,pairwise_gap_sign_disagreement_rate_mcse,pairwise_gap_sign_disagreement_rate_ci_lower,pairwise_gap_sign_disagreement_rate_ci_upper,mean_round_max_gap_defect_mean,mean_round_max_gap_defect_sd,mean_round_max_gap_defect_mcse,mean_round_max_gap_defect_ci_lower,mean_round_max_gap_defect_ci_upper,margin_certificate_rate_mean,margin_certificate_rate_sd,margin_certificate_rate_mcse,margin_certificate_rate_ci_lower,margin_certificate_rate_ci_upper,population_action_gap_defect_mean,population_action_gap_defect_sd,population_action_gap_defect_mcse,population_action_gap_defect_ci_lower,population_action_gap_defect_ci_upper,run_id,run_tier,paper_result,experiment_id,module_id,analysis_tier,code_commit,config_hash,source_code_hash,calibration_hash,result_schema,seed_or_replication
proxy_label,0.0,0.0,100,0.024539638387860614,0.0012516144343068568,0.0001251614434306857,0.024290686667788698,0.02478208246319713,0.023227368421052632,0.0036880581412425694,0.00036880581412425693,0.022522000000000004,0.02392636842105263,0.028778994152046787,0.0011544239131138511,0.00011544239131138512,0.028558590643274855,0.02900409122807018,0.08238792848562115,0.003910177408512121,0.0003910177408512121,0.0816098145578252,0.08316584461347505,0.9032378947368422,0.007409577775067825,0.0007409577775067825,0.9017788421052632,0.9047203157894737,0.08238792848562115,0.003910177408512121,0.0003910177408512121,0.08162852819027562,0.08310920526903225,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
proxy_label,0.0,0.1,100,0.024718646802823905,0.0012679015882512362,0.00012679015882512362,0.024478771909184828,0.02496570452269418,0.023418947368421053,0.003715157636196188,0.0003715157636196188,0.022686263157894737,0.02417684210526316,0.029567017543859642,0.0012011684000352316,0.00012011684000352316,0.02933562573099415,0.02980294152046783,0.0829183654539838,0.003962784457739187,0.0003962784457739187,0.08216282301851234,0.08367981144268395,0.9026357894736842,0.007786253339519692,0.0007786253339519692,0.9011156842105261,0.9041684210526316,0.0829183654539838,0.003962784457739187,0.0003962784457739187,0.0821368373915423,0.08367689565603123,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
proxy_label,0.0,0.25,100,0.02574782873416468,0.0013116674334046812,0.00013116674334046812,0.025497409181572537,0.025992617089268203,0.024928421052631582,0.0038684076352264716,0.0003868407635226472,0.024145263157894736,0.025635842105263158,0.03332514619883041,0.001488186047060548,0.0001488186047060548,0.0330326865497076,0.03362341052631579,0.08597653645926406,0.004095600346147955,0.0004095600346147955,0.08516255026835753,0.0867762225896418,0.8990231578947367,0.007990341969475769,0.0007990341969475769,0.8974315263157894,0.9005326842105263,0.08597653645926406,0.004095600346147955,0.0004095600346147955,0.08517292279398318,0.08678585744306541,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
proxy_label,0.0,1.0,100,0.04736570002127139,0.0019514178027805458,0.0001951417802780546,0.04699629429229853,0.04775252190000096,0.06417894736842104,0.0054588089700961856,0.0005458808970096186,0.06311768421052631,0.06531584210526314,0.07055663157894737,0.004272260965057511,0.00042722609650575115,0.0697254023391813,0.07142813567251462,0.15052368683806996,0.005707652307756058,0.0005707652307756059,0.14944049644584753,0.15162518982807555,0.8282505263157894,0.007751921494538931,0.0007751921494538931,0.8266336842105264,0.8297561052631579,0.15052368683806996,0.005707652307756058,0.0005707652307756059,0.1493888670327429,0.15166772475404589,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
proxy_label,0.3,0.0,100,0.018314005542422546,0.001012662524654123,0.0001012662524654123,0.018107662255417933,0.018502662821891204,0.017610526315789476,0.003001160971809465,0.0003001160971809465,0.017021052631578947,0.018204315789473683,0.02349585964912281,0.0011356113429766136,0.00011356113429766136,0.02327803274853801,0.023727354385964905,0.06151433910114771,0.0031691123023432927,0.0003169112302343293,0.060874932600692336,0.06212144107909993,0.9313642105263159,0.005627494233279041,0.0005627494233279042,0.9303301578947368,0.9324569473684209,0.06151433910114771,0.0031691123023432927,0.0003169112302343293,0.06089661051005537,0.06212903861839523,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
proxy_label,0.3,0.1,100,0.018458072969244524,0.0010199842297704072,0.00010199842297704072,0.018257774407123114,0.01865426383409715,0.017886315789473684,0.00306149805861589,0.000306149805861589,0.01728415789473684,0.018486315789473684,0.024112748538011698,0.0011607805701167745,0.00011607805701167745,0.023898316959064324,0.024339466666666663,0.061951663574593765,0.0031949877539075226,0.00031949877539075224,0.061295369430907534,0.06260465372818873,0.9306715789473682,0.00574688856896225,0.000574688856896225,0.9295494736842106,0.9318379473684212,0.061951663574593765,0.0031949877539075226,0.00031949877539075224,0.06131332287990592,0.06256644857444106,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
proxy_label,0.3,0.25,100,0.019283749682663123,0.0010583939646157151,0.00010583939646157151,0.01908751589223399,0.01949359259491537,0.019178947368421052,0.0031018236657558433,0.00031018236657558433,0.01858726315789473,0.019785263157894736,0.02707120467836258,0.0014411140159959709,0.0001441114015995971,0.026791796491228072,0.0273549052631579,0.06445209810120765,0.003320580112840552,0.0003320580112840552,0.06380394713244512,0.06507505539994929,0.9279852631578949,0.005880765321509562,0.0005880765321509562,0.9268419999999999,0.929061052631579,0.06445209810120765,0.003320580112840552,0.0003320580112840552,0.06381169336870157,0.06510444592799759,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
proxy_label,0.3,1.0,100,0.036022611720487624,0.0017535989116094718,0.0001753598911609472,0.035692365504447134,0.03634556516354607,0.047886315789473693,0.004158468187024827,0.00041584681870248275,0.04710094736842106,0.04866110526315791,0.0571177543859649,0.003913991529264273,0.00039139915292642734,0.05633050058479531,0.05787841520467837,0.11471741558966891,0.005122104224310766,0.0005122104224310766,0.11370807681894542,0.11576608161296521,0.8775894736842105,0.007068863386000442,0.0007068863386000443,0.8762314736842104,0.8789453684210526,0.11471741558966891,0.005122104224310766,0.0005122104224310766,0.11369770099171608,0.11571116888571481,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
proxy_label,0.7,0.0,100,0.008202415358130835,0.0006471768842694088,6.471768842694088e-05,0.008074540477321172,0.00832687627948231,0.006717894736842105,0.0015580312309991724,0.00015580312309991724,0.0064231578947368416,0.007021052631578947,0.01332037426900585,0.0009998576710916387,9.998576710916387e-05,0.013129343859649124,0.013511906432748537,0.02761731190274094,0.0020719082865985894,0.00020719082865985894,0.02723469576058822,0.0280278778323622,0.9726673684210526,0.0032320972038266706,0.00032320972038266707,0.9720610000000001,0.9733031578947368,0.02761731190274094,0.0020719082865985894,0.00020719082865985894,0.027209302239157785,0.02800884096412207,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
proxy_label,0.7,0.1,100,0.008278817635660865,0.0006432585272789022,6.432585272789023e-05,0.008154105746870336,0.0084024244290555,0.006875789473684209,0.0015465309642706073,0.00015465309642706074,0.006570526315789474,0.0072044736842105245,0.013642947368421055,0.0010278891529808846,0.00010278891529808847,0.013443685380116959,0.013849952046783624,0.02785366671211126,0.002063727518717137,0.0002063727518717137,0.027445877988090745,0.028265023579315412,0.972277894736842,0.003258971436018431,0.0003258971436018431,0.9716589473684212,0.9729199999999999,0.02785366671211126,0.002063727518717137,0.0002063727518717137,0.027439442805734002,0.0282663670159569,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
