figure_id,panel_id,experiment_id,subexperiment_id,setting_id,method_id,method_display_name,information_interface,reference_role,diagnostic_only,deployable,metric_id,metric_formula_id,x_id,x_value,x_display_label,y_value,ci_lower,ci_upper,ci_level,uncertainty_unit,n_seeds,n_bootstrap,n_events,n_users,filter_id,filter_description,run_mode,paper_result,notes,x_ci_lower,x_ci_upper,proxy_noise_sigma,heatmap_value,source_labelled_normalized_recovery_value
fig_exp4_recoverability_boundary,b,exp4_recoverability_boundary,source_label_sweep,q_0.70_sigma_0.25,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,causal_regret_per_round,post_warmup_structural_regret,source_label_rate_q,0.7,Source-ID retention q,0.3244459132745796,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,Fixed proxy noise sigma=0.25.,,,,,
fig_exp4_recoverability_boundary,b,exp4_recoverability_boundary,source_label_sweep,q_1.00_sigma_0.25,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,causal_regret_per_round,post_warmup_structural_regret,source_label_rate_q,1.0,Source-ID retention q,0.2769291136819314,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,Fixed proxy noise sigma=0.25.,,,,,
fig_exp4_recoverability_boundary,c,exp4_recoverability_boundary,recoverability_phase_map,q_0.00_sigma_0.05,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,oracle_normalized_recovery,arrival_oracle_normalized_recovery,source_label_rate_q,0.0,Source-label retention q,0.05,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,"Heatmap raw metric is retained; vmin/vmax only standardise colour display. In panel (c), sigma perturbs only the attribution proxy used to weight candidate historical sources. The decision-time context proxy is held fixed at sigma = 0.25. A value of one in the arrival-oracle normalized recovery map corresponds to the latent action oracle, not to the source-labelled online reference.",,,0.05,0.0990293373796969,0.1808554514754622
fig_exp4_recoverability_boundary,c,exp4_recoverability_boundary,recoverability_phase_map,q_0.00_sigma_0.10,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,oracle_normalized_recovery,arrival_oracle_normalized_recovery,source_label_rate_q,0.0,Source-label retention q,0.1,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,"Heatmap raw metric is retained; vmin/vmax only standardise colour display. In panel (c), sigma perturbs only the attribution proxy used to weight candidate historical sources. The decision-time context proxy is held fixed at sigma = 0.25. A value of one in the arrival-oracle normalized recovery map corresponds to the latent action oracle, not to the source-labelled online reference.",,,0.1,0.0964373624950177,0.1760094379369516
fig_exp4_recoverability_boundary,c,exp4_recoverability_boundary,recoverability_phase_map,q_0.00_sigma_0.25,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,oracle_normalized_recovery,arrival_oracle_normalized_recovery,source_label_rate_q,0.0,Source-label retention q,0.25,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,"Heatmap raw metric is retained; vmin/vmax only standardise colour display. In panel (c), sigma perturbs only the attribution proxy used to weight candidate historical sources. The decision-time context proxy is held fixed at sigma = 0.25. A value of one in the arrival-oracle normalized recovery map corresponds to the latent action oracle, not to the source-labelled online reference.",,,0.25,0.1002444114310457,0.1831800160111393
fig_exp4_recoverability_boundary,c,exp4_recoverability_boundary,recoverability_phase_map,q_0.00_sigma_0.50,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,oracle_normalized_recovery,arrival_oracle_normalized_recovery,source_label_rate_q,0.0,Source-label retention q,0.5,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,"Heatmap raw metric is retained; vmin/vmax only standardise colour display. In panel (c), sigma perturbs only the attribution proxy used to weight candidate historical sources. The decision-time context proxy is held fixed at sigma = 0.25. A value of one in the arrival-oracle normalized recovery map corresponds to the latent action oracle, not to the source-labelled online reference.",,,0.5,0.0822858978096741,0.1496550031198727
fig_exp4_recoverability_boundary,c,exp4_recoverability_boundary,recoverability_phase_map,q_0.00_sigma_1.00,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,oracle_normalized_recovery,arrival_oracle_normalized_recovery,source_label_rate_q,0.0,Source-label retention q,1.0,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,"Heatmap raw metric is retained; vmin/vmax only standardise colour display. In panel (c), sigma perturbs only the attribution proxy used to weight candidate historical sources. The decision-time context proxy is held fixed at sigma = 0.25. A value of one in the arrival-oracle normalized recovery map corresponds to the latent action oracle, not to the source-labelled online reference.",,,1.0,0.0805973481789676,0.1470456659884695
fig_exp4_recoverability_boundary,c,exp4_recoverability_boundary,recoverability_phase_map,q_0.10_sigma_0.05,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,oracle_normalized_recovery,arrival_oracle_normalized_recovery,source_label_rate_q,0.1,Source-label retention q,0.05,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,"Heatmap raw metric is retained; vmin/vmax only standardise colour display. In panel (c), sigma perturbs only the attribution proxy used to weight candidate historical sources. The decision-time context proxy is held fixed at sigma = 0.25. A value of one in the arrival-oracle normalized recovery map corresponds to the latent action oracle, not to the source-labelled online reference.",,,0.05,0.1720848577263327,0.3146351397331146
fig_exp4_recoverability_boundary,c,exp4_recoverability_boundary,recoverability_phase_map,q_0.10_sigma_0.10,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,oracle_normalized_recovery,arrival_oracle_normalized_recovery,source_label_rate_q,0.1,Source-label retention q,0.1,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,"Heatmap raw metric is retained; vmin/vmax only standardise colour display. In panel (c), sigma perturbs only the attribution proxy used to weight candidate historical sources. The decision-time context proxy is held fixed at sigma = 0.25. A value of one in the arrival-oracle normalized recovery map corresponds to the latent action oracle, not to the source-labelled online reference.",,,0.1,0.1544853628009056,0.2829447237358052
fig_exp4_recoverability_boundary,c,exp4_recoverability_boundary,recoverability_phase_map,q_0.10_sigma_0.25,proxy_label_recovery,Proxy label recovery,partial_attribution_proxy,none,False,True,oracle_normalized_recovery,arrival_oracle_normalized_recovery,source_label_rate_q,0.1,Source-label retention q,0.25,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,"Heatmap raw metric is retained; vmin/vmax only standardise colour display. In panel (c), sigma perturbs only the attribution proxy used to weight candidate historical sources. The decision-time context proxy is held fixed at sigma = 0.25. A value of one in the arrival-oracle normalized recovery map corresponds to the latent action oracle, not to the source-labelled online reference.",,,0.25,0.1527908023785466,0.2802152801826448
