method_id,delay_state_coupling_beta,n_seeds,n_rows,causal_regret_per_round_mean,causal_regret_per_round_se,causal_regret_per_round_ci_low,causal_regret_per_round_ci_high,causal_regret_all_rounds_mean,causal_regret_all_rounds_se,causal_regret_all_rounds_ci_low,causal_regret_all_rounds_ci_high,final_causal_regret_mean,final_causal_regret_se,final_causal_regret_ci_low,final_causal_regret_ci_high,mean_delay_mean,mean_delay_se,mean_delay_ci_low,mean_delay_ci_high,pending_at_horizon_mean,pending_at_horizon_se,pending_at_horizon_ci_low,pending_at_horizon_ci_high,pending_fraction_mean,pending_fraction_se,pending_fraction_ci_low,pending_fraction_ci_high,source_state_mismatch_mean,source_state_mismatch_se,source_state_mismatch_ci_low,source_state_mismatch_ci_high,ranking_reversal_rate_mean,ranking_reversal_rate_se,ranking_reversal_rate_ci_low,ranking_reversal_rate_ci_high,wrong_assignment_rate_mean,wrong_assignment_rate_se,wrong_assignment_rate_ci_low,wrong_assignment_rate_ci_high,labelled_arrival_fraction_mean,labelled_arrival_fraction_se,labelled_arrival_fraction_ci_low,labelled_arrival_fraction_ci_high,ci_level,uncertainty_unit,n_bootstrap,proxy_state_error_per_round_mean,proxy_state_error_per_round_se,proxy_state_error_per_round_ci_low,proxy_state_error_per_round_ci_high,absolute_proxy_distortion_per_round_mean,absolute_proxy_distortion_per_round_se,absolute_proxy_distortion_per_round_ci_low,absolute_proxy_distortion_per_round_ci_high,proxy_ranking_reversal_rate_mean,proxy_ranking_reversal_rate_se,proxy_ranking_reversal_rate_ci_low,proxy_ranking_reversal_rate_ci_high
arrival_time_naive,0.0,30,30,0.5903127258436172,0.0035876956395453586,0.5833638821355864,0.5970234181153427,0.5926649755681592,0.00340174987321885,0.5860955552944512,0.5988336941388135,2963.324877840796,17.008749366094243,2928.3514509232505,2994.3276962709965,2.0,0.0,2.0,2.0,2.1333333333333333,0.09264111117062016,1.9666666666666666,2.3333333333333335,0.00042666666666666656,1.8528222234124027e-05,0.0003933333333333332,0.00045999999999999996,0.17770525124807804,0.0008914776018744883,0.1761190834481844,0.1794979641175308,0.06356046554176281,0.000269799454916931,0.06304634028913009,0.06408758467438819,0.7977009377266155,0.00302788936536866,0.7916885059709502,0.803257289714119,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
arrival_time_naive,0.25,30,30,0.5812827326046256,0.003708287127706857,0.5742110017839991,0.5885617403830604,0.5838753564518283,0.0036168136954223846,0.5770618020337267,0.5910967216687387,2919.3767822591403,18.084068477111916,2885.1719559041644,2954.649131961323,2.0,0.0,2.0,2.0,2.8,0.11141720290623112,2.566666666666667,3.0008333333333286,0.00056,2.2283440581246223e-05,0.0005199999999999998,0.0006000000000000001,0.20429324838277504,0.001058341043407074,0.20238597619825568,0.2064497740735464,0.08484080645693984,0.0002494669547686847,0.08440052340961113,0.08531772053653068,0.7905359525511177,0.00337069216108983,0.784509841463278,0.7970775765275623,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
arrival_time_naive,0.5,30,30,0.5840306458323816,0.0034272909324284885,0.5773454355494632,0.5906053998696758,0.5866861866171368,0.0032698672164866256,0.5799597435995456,0.5927438044727075,2933.4309330856836,16.349336082433126,2900.873141007131,2963.968765329943,2.0,0.0,2.0,2.0,3.2666666666666666,0.11678975444487853,3.033333333333333,3.5,0.0006533333333333332,2.3357950888975707e-05,0.0006066666666666667,0.0006999999999999999,0.23184290582960243,0.0011152373955777123,0.22985098814484625,0.23417786157903756,0.10688319267334652,0.00027796820001115105,0.10635791005727066,0.10740424564852011,0.7954265497712317,0.0027759791963621883,0.7900459217270388,0.8007969375879695,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
arrival_time_naive,1.0,30,30,0.59202236608628,0.003518025411165625,0.5850448478323793,0.5981102584056578,0.5941748370461294,0.003326144777423229,0.5875170876004254,0.6002407271835278,2970.874185230647,16.630723887116158,2934.407104419671,3000.501688928074,2.0,0.0,2.0,2.0,4.666666666666667,0.11072730647165328,4.433333333333334,4.866666666666666,0.0009333333333333333,2.2145461294330657e-05,0.0008933333333333332,0.0009733333333333334,0.28739202515119366,0.001483393545884589,0.28464052895127556,0.2903196278526745,0.15168832244006478,0.00035369644693016353,0.15098559020308364,0.1524080976756521,0.8180436004236734,0.0030350683111856954,0.8117963802861802,0.8237210120538581,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
arrival_time_naive,1.5,30,30,0.6031345833611815,0.004214704646062896,0.5945304385258467,0.610951043507321,0.6048334851265864,0.004055360884205888,0.5967018251312012,0.6123489627776539,3024.167425632932,20.27680442102946,2982.472067704991,3060.17843337353,2.0,0.0,2.0,2.0,5.966666666666667,0.10152099984713352,5.766666666666667,6.166666666666667,0.0011933333333333334,2.0304199969426703e-05,0.0011533333333333333,0.001233333333333333,0.3054084628502713,0.0014752214171922043,0.3027173687344143,0.30834177556158465,0.16644532844241505,0.0003257596344333379,0.16584546893657165,0.16710503529302023,0.8398618077168781,0.0033838680206894367,0.8327766439389489,0.8458311694785003,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
arrival_time_naive,2.0,30,30,0.6009548942467995,0.003924233186313133,0.593496329420287,0.6083029862250781,0.602932687822003,0.003707486824318726,0.5956694623206283,0.609963138199075,3014.6634391100156,18.537434121593623,2978.0361290425267,3051.062190129693,2.0,0.0,2.0,2.0,5.633333333333334,0.11227361214762055,5.4,5.833333333333333,0.0011266666666666667,2.2454722429524106e-05,0.00108,0.0011666666666666668,0.3057432572330691,0.0016884030082483271,0.3025076394652541,0.3091804461547573,0.1666811073045147,0.0003052590267960014,0.1661237307145728,0.16728191820936425,0.8414347606291965,0.0029508660618020963,0.8357993324216557,0.8468056524843536,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
arrival_time_naive,3.0,30,30,0.6067493993865014,0.003185428999519985,0.6006856718663026,0.6128450110376552,0.6082942259468388,0.0030330417018325896,0.6026887170924496,0.6140536651713455,3041.4711297341937,15.165208509162944,3011.9524775499663,3071.285044024319,2.0,0.0,2.0,2.0,5.4,0.11346172578623508,5.166666666666667,5.6,0.00108,2.2692345157247007e-05,0.0010333333333333334,0.0011266666666666667,0.3062016064732401,0.0015559549953700932,0.303188329606985,0.309280783424409,0.16686686376049023,0.00033004661061454625,0.16625397027010208,0.1674998356855829,0.8442180752830625,0.0025642735772434203,0.8391204486003085,0.8490006303513757,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
observable_history_surrogate,0.0,30,30,0.5331557616282457,0.00532103255549249,0.5231129022462719,0.5427863952416858,0.5381406132314849,0.005038010283568549,0.5286594912260129,0.5477310495997441,2690.7030661574245,25.190051417842753,2641.3682569744888,2740.0508502293046,2.0,0.0,2.0,2.0,2.1333333333333333,0.09264111117062016,1.9666666666666666,2.3,0.00042666666666666656,1.8528222234124027e-05,0.0003933333333333332,0.00045999999999999996,0.17770525124807804,0.0008914776018744883,0.17602209513055217,0.179439574505702,0.06356046554176281,0.000269799454916931,0.06306067514214707,0.06408914109723751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
observable_history_surrogate,0.25,30,30,0.5419444088903571,0.0047505533026431694,0.5328322989076725,0.5514067690898563,0.546472056218546,0.004484399403441534,0.537702848272571,0.5545885484308943,2732.360281092729,22.421997017207683,2689.439651521539,2775.143930777308,2.0,0.0,2.0,2.0,2.8,0.11141720290623112,2.566666666666667,3.0,0.00056,2.2283440581246223e-05,0.00052,0.0006000000000000001,0.20429324838277504,0.001058341043407074,0.20234024807451959,0.20638166395567178,0.08484080645693984,0.0002494669547686847,0.08434720968749403,0.08532777704246454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
observable_history_surrogate,0.5,30,30,0.5371369643411846,0.005262768976775754,0.5274554549179528,0.5467102418064486,0.541947940775788,0.0050750299218974265,0.5321907476850235,0.5512225731461845,2709.73970387894,25.375149609487156,2661.069335111937,2756.4513990920473,2.0,0.0,2.0,2.0,3.2666666666666666,0.11678975444487853,3.033333333333333,3.5,0.0006533333333333332,2.3357950888975707e-05,0.0006133333333333332,0.0006999999999999999,0.23184290582960243,0.0011152373955777123,0.22973909414398147,0.23409930617705313,0.10688319267334652,0.00027796820001115105,0.10636914438742336,0.10741733495603656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,shared_simulation_seed_percentile_bootstrap,2000,,,,,,,,,,,,
