delay_condition,method_id,decile,mean_predicted_long_value_log,mean_observed_long_value_log,ci_lower,ci_upper,n_bootstrap
independent_matched_delay_pool,short_term_ridge_proxy,0,2.7070387387223516,2.748970023444735,2.671440203201604,2.829353019211335,100
independent_matched_delay_pool,short_term_ridge_proxy,1,2.8088611052168013,2.815569808752352,2.7428891955297003,2.895763859393855,100
independent_matched_delay_pool,short_term_ridge_proxy,2,2.851318431191232,2.850435846846127,2.7976387959251405,2.91071944695759,100
independent_matched_delay_pool,short_term_ridge_proxy,3,2.906092794733725,2.93282259672357,2.8722604178687763,2.992438293879725,100
independent_matched_delay_pool,short_term_ridge_proxy,4,2.935040969207974,2.928961217895111,2.8807730177013497,2.968848942628918,100
independent_matched_delay_pool,short_term_ridge_proxy,5,2.9739347482528684,2.9726123811592107,2.9232017662361582,3.019322545149936,100
independent_matched_delay_pool,short_term_ridge_proxy,6,3.005680727056181,3.0311630861425773,2.976930764279436,3.0773633468026995,100
independent_matched_delay_pool,short_term_ridge_proxy,7,3.0332675609058044,3.05095353585426,2.9982504906042897,3.0950350238880247,100
independent_matched_delay_pool,short_term_ridge_proxy,8,3.053600800778024,3.038595690382302,2.982751955909111,3.0784426588797724,100
independent_matched_delay_pool,short_term_ridge_proxy,9,3.1675030594483355,3.2315463299523195,3.1802815641135904,3.2910547909843357,100
independent_matched_delay_pool,history_ewma_ridge_proxy,0,2.8147429400848374,2.7546386237504827,2.6912325669352897,2.8213087316011487,100
independent_matched_delay_pool,history_ewma_ridge_proxy,1,2.8707418105780795,2.810789331610904,2.7394590575927795,2.883150372423992,100
independent_matched_delay_pool,history_ewma_ridge_proxy,2,2.911448622816652,2.8580111731295017,2.805730696046866,2.9269361741203785,100
independent_matched_delay_pool,history_ewma_ridge_proxy,3,2.96315028616877,2.926546857923847,2.866011393210058,2.9823673209249546,100
independent_matched_delay_pool,history_ewma_ridge_proxy,4,2.9977399275882575,2.943176947571096,2.895868665542452,2.9890035039380214,100
independent_matched_delay_pool,history_ewma_ridge_proxy,5,3.029833586072205,2.9766972567083005,2.9275704897100914,3.0213881769039794,100
independent_matched_delay_pool,history_ewma_ridge_proxy,6,3.0642342610582585,3.0270346058872057,2.9749934053236333,3.072040820560651,100
independent_matched_delay_pool,history_ewma_ridge_proxy,7,3.0895094388302633,3.039954654055015,2.983917278677599,3.080667261108446,100
independent_matched_delay_pool,history_ewma_ridge_proxy,8,3.11356347641608,3.041492555011706,2.9876456289141577,3.083450630230618,100
independent_matched_delay_pool,history_ewma_ridge_proxy,9,3.22983140976599,3.2465669886077113,3.192597392055674,3.3074371149139017,100
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,0,2.7070387387223516,2.748970023444735,2.671440203201604,2.829353019211335,100
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,1,2.8088611052168013,2.815569808752352,2.7428891955297003,2.895763859393855,100
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,2,2.851318431191232,2.850435846846127,2.7976387959251405,2.91071944695759,100
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,3,2.906092794733725,2.93282259672357,2.8722604178687763,2.992438293879725,100
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,4,2.935040969207974,2.928961217895111,2.8807730177013497,2.968848942628918,100
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,5,2.9739347482528684,2.9726123811592107,2.9232017662361582,3.019322545149936,100
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,6,3.005680727056181,3.0311630861425773,2.976930764279436,3.0773633468026995,100
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,7,3.0332675609058044,3.05095353585426,2.9982504906042897,3.0950350238880247,100
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,8,3.053600800778024,3.038595690382302,2.982751955909111,3.0784426588797724,100
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,9,3.1675030594483355,3.2315463299523195,3.1802815641135904,3.2910547909843357,100
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,0,2.8147429400848374,2.7546386237504827,2.6912325669352897,2.8213087316011487,100
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,1,2.8707418105780795,2.810789331610904,2.7394590575927795,2.883150372423992,100
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,2,2.911448622816652,2.8580111731295017,2.805730696046866,2.9269361741203785,100
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,3,2.96315028616877,2.926546857923847,2.866011393210058,2.9823673209249546,100
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,4,2.9977399275882575,2.943176947571096,2.895868665542452,2.9890035039380214,100
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,5,3.029833586072205,2.9766972567083005,2.9275704897100914,3.0213881769039794,100
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,6,3.0642342610582585,3.0270346058872057,2.9749934053236333,3.072040820560651,100
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,7,3.0895094388302633,3.039954654055015,2.983917278677599,3.080667261108446,100
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,8,3.11356347641608,3.041492555011706,2.9876456289141577,3.083450630230618,100
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,9,3.22983140976599,3.2465669886077113,3.192597392055674,3.3074371149139017,100
