delay_condition,method_id,metric_id,point_estimate,ci_lower,ci_upper,ci_level,n_bootstrap
independent_matched_delay_pool,source_aware_reference,ranking_regret_reduction_vs_arrival_time,0.05850998420827566,0.039994535683864525,0.15948124379914014,0.95,100
independent_matched_delay_pool,source_labelled_empirical,ranking_regret_reduction_vs_arrival_time,-0.004891578011997216,-0.016176911726948778,0.08317275728638009,0.95,100
independent_matched_delay_pool,partial_source_label_q10,ranking_regret_reduction_vs_arrival_time,0.0,-0.004693758666820414,0.04173493140754048,0.95,100
independent_matched_delay_pool,partial_source_label_q30,ranking_regret_reduction_vs_arrival_time,-0.004238989210402944,-0.00726377887065122,0.06213706933118241,0.95,100
independent_matched_delay_pool,partial_source_label_q50,ranking_regret_reduction_vs_arrival_time,-0.008611471157575101,-0.011009027401693317,0.07446588870279236,0.95,100
independent_matched_delay_pool,history_ewma_ridge_proxy,ranking_regret_reduction_vs_arrival_time,0.03367427425592706,-0.001972022244468261,0.11330147065362926,0.95,100
independent_matched_delay_pool,history_mean_static,ranking_regret_reduction_vs_arrival_time,0.029373600785258202,-0.0035449733224209245,0.11258443962259222,0.95,100
independent_matched_delay_pool,short_term_composite_surrogate,ranking_regret_reduction_vs_arrival_time,0.012203408206352781,-0.023770221637644997,0.09490392103817077,0.95,100
independent_matched_delay_pool,short_term_ridge_proxy,ranking_regret_reduction_vs_arrival_time,0.03367427425592706,-0.001972022244468261,0.11330147065362926,0.95,100
action_value_coupled_matched_delay_pool,source_aware_reference,ranking_regret_reduction_vs_arrival_time,0.07775685270626514,0.04636517205014216,0.1577808654613475,0.95,100
action_value_coupled_matched_delay_pool,source_labelled_empirical,ranking_regret_reduction_vs_arrival_time,0.02595155228246533,-0.010846490696564282,0.08557623828461484,0.95,100
action_value_coupled_matched_delay_pool,partial_source_label_q10,ranking_regret_reduction_vs_arrival_time,0.019509295142240382,-0.009048585580358768,0.04177101799167693,0.95,100
action_value_coupled_matched_delay_pool,partial_source_label_q30,ranking_regret_reduction_vs_arrival_time,0.018718547174392523,-0.0023764172524279696,0.05813311402079455,0.95,100
action_value_coupled_matched_delay_pool,partial_source_label_q50,ranking_regret_reduction_vs_arrival_time,0.019007116163689768,-0.0025605114040535056,0.07030864055856675,0.95,100
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,ranking_regret_reduction_vs_arrival_time,0.052921142753916545,-0.004405047715441266,0.12050525765318075,0.95,100
action_value_coupled_matched_delay_pool,history_mean_static,ranking_regret_reduction_vs_arrival_time,0.04862046928324769,-0.005286845058654126,0.11844339782134848,0.95,100
action_value_coupled_matched_delay_pool,short_term_composite_surrogate,ranking_regret_reduction_vs_arrival_time,0.031450276704342264,-0.023430657735450507,0.08681606409564842,0.95,100
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,ranking_regret_reduction_vs_arrival_time,0.052921142753916545,-0.004405047715441266,0.12050525765318075,0.95,100
