horizon,n_source_events,n_valid_source_events,right_censoring_rate,target_mean,target_sd,context_streams
1h,6129856,6062671,0.010960290094905956,1.9942855591559854,1.0476618201714067,main_standard_only
6h,6129856,5945952,0.030001357291264297,2.9749996287253584,1.1482367158017595,main_standard_only
1d,6129856,5692962,0.0712731261550027,4.241034316944257,0.8848660932788829,main_standard_only
3d,6129856,4947968,0.19280844443980416,5.293329266141266,0.7920491296023414,main_standard_only
