contrast_family,expected_direction,contrast_count,mean_direction_agreement,minimum_direction_agreement,mean_exact_zero_rate,run_id,run_tier,paper_result,experiment_id,module_id,analysis_tier,code_commit,config_hash,source_code_hash,calibration_hash,result_schema,seed_or_replication
proxy_noise_sd,increase,12,0.75,0.0,0.25,fast_20260806T071500Z_2efad11d,fast,False,exp4_controlled_route_audit,module_a_route_alignment,diagnostic,339a5d71930a05939f8a98fda3cdda11bbcbd5be,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,9f449fa0ef13523eb6544f0abd018e671816b02700640b0215b7f6f9e560ddf9,c0515deecd64a918cc8ca78e346c6a571a7f8ec497e172090e78c2d23bd91057,exp4_controlled_route_audit_v2,aggregate
route_label_rate,decrease,12,1.0,1.0,0.0,fast_20260806T071500Z_2efad11d,fast,False,exp4_controlled_route_audit,module_a_route_alignment,diagnostic,339a5d71930a05939f8a98fda3cdda11bbcbd5be,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,9f449fa0ef13523eb6544f0abd018e671816b02700640b0215b7f6f9e560ddf9,c0515deecd64a918cc8ca78e346c6a571a7f8ec497e172090e78c2d23bd91057,exp4_controlled_route_audit_v2,aggregate
