Control,Unit-level correspondence,Raw pairwise discrepancy,OOF calibrated pairwise discrepancy,Recoverability,Estimability rate
Affine-linked control,preserved by construction,0.2407649839374406,0.04582664250282,0.8094463061623256,1.0
Temporally blocked correspondence-destroyed control,destroyed within temporal blocks,0.3960943168082576,0.2930732033480586,0.2598297353265079,1.0
