experiment_id,delay_setting,delay_family,setting_role,policy_dependent_delay,regime,method,n_seeds,mean_final_Rc,se_final_Rc,ci95_low,ci95_high,mean_delay,trace_observed_mean_delay,arrival_rate
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,labelled,anonymous_delayed,30,7712.0781162548365,109.58497896872078,7497.291557476144,7926.864675033529,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,labelled,causal_em,30,1581.6767602010088,35.41903375046435,1512.2554540500987,1651.098066351919,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,labelled,causal_em_misspecified,30,1599.8621216592678,32.18855981783435,1536.7725444163125,1662.9516989022231,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,labelled,causal_labeled,30,1571.2939419580491,29.918685628887197,1512.6533181254301,1629.934565790668,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,labelled,delayed_exp3,30,7693.077054885422,118.18394215649283,7461.436528258696,7924.717581512147,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,labelled,delayed_ucb,30,5790.042888235955,154.53461908942487,5487.155034820682,6092.930741651227,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,labelled,naive,30,5693.354520722931,158.29540151978844,5383.0955337441455,6003.613507701716,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,labelled,naive_ewma,30,5734.281500481963,118.62379846843585,5501.778855483829,5966.784145480097,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,labelled,oracle,30,0.0,0.0,0.0,0.0,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,labelled,proxy,30,1701.968751729409,35.13870850172568,1633.0968830660265,1770.8406203927914,15.000087036286763,15.000087036286763,0.9955866666666667
