contrast_family,expected_direction,contrast_count,mean_direction_agreement,minimum_direction_agreement,mean_exact_zero_rate,run_id,run_tier,paper_result,experiment_id,module_id,analysis_tier,code_commit,config_hash,source_code_hash,calibration_hash,result_schema,seed_or_replication
proxy_noise_sd,increase,12,0.7341666666666667,0.0,0.25,full_20260806T021401Z_5627f17b,full,False,exp4_controlled_route_audit,module_a_route_alignment,diagnostic,889bc77120cd52de73c2d0659d1575aaa395196e,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,52e2ca0be113392807336020532d3996823a4d02465ecae60b1fa37dcbffdd9c,c418ceaf99072b87f00aac0070d20925fe3c9f0eefd10dde8e2736e2c993ddf0,exp4_controlled_route_audit_v2,aggregate
route_label_rate,decrease,12,1.0,1.0,0.0,full_20260806T021401Z_5627f17b,full,False,exp4_controlled_route_audit,module_a_route_alignment,diagnostic,889bc77120cd52de73c2d0659d1575aaa395196e,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,52e2ca0be113392807336020532d3996823a4d02465ecae60b1fa37dcbffdd9c,c418ceaf99072b87f00aac0070d20925fe3c9f0eefd10dde8e2736e2c993ddf0,exp4_controlled_route_audit_v2,aggregate
