route_left,route_right,allocation_tv,top_k,top_k_overlap,ranking_displacement_at_k,kendall_tau_b,common_active_support_count,left_positive_credit_cell_count,right_positive_credit_cell_count,common_positive_credit_cell_count,mean_journey_assignment_tv,bootstrap_repetitions,allocation_tv_bootstrap_mean,allocation_tv_bootstrap_median,allocation_tv_ci_lower,allocation_tv_ci_upper,top_k_overlap_bootstrap_mean,top_k_overlap_bootstrap_median,top_k_overlap_ci_lower,top_k_overlap_ci_upper,ranking_displacement_at_k_bootstrap_mean,ranking_displacement_at_k_bootstrap_median,ranking_displacement_at_k_ci_lower,ranking_displacement_at_k_ci_upper,kendall_tau_b_bootstrap_mean,kendall_tau_b_bootstrap_median,kendall_tau_b_ci_lower,kendall_tau_b_ci_upper,common_active_support_count_bootstrap_mean,common_active_support_count_bootstrap_median,common_active_support_count_ci_lower,common_active_support_count_ci_upper,full_sample_support_count,bootstrap_support_min,bootstrap_support_max,support_frozen,kendall_tau_b_nan_fraction,constant_vector_fraction,zero_mass_vector_fraction,allocation_tv_bootstrap_bias_mean,allocation_tv_bootstrap_bias_median,allocation_tv_point_outside_percentile_ci,top_k_overlap_bootstrap_bias_mean,top_k_overlap_bootstrap_bias_median,top_k_overlap_point_outside_percentile_ci,ranking_displacement_at_k_bootstrap_bias_mean,ranking_displacement_at_k_bootstrap_bias_median,ranking_displacement_at_k_point_outside_percentile_ci,kendall_tau_b_bootstrap_bias_mean,kendall_tau_b_bootstrap_bias_median,kendall_tau_b_point_outside_percentile_ci,common_active_support_count_bootstrap_bias_mean,common_active_support_count_bootstrap_bias_median,common_active_support_count_point_outside_percentile_ci
first_touch,last_touch,0.2384129213483146,10,1.0,0.0,0.298453140541172,4177,3713,3018,2554,0.31337780898876405,1000,0.2543583165616727,0.25429025633554797,0.24662929318139695,0.26255631932237644,0.8745000000000003,0.9,0.7,1.0,0.12549999999999997,0.09999999999999998,0.0,0.30000000000000004,0.4292197618234126,0.42963054076674057,0.40745008853885534,0.450253598302066,4177.0,4177.0,4177.0,4177.0,4177,4177,4177,True,0.0,0.0,0.0,0.015945395213358082,0.01587733498723337,True,-0.12549999999999972,-0.09999999999999998,False,0.12549999999999997,0.09999999999999998,False,0.1307666212822406,0.13117740022556856,True,0.0,0.0,False
first_touch,linear_credit,0.12915180210231175,10,1.0,0.0,0.6044263768055713,5106,3713,5106,3713,0.19332404832943137,1000,0.14099825617836034,0.14103684285715468,0.1367465121420395,0.14524780023927794,0.9399000000000001,0.9,0.8,1.0,0.06009999999999999,0.09999999999999998,0.0,0.19999999999999996,0.6679161885002062,0.6681713298624778,0.6530956892869069,0.6813791003631131,5106.0,5106.0,5106.0,5106.0,5106,5106,5106,True,0.0,0.0,0.0,0.01184645407604859,0.011885040754842924,True,-0.06009999999999993,-0.09999999999999998,False,0.06009999999999999,0.09999999999999998,False,0.06348981169463486,0.06374495305690653,True,0.0,0.0,False
first_touch,time_decay_credit,0.2133436065874062,10,1.0,0.0,0.41974209474551927,5106,3713,5106,3713,0.281988966355891,1000,0.226090347024404,0.22597213206332417,0.2194441084885066,0.2329403007331799,0.8905000000000001,0.9,0.7,1.0,0.10949999999999999,0.09999999999999998,0.0,0.30000000000000004,0.5457699844304289,0.5460958228463837,0.5268999242270811,0.5635263689857192,5106.0,5106.0,5106.0,5106.0,5106,5106,5106,True,0.0,0.0,0.0,0.012746740436997805,0.012628525475917973,True,-0.10949999999999993,-0.09999999999999998,False,0.10949999999999999,0.09999999999999998,False,0.12602788968490963,0.12635372810086443,True,0.0,0.0,False
last_touch,linear_credit,0.14019622646380844,10,1.0,0.0,0.6238902237195868,5106,3018,5106,3018,0.19332404832943137,1000,0.1494748686852541,0.14952889304764821,0.14501989205492513,0.15432250781486453,0.9246000000000001,0.9,0.8,1.0,0.07539999999999998,0.09999999999999998,0.0,0.19999999999999996,0.650887316479832,0.6508344866927296,0.6384520105260403,0.6627390429592753,5106.0,5106.0,5106.0,5106.0,5106,5106,5106,True,0.0,0.0,0.0,0.009278642221445643,0.009332666583839772,True,-0.07539999999999991,-0.09999999999999998,False,0.07539999999999998,0.09999999999999998,False,0.0269970927602452,0.026944262973142785,True,0.0,0.0,False
last_touch,time_decay_credit,0.0470289909995538,10,1.0,0.0,0.834000493907727,5106,3018,5106,3018,0.06509463160754182,1000,0.050044059563700144,0.05003382904686213,0.04791866812498681,0.05211510608422509,0.973,1.0,0.9,1.0,0.026999999999999993,0.0,0.0,0.09999999999999998,0.7982602437262541,0.7981699577487926,0.7920389652558695,0.8042618424766399,5106.0,5106.0,5106.0,5106.0,5106,5106,5106,True,0.0,0.0,0.0,0.0030150685641463434,0.0030048380473083267,True,-0.027000000000000024,0.0,False,0.026999999999999993,0.0,False,-0.035740250181472866,-0.03583053615893439,True,0.0,0.0,False
linear_credit,time_decay_credit,0.10553800706913255,10,1.0,0.0,0.6863008657174995,5106,5106,5106,5106,0.13372091458948934,1000,0.11076279126999601,0.11072833757604061,0.10720718535355164,0.11446935221760672,0.9407000000000002,0.9,0.8,1.0,0.059299999999999985,0.09999999999999998,0.0,0.19999999999999996,0.7925651676785423,0.7926260985493345,0.7808087804087064,0.8045040800211839,5106.0,5106.0,5106.0,5106.0,5106,5106,5106,True,0.0,0.0,0.0,0.005224784200863461,0.005190330506908064,True,-0.0592999999999998,-0.09999999999999998,False,0.059299999999999985,0.09999999999999998,False,0.10626430196104286,0.10632523283183504,True,0.0,0.0,False
