figure_id,panel_id,mechanism_id,mechanism_display_name,series_id,metric_id,estimate,ci_lower,ci_upper,n_seeds,bootstrap_repetitions,run_tier,paper_result
fig_exp1_alignment_transfer,B,state_coupled_delay,State-coupled delay,transfer_bound_rate,transfer_bound_rate,0.2480882327850295,0.2435138469555725,0.2526679917202581,30,2000,paper,True
fig_exp1_alignment_transfer,C,state_coupled_delay,State-coupled delay,arrival_clock,structural_regret_rate,0.1653264348077031,0.1631857018214438,0.1674824916856372,30,2000,paper,True
fig_exp1_alignment_transfer,C,state_coupled_delay,State-coupled delay,source_round,structural_regret_rate,0.1137230765725029,0.1131346615089597,0.1143063980382236,30,2000,paper,True
fig_exp1_alignment_transfer,C,state_coupled_delay,State-coupled delay,paired_contrast,arrival_minus_source_regret_rate,0.0516033582352001,0.049811923229285,0.0533845024249466,30,2000,paper,True
fig_exp1_alignment_transfer,A,systematic_misbinding,Systematic misbinding,alignment_budget_rate,alignment_budget_rate,0.5555703703703704,0.5553111111111111,0.5558296296296296,30,2000,paper,True
fig_exp1_alignment_transfer,A,systematic_misbinding,Systematic misbinding,generated_mean_delay,generated_mean_delay,15.0,15.0,15.0,30,2000,paper,True
fig_exp1_alignment_transfer,A,systematic_misbinding,Systematic misbinding,ranking_reversal_rate,ranking_reversal_rate,0.5000133333333333,0.4997798333333332,0.5002533333333333,30,2000,paper,True
fig_exp1_alignment_transfer,B,systematic_misbinding,Systematic misbinding,structural_regret_rate,structural_regret_rate,0.1543251028806584,0.1542489711934156,0.154395061728395,30,2000,paper,True
fig_exp1_alignment_transfer,B,systematic_misbinding,Systematic misbinding,transfer_bound_rate,transfer_bound_rate,0.5555703703703704,0.5553037037037036,0.5558222222222221,30,2000,paper,True
fig_exp1_alignment_transfer,C,systematic_misbinding,Systematic misbinding,arrival_clock,structural_regret_rate,0.1784710288065843,0.1772179053497942,0.1796444506172839,30,2000,paper,True
fig_exp1_alignment_transfer,C,systematic_misbinding,Systematic misbinding,source_round,structural_regret_rate,0.1070820576131687,0.1065167407407407,0.1076132716049382,30,2000,paper,True
fig_exp1_alignment_transfer,C,systematic_misbinding,Systematic misbinding,paired_contrast,arrival_minus_source_regret_rate,0.0713889711934156,0.0701656604938271,0.0726065514403292,30,2000,paper,True
