figure_id,panel_id,mechanism_id,mechanism_display_name,delay_threshold,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,27,delay_survival_probability,30,0.1635799999999999,0.0007758036248741,0.1620998333333333,0.1650933333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,28,delay_survival_probability,30,0.1534399999999999,0.0007782916747816,0.1519064999999999,0.1549601666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,29,delay_survival_probability,30,0.14404,0.0007486017617539,0.1424133333333333,0.1455001666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,30,delay_survival_probability,30,0.13532,0.0007254709132535,0.1339,0.1366668333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,31,delay_survival_probability,30,0.1268399999999999,0.0007838249863301,0.1252665,0.1282003333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,32,delay_survival_probability,30,0.1189533333333333,0.0007021597770382,0.1175331666666666,0.1202401666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,33,delay_survival_probability,30,0.1114266666666666,0.0006576680036805,0.1101266666666666,0.1126336666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,34,delay_survival_probability,30,0.1043533333333333,0.0006448154566851,0.1030931666666666,0.1055533333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,35,delay_survival_probability,30,0.09794,0.0006541222072892,0.096673,0.0991468333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,36,delay_survival_probability,30,0.0915933333333333,0.0006525975213745,0.0902931666666666,0.0927801666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,37,delay_survival_probability,30,0.08572,0.0006858571279792,0.0844265,0.0870599999999999,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,38,delay_survival_probability,30,0.0804933333333333,0.0006708877860387,0.0791598333333333,0.0817001666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,39,delay_survival_probability,30,0.0757066666666666,0.0006302514246215,0.0744665,0.0768801666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,40,delay_survival_probability,30,0.0708933333333333,0.0006047880474806,0.0697533333333333,0.0720068333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,41,delay_survival_probability,30,0.0662733333333333,0.0005348097380739,0.0653,0.06734,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,42,delay_survival_probability,30,0.0618533333333333,0.0005225871391525,0.060913,0.06284,2000,0.95,paper,True
