figure_id,panel_id,mechanism_id,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result,quantile,seed,boundary_center,t,structural_best_action,route_best_action,ranking_reversal,reversal_margin
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,2.0,7.0,7.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,3.0,7.0,7.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,4.0,7.0,7.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,5.0,7.0,7.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,6.0,7.0,7.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,7.0,7.0,7.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,8.0,7.0,7.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,9.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,10.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,11.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,12.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,13.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,14.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,15.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,16.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,17.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,18.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,19.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,20.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,21.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,22.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,23.0,2.0,7.0,True,0.3086419753086419
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,24.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,25.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,26.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,27.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,28.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,29.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,30.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,31.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,32.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,33.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,34.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,35.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,36.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,37.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,38.0,2.0,2.0,False,0.0
fig_exp1_reversal_margin,C,systematic_misbinding,boundary_trajectory,,,,,,,,paper,True,,0.0,9.0,39.0,7.0,2.0,True,0.3086419753086419
