route_left,route_right,allocation_tv,top_k,top_k_overlap,top_k_set_disagreement,kendall_tau_b,common_active_cell_count,left_positive_credit_cell_count,right_positive_credit_cell_count,common_positive_credit_cell_count,analysis_tier,targeted_dimension,targeted_value,record_type,route_id,analysis_status,retained_journey_count,retained_user_count,eligible_decision_cell_count,cohort_mode
arrival_time_accounting_anchor,first_click_or_touch,0.13830965926774308,20,0.65,0.35,0.4824190992159766,16062.0,12801.0,14912.0,11651.0,targeted,top_k,20.0,arrival_displacement,first_click_or_touch,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,last_click_or_touch,0.10291682746772567,20,0.6,0.4,0.5788020903662099,15400.0,12801.0,14521.0,11922.0,targeted,top_k,20.0,arrival_displacement,last_click_or_touch,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,linear_source_cell_credit,0.11894253271498781,20,0.6,0.4,0.56049856418929,16369.0,12801.0,15728.0,12160.0,targeted,top_k,20.0,arrival_displacement,linear_source_cell_credit,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.10916126396795664,20,0.6,0.4,0.589144819333549,16369.0,12801.0,15728.0,12160.0,targeted,top_k,20.0,arrival_displacement,time_decay_source_cell_credit,COMPLETED,240981,183533,19307,
first_click_or_touch,last_click_or_touch,0.06176835518152883,20,0.85,0.15000000000000002,0.7174258471978646,15490.0,14912.0,14521.0,13943.0,targeted,top_k,20.0,source_route_pair,,COMPLETED,240981,183533,19307,
first_click_or_touch,linear_source_cell_credit,0.03216834324618756,20,0.9,0.09999999999999998,0.8475712249359046,15728.0,14912.0,15728.0,14912.0,targeted,top_k,20.0,source_route_pair,,COMPLETED,240981,183533,19307,
first_click_or_touch,time_decay_source_cell_credit,0.049638155022721106,20,0.9,0.09999999999999998,0.7741811188326542,15728.0,14912.0,15728.0,14912.0,targeted,top_k,20.0,source_route_pair,,COMPLETED,240981,183533,19307,
last_click_or_touch,linear_source_cell_credit,0.032788333836238026,20,0.95,0.050000000000000044,0.8545082113377596,15728.0,14521.0,15728.0,14521.0,targeted,top_k,20.0,source_route_pair,,COMPLETED,240981,183533,19307,
last_click_or_touch,time_decay_source_cell_credit,0.01665405827747619,20,0.95,0.050000000000000044,0.9250167745648283,15728.0,14521.0,15728.0,14521.0,targeted,top_k,20.0,source_route_pair,,COMPLETED,240981,183533,19307,
linear_source_cell_credit,time_decay_source_cell_credit,0.019048877312472137,20,1.0,0.0,0.9165681733115445,15728.0,15728.0,15728.0,15728.0,targeted,top_k,20.0,source_route_pair,,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,first_click_or_touch,0.13830965926774308,50,0.78,0.21999999999999997,0.4824190992159766,16062.0,12801.0,14912.0,11651.0,targeted,top_k,50.0,arrival_displacement,first_click_or_touch,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,last_click_or_touch,0.10291682746772567,50,0.74,0.26,0.5788020903662099,15400.0,12801.0,14521.0,11922.0,targeted,top_k,50.0,arrival_displacement,last_click_or_touch,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,linear_source_cell_credit,0.11894253271498781,50,0.8,0.19999999999999996,0.56049856418929,16369.0,12801.0,15728.0,12160.0,targeted,top_k,50.0,arrival_displacement,linear_source_cell_credit,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.10916126396795664,50,0.76,0.24,0.589144819333549,16369.0,12801.0,15728.0,12160.0,targeted,top_k,50.0,arrival_displacement,time_decay_source_cell_credit,COMPLETED,240981,183533,19307,
first_click_or_touch,last_click_or_touch,0.06176835518152883,50,0.84,0.16000000000000003,0.7174258471978646,15490.0,14912.0,14521.0,13943.0,targeted,top_k,50.0,source_route_pair,,COMPLETED,240981,183533,19307,
first_click_or_touch,linear_source_cell_credit,0.03216834324618756,50,0.98,0.020000000000000018,0.8475712249359046,15728.0,14912.0,15728.0,14912.0,targeted,top_k,50.0,source_route_pair,,COMPLETED,240981,183533,19307,
first_click_or_touch,time_decay_source_cell_credit,0.049638155022721106,50,0.92,0.07999999999999996,0.7741811188326542,15728.0,14912.0,15728.0,14912.0,targeted,top_k,50.0,source_route_pair,,COMPLETED,240981,183533,19307,
last_click_or_touch,linear_source_cell_credit,0.032788333836238026,50,0.86,0.14,0.8545082113377596,15728.0,14521.0,15728.0,14521.0,targeted,top_k,50.0,source_route_pair,,COMPLETED,240981,183533,19307,
last_click_or_touch,time_decay_source_cell_credit,0.01665405827747619,50,0.9,0.09999999999999998,0.9250167745648283,15728.0,14521.0,15728.0,14521.0,targeted,top_k,50.0,source_route_pair,,COMPLETED,240981,183533,19307,
linear_source_cell_credit,time_decay_source_cell_credit,0.019048877312472137,50,0.94,0.06000000000000005,0.9165681733115445,15728.0,15728.0,15728.0,15728.0,targeted,top_k,50.0,source_route_pair,,COMPLETED,240981,183533,19307,
arrival_time_accounting_anchor,first_click_or_touch,0.13830965926774308,10,0.5,0.5,0.4824190992159766,,,,,targeted,candidate_window_days,7.0,arrival_displacement,first_click_or_touch,COMPLETED,240981,183533,19307,window_specific
arrival_time_accounting_anchor,last_click_or_touch,0.10291682746772567,10,0.6,0.4,0.5788020903662099,,,,,targeted,candidate_window_days,7.0,arrival_displacement,last_click_or_touch,COMPLETED,240981,183533,19307,window_specific
arrival_time_accounting_anchor,linear_source_cell_credit,0.11894253271498781,10,0.5,0.5,0.56049856418929,,,,,targeted,candidate_window_days,7.0,arrival_displacement,linear_source_cell_credit,COMPLETED,240981,183533,19307,window_specific
arrival_time_accounting_anchor,time_decay_source_cell_credit,0.10916126396795664,10,0.5,0.5,0.589144819333549,,,,,targeted,candidate_window_days,7.0,arrival_displacement,time_decay_source_cell_credit,COMPLETED,240981,183533,19307,window_specific
first_click_or_touch,last_click_or_touch,0.06176835518152883,10,0.8,0.19999999999999996,0.7174258471978646,,,,,targeted,candidate_window_days,7.0,source_route_pair,,COMPLETED,240981,183533,19307,window_specific
first_click_or_touch,linear_source_cell_credit,0.03216834324618756,10,0.9,0.09999999999999998,0.8475712249359046,,,,,targeted,candidate_window_days,7.0,source_route_pair,,COMPLETED,240981,183533,19307,window_specific
first_click_or_touch,time_decay_source_cell_credit,0.049638155022721106,10,0.9,0.09999999999999998,0.7741811188326542,,,,,targeted,candidate_window_days,7.0,source_route_pair,,COMPLETED,240981,183533,19307,window_specific
last_click_or_touch,linear_source_cell_credit,0.032788333836238026,10,0.9,0.09999999999999998,0.8545082113377596,,,,,targeted,candidate_window_days,7.0,source_route_pair,,COMPLETED,240981,183533,19307,window_specific
last_click_or_touch,time_decay_source_cell_credit,0.01665405827747619,10,0.9,0.09999999999999998,0.9250167745648283,,,,,targeted,candidate_window_days,7.0,source_route_pair,,COMPLETED,240981,183533,19307,window_specific
linear_source_cell_credit,time_decay_source_cell_credit,0.019048877312472137,10,1.0,0.0,0.9165681733115445,,,,,targeted,candidate_window_days,7.0,source_route_pair,,COMPLETED,240981,183533,19307,window_specific
