route_id,allocation_tv_vs_arrival,top_k,top_k_overlap_vs_arrival,top_k_set_disagreement,kendall_tau_b_vs_arrival,common_active_cell_count,positive_credit_cell_count,resampling_repetitions,allocation_tv_resampling_mean,allocation_tv_resampling_q025,allocation_tv_resampling_q500,allocation_tv_resampling_q975,top_k_overlap_resampling_mean,top_k_overlap_resampling_q025,top_k_overlap_resampling_q500,top_k_overlap_resampling_q975,top_k_set_disagreement_resampling_mean,top_k_set_disagreement_resampling_q025,top_k_set_disagreement_resampling_q500,top_k_set_disagreement_resampling_q975,kendall_tau_b_resampling_mean,kendall_tau_b_resampling_q025,kendall_tau_b_resampling_q500,kendall_tau_b_resampling_q975,common_active_cell_count_resampling_mean,common_active_cell_count_resampling_q025,common_active_cell_count_resampling_q500,common_active_cell_count_resampling_q975,full_sample_support_count,bootstrap_support_min,bootstrap_support_max,support_frozen,kendall_tau_b_nan_fraction,constant_vector_fraction,zero_mass_vector_fraction,allocation_tv_resampling_bias_mean,allocation_tv_resampling_bias_q500,allocation_tv_full_sample_outside_resampling_range,top_k_overlap_resampling_bias_mean,top_k_overlap_resampling_bias_q500,top_k_overlap_full_sample_outside_resampling_range,top_k_set_disagreement_resampling_bias_mean,top_k_set_disagreement_resampling_bias_q500,top_k_set_disagreement_full_sample_outside_resampling_range,kendall_tau_b_resampling_bias_mean,kendall_tau_b_resampling_bias_q500,kendall_tau_b_full_sample_outside_resampling_range,common_active_cell_count_resampling_bias_mean,common_active_cell_count_resampling_bias_q500,common_active_cell_count_full_sample_outside_resampling_range,comparison_group,route_left,route_right,allocation_tv,top_k_overlap,kendall_tau_b,left_positive_credit_cell_count,right_positive_credit_cell_count,common_positive_credit_cell_count,mean_journey_assignment_tv
first_click_or_touch,0.13830965926774308,10,0.5,0.5,0.4824190992159766,16062,14912.0,1000,0.15714907319757485,0.15555131787047602,0.15715117988913752,0.15874710378927595,0.576,0.3,0.6,0.8,0.424,0.19999999999999996,0.4,0.7,0.46315609206083697,0.4559143421728673,0.46314815048468966,0.470521563934576,16062.0,16062.0,16062.0,16062.0,16062,16062,16062,True,0.0,0.0,0.0,0.018839413929831766,0.018841520621394436,True,0.07599999999999996,0.09999999999999998,False,-0.07600000000000001,-0.09999999999999998,False,-0.019263007155139622,-0.01927094873128693,True,0.0,0.0,False,source_vs_arrival_anchor,arrival_time_accounting_anchor,first_click_or_touch,,,,,,,
last_click_or_touch,0.10291682746772567,10,0.6,0.4,0.5788020903662099,15400,14521.0,1000,0.11929948405129846,0.11788334681198355,0.11929872384948592,0.12079208396006354,0.6417999999999999,0.4,0.6,0.8,0.3582,0.19999999999999996,0.4,0.6,0.5607009274423067,0.5535093819864981,0.5607404043947267,0.5681901770308185,15400.0,15400.0,15400.0,15400.0,15400,15400,15400,True,0.0,0.0,0.0,0.016382656583572797,0.016381896381760255,True,0.04179999999999995,0.0,False,-0.041800000000000004,0.0,False,-0.01810116292390318,-0.018061685971483166,True,0.0,0.0,False,source_vs_arrival_anchor,arrival_time_accounting_anchor,last_click_or_touch,,,,,,,
linear_source_cell_credit,0.11894253271498781,10,0.5,0.5,0.56049856418929,16369,15728.0,1000,0.13559929059594378,0.13409820753252716,0.13555687694845103,0.1371844590822623,0.606,0.4,0.6,0.8,0.394,0.19999999999999996,0.4,0.6,0.5373295577321812,0.5306022684475924,0.53736191993352,0.5441038627981719,16369.0,16369.0,16369.0,16369.0,16369,16369,16369,True,0.0,0.0,0.0,0.01665675788095597,0.016614344233463224,True,0.10599999999999998,0.09999999999999998,False,-0.10599999999999998,-0.09999999999999998,False,-0.023169006457108843,-0.02313664425577,True,0.0,0.0,False,source_vs_arrival_anchor,arrival_time_accounting_anchor,linear_source_cell_credit,,,,,,,
time_decay_source_cell_credit,0.10916126396795664,10,0.5,0.5,0.589144819333549,16369,15728.0,1000,0.12535862489294894,0.1239605804823756,0.125342404127386,0.12688313937315732,0.6298999999999999,0.4,0.6,0.8,0.37010000000000004,0.19999999999999996,0.4,0.6,0.565079975932107,0.5587524109944494,0.5650855510833985,0.5716889614323187,16369.0,16369.0,16369.0,16369.0,16369,16369,16369,True,0.0,0.0,0.0,0.0161973609249923,0.01618114015942937,True,0.1298999999999999,0.09999999999999998,False,-0.12989999999999996,-0.09999999999999998,False,-0.024064843401441993,-0.02405926825015048,True,0.0,0.0,False,source_vs_arrival_anchor,arrival_time_accounting_anchor,time_decay_source_cell_credit,,,,,,,
,,10,,0.19999999999999996,,15490,,1000,0.0733477155089098,0.07226929006772999,0.07337221930540225,0.07439861091534766,0.7904000000000001,0.6,0.8,1.0,0.20960000000000004,0.0,0.19999999999999996,0.4,0.7162984914952409,0.7097656705862823,0.7162713593412504,0.7229279276542084,15490.0,15490.0,15490.0,15490.0,15490,15490,15490,True,0.0,0.0,0.0,0.011579360327380966,0.011603864123873417,True,-0.009599999999999942,0.0,False,0.00960000000000008,0.0,False,-0.001127355702623678,-0.0011544878566142058,False,0.0,0.0,False,source_route_pair,first_click_or_touch,last_click_or_touch,0.06176835518152883,0.8,0.7174258471978646,14912.0,14521.0,13943.0,0.19856337221606682
,,10,,0.09999999999999998,,15728,,1000,0.03846857527971831,0.03790576781626104,0.03846673206529976,0.039033494133357716,0.8955000000000002,0.7,0.9,1.0,0.10449999999999997,0.0,0.09999999999999998,0.30000000000000004,0.8459239734176497,0.8420402901973079,0.8458939573091286,0.8499668111290233,15728.0,15728.0,15728.0,15728.0,15728,15728,15728,True,0.0,0.0,0.0,0.0063002320335307505,0.006298388819112204,True,-0.0044999999999998375,0.0,False,0.00449999999999999,0.0,False,-0.0016472515182549552,-0.0016772676267760023,False,0.0,0.0,False,source_route_pair,first_click_or_touch,linear_source_cell_credit,0.03216834324618756,0.9,0.8475712249359046,14912.0,15728.0,14912.0,0.11222835983315024
,,10,,0.09999999999999998,,15728,,1000,0.05837578960041128,0.05755771508032327,0.05838038017668819,0.05919548824085184,0.8382000000000002,0.7,0.8,1.0,0.16179999999999997,0.0,0.19999999999999996,0.30000000000000004,0.7763577046661175,0.7712283504748142,0.776336455686494,0.7819894222602423,15728.0,15728.0,15728.0,15728.0,15728,15728,15728,True,0.0,0.0,0.0,0.008737634577690175,0.008742225153967081,True,-0.061799999999999855,-0.09999999999999998,False,0.061799999999999994,0.09999999999999998,False,0.0021765858334633625,0.00215533685383984,False,0.0,0.0,False,source_route_pair,first_click_or_touch,time_decay_source_cell_credit,0.049638155022721106,0.9,0.7741811188326542,14912.0,15728.0,14912.0,0.159949279920281
,,10,,0.09999999999999998,,15728,,1000,0.038967293517903984,0.038395140790865485,0.038970617536745494,0.03952696578999584,0.8733000000000002,0.7,0.9,1.0,0.12669999999999998,0.0,0.09999999999999998,0.30000000000000004,0.8487620059648401,0.8451506377883382,0.848755718688638,0.8525218244687456,15728.0,15728.0,15728.0,15728.0,15728,15728,15728,True,0.0,0.0,0.0,0.0061789596816659575,0.006182283700507468,True,-0.026699999999999835,0.0,False,0.0267,0.0,False,-0.005746205372919477,-0.005752492649121588,True,0.0,0.0,False,source_route_pair,last_click_or_touch,linear_source_cell_credit,0.032788333836238026,0.9,0.8545082113377596,14521.0,15728.0,14521.0,0.11222835983315024
,,10,,0.09999999999999998,,15728,,1000,0.020132860018679147,0.019799272310653013,0.020132496556653605,0.020481304739787796,0.9295000000000001,0.8,0.9,1.0,0.0705,0.0,0.09999999999999998,0.19999999999999996,0.9181613426149118,0.9159760429052332,0.9181428375691143,0.9203183814114111,15728.0,15728.0,15728.0,15728.0,15728,15728,15728,True,0.0,0.0,0.0,0.0034788017412029568,0.003478438279177414,True,0.02950000000000008,0.0,False,-0.029499999999999985,0.0,False,-0.006855431949916557,-0.006873936995714036,True,0.0,0.0,False,source_route_pair,last_click_or_touch,time_decay_source_cell_credit,0.01665405827747619,0.9,0.9250167745648283,14521.0,15728.0,14521.0,0.05857665128691624
,,10,,0.0,,15728,,1000,0.021932482898630888,0.021603752258078347,0.021932439561046645,0.02227861908348521,0.9224000000000001,0.8,0.9,1.0,0.07759999999999999,0.0,0.09999999999999998,0.19999999999999996,0.9199819593337638,0.9177324258836365,0.9199665580565147,0.9222273663166072,15728.0,15728.0,15728.0,15728.0,15728,15728,15728,True,0.0,0.0,0.0,0.002883605586158751,0.0028835622485745074,True,-0.07759999999999989,-0.09999999999999998,False,0.07759999999999999,0.09999999999999998,False,0.0034137860222193117,0.0033983847449702287,True,0.0,0.0,False,source_route_pair,linear_source_cell_credit,time_decay_source_cell_credit,0.019048877312472137,1.0,0.9165681733115445,15728.0,15728.0,15728.0,0.05514045947351119
