record_type,ambiguity_stratum,attribution_degenerate,journey_count,user_count,journey_share,route_id,mean_assignment_entropy,mean_maximum_assignment_weight,route_left,route_right,allocation_tv,top_k,top_k_overlap,top_k_set_disagreement,kendall_tau_b,common_active_cell_count,left_positive_credit_cell_count,right_positive_credit_cell_count,common_positive_credit_cell_count,candidate_cell_count_stratum,mean_journey_assignment_tv,median_journey_assignment_tv,q025_journey_assignment_tv,q975_journey_assignment_tv
stratum_summary,candidate_cells_1,True,193131,154247.0,0.8014366277839332,,,,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_1,,193131,,,arrival_time_accounting_anchor,0.0,1.0,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_1,,193131,,,first_click_or_touch,0.0,1.0,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_1,,193131,,,last_click_or_touch,0.0,1.0,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_1,,193131,,,linear_source_cell_credit,0.0,1.0,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_1,,193131,,,time_decay_source_cell_credit,0.0,1.0,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_1,,122865,,,logged_attribution_reference,0.0,1.0,,,,,,,,,,,,,,,,
source_route_pair,candidate_cells_1,,193131,154247.0,,,,,first_click_or_touch,last_click_or_touch,0.0,10.0,1.0,0.0,1.0,13684.0,13684.0,13684.0,13684.0,candidate_cells_1,0.0,0.0,0.0,0.0
source_route_pair,candidate_cells_1,,193131,154247.0,,,,,first_click_or_touch,linear_source_cell_credit,0.0,10.0,1.0,0.0,1.0,13684.0,13684.0,13684.0,13684.0,candidate_cells_1,0.0,0.0,0.0,0.0
source_route_pair,candidate_cells_1,,193131,154247.0,,,,,first_click_or_touch,time_decay_source_cell_credit,0.0,10.0,1.0,0.0,1.0,13684.0,13684.0,13684.0,13684.0,candidate_cells_1,0.0,0.0,0.0,0.0
source_route_pair,candidate_cells_1,,193131,154247.0,,,,,last_click_or_touch,linear_source_cell_credit,0.0,10.0,1.0,0.0,1.0,13684.0,13684.0,13684.0,13684.0,candidate_cells_1,0.0,0.0,0.0,0.0
source_route_pair,candidate_cells_1,,193131,154247.0,,,,,last_click_or_touch,time_decay_source_cell_credit,0.0,10.0,1.0,0.0,1.0,13684.0,13684.0,13684.0,13684.0,candidate_cells_1,0.0,0.0,0.0,0.0
source_route_pair,candidate_cells_1,,193131,154247.0,,,,,linear_source_cell_credit,time_decay_source_cell_credit,0.0,10.0,1.0,0.0,1.0,13684.0,13684.0,13684.0,13684.0,candidate_cells_1,0.0,0.0,0.0,0.0
stratum_summary,candidate_cells_2,False,32736,29862.0,0.13584473464712984,,,,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_2,,32736,,,arrival_time_accounting_anchor,0.0,1.0,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_2,,32736,,,first_click_or_touch,0.0,1.0,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_2,,32736,,,last_click_or_touch,0.0,1.0,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_2,,32736,,,linear_source_cell_credit,0.6931471805599452,0.5,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_2,,32736,,,time_decay_source_cell_credit,0.5102439463145325,0.7535843610634497,,,,,,,,,,,,,,,,
source_route_pair,candidate_cells_2,,32736,29862.0,,,,,first_click_or_touch,last_click_or_touch,0.3213282013685239,10.0,0.2,0.8,-0.08687945097199788,10385.0,7751.0,7445.0,4811.0,candidate_cells_2,1.0,1.0,1.0,1.0
source_route_pair,candidate_cells_2,,32736,29862.0,,,,,first_click_or_touch,linear_source_cell_credit,0.16066410068426196,10.0,0.6,0.4,0.462781710288388,10385.0,7751.0,10385.0,7751.0,candidate_cells_2,0.5,0.5,0.5,0.5
source_route_pair,candidate_cells_2,,32736,29862.0,,,,,first_click_or_touch,time_decay_source_cell_credit,0.254327754633913,10.0,0.3,0.7,0.1633566467427164,10385.0,7751.0,10385.0,7751.0,candidate_cells_2,0.7535843610634497,0.7373128689201365,0.5645159020024181,0.9641481191167894
source_route_pair,candidate_cells_2,,32736,29862.0,,,,,last_click_or_touch,linear_source_cell_credit,0.16066410068426196,10.0,0.4,0.6,0.49206185775238404,10385.0,7445.0,10385.0,7445.0,candidate_cells_2,0.5,0.5,0.5,0.5
source_route_pair,candidate_cells_2,,32736,29862.0,,,,,last_click_or_touch,time_decay_source_cell_credit,0.0805226818887014,10.0,0.9,0.09999999999999998,0.7406580786105377,10385.0,7445.0,10385.0,7445.0,candidate_cells_2,0.2464156389365503,0.2626871310798635,0.035851880883210556,0.43548409799758186
source_route_pair,candidate_cells_2,,32736,29862.0,,,,,linear_source_cell_credit,time_decay_source_cell_credit,0.09613004904888785,10.0,0.5,0.5,0.6971243929080885,10385.0,10385.0,10385.0,10385.0,candidate_cells_2,0.2535843610634497,0.23731286892013648,0.06451590200241812,0.46414811911678944
stratum_summary,candidate_cells_3plus,False,15114,13501.0,0.06271863756893697,,,,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_3plus,,15114,,,arrival_time_accounting_anchor,0.0,1.0,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_3plus,,15114,,,first_click_or_touch,0.0,1.0,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_3plus,,15114,,,last_click_or_touch,0.0,1.0,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_3plus,,15114,,,linear_source_cell_credit,1.2474639184988752,0.2935753353875625,,,,,,,,,,,,,,,,
route_assignment_shape,candidate_cells_3plus,,15114,,,time_decay_source_cell_credit,0.9435964718949014,0.5997619658895427,,,,,,,,,,,,,,,,
source_route_pair,candidate_cells_3plus,,15114,13501.0,,,,,first_click_or_touch,last_click_or_touch,0.4491861849940453,10.0,0.0,1.0,-0.29132484141303544,7260.0,4916.0,4790.0,2446.0,candidate_cells_3plus,1.0,1.0,1.0,1.0
source_route_pair,candidate_cells_3plus,,15114,13501.0,,,,,first_click_or_touch,linear_source_cell_credit,0.2643359672835655,10.0,0.2,0.8,0.2748917869226861,9194.0,4916.0,9194.0,4916.0,candidate_cells_3plus,0.7064246646124376,0.6666666666666667,0.6666666666666667,0.8333333333333334
source_route_pair,candidate_cells_3plus,,15114,13501.0,,,,,first_click_or_touch,time_decay_source_cell_credit,0.37623755340771475,10.0,0.0,1.0,-0.014256226832550829,9194.0,4916.0,9194.0,4916.0,candidate_cells_3plus,0.9180494760285922,0.9352403591268272,0.7947855672853642,0.982968584850168
source_route_pair,candidate_cells_3plus,,15114,13501.0,,,,,last_click_or_touch,linear_source_cell_credit,0.27028882083467237,10.0,0.1,0.9,0.3085520165286363,9194.0,4790.0,9194.0,4790.0,candidate_cells_3plus,0.7064246646124376,0.6666666666666667,0.6666666666666667,0.8333333333333333
source_route_pair,candidate_cells_3plus,,15114,13501.0,,,,,last_click_or_touch,time_decay_source_cell_credit,0.1490096542893066,10.0,0.4,0.6,0.6257122042325064,9194.0,4790.0,9194.0,4790.0,candidate_cells_3plus,0.40023803411045733,0.4237647225984392,0.11939014441386263,0.5956067813578367
source_route_pair,candidate_cells_3plus,,15114,13501.0,,,,,linear_source_cell_credit,time_decay_source_cell_credit,0.14032273231068143,10.0,0.2,0.8,0.6033235455670173,9194.0,9194.0,9194.0,9194.0,candidate_cells_3plus,0.3299236086153971,0.3200634983753007,0.14509715126605563,0.5529228752147122
