subexperiment_id,setting_id,delay_state_coupling_beta,notes,experiment_id,seed,source_label_rate_q,proxy_noise_sigma,causal_regret_per_round,causal_regret_all_rounds,final_causal_regret,n_eval_rounds,labelled_arrivals,anonymous_arrivals,total_arrivals,labelled_arrival_fraction,min_label_arrival_gap,wrong_assignment_rate,proxy_state_error_per_round,proxy_ranking_reversal_rate,absolute_proxy_distortion_per_round,context_misclassification_rate,action_trace_sha256,proxy_observation_interface,method_id,method_display_name,information_interface,reference_role,diagnostic_only,deployable,mean_delay,pending_at_horizon,pending_fraction,source_state_mismatch,ranking_reversal_rate
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,13,0.0,0.25,0.6134944167197448,0.6135746357651851,3067.8731788259256,4750,0,0,4994,0.0,,0.8434120945134161,,,,0.3996,b64227424badb02632dea06e9e3391a78825461c16f5375269d0afb39d96220a,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,6,0.0012,0.3099495828726251,0.1684020824989988
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,14,0.0,0.25,0.5782490297313708,0.5813796792924572,2906.8983964622857,4750,0,0,4994,0.0,,0.8392070484581498,,,,0.3938,6f29bc0143c9665fb86940213ddb80a1551a14b523779d7fce6cd329d69fe775,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,6,0.0012,0.3044332742345348,0.1665999199038846
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,15,0.0,0.25,0.5869426694659196,0.5899723790165537,2949.861895082769,4750,0,0,4994,0.0,,0.8277933520224269,,,,0.3938,43d23eb5fc9d12c591edaa7e609373c6ca7e4f802d997c54851fc4ce2f305a20,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,6,0.0012,0.3096369374844497,0.1643972767320785
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,16,0.0,0.25,0.6245289324330062,0.6245063978097579,3122.531989048789,4750,0,0,4993,0.0,,0.8477869016623273,,,,0.4048,3394ef96d19ade89e08847cba74aa59d29e516bd52ed0b1a07e05818db70277e,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,7,0.0014,0.3049950240970675,0.1656318846384939
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,17,0.0,0.25,0.5657888821986629,0.5689181461885094,2844.5907309425475,4750,0,0,4995,0.0,,0.8208208208208209,,,,0.4066,73954fa5e0270b9c462d9be02d1bc942ec3d563f4d568fc0798b9029e3c86eb6,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,5,0.001,0.3103995087713999,0.1649649649649649
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,18,0.0,0.25,0.612215295489614,0.6121428391428222,3060.714195714111,4750,0,0,4995,0.0,,0.8408408408408409,,,,0.3998,2acdb6420150dffb0cd815bd8f1bc6582ab04d1e5dd35e6e3e80b6fef13d3b00,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,5,0.001,0.2974592404396301,0.1659659659659659
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,19,0.0,0.25,0.6053313501917998,0.6073843732585208,3036.921866292604,4750,0,0,4995,0.0,,0.8552552552552553,,,,0.3946,7dfc4b5b7e4181e64c628c2774c366c74148eddf5840f955badf7f79a1a356a7,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,5,0.001,0.3106267457165326,0.1687687687687687
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,20,0.0,0.25,0.6149501557011261,0.6156653673648427,3078.3268368242134,4750,0,0,4995,0.0,,0.8482482482482483,,,,0.406,fd4d729eecba3db840f63ae503da35e935bd85c08553c4a7bf5689f1f14edfbc,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,5,0.001,0.2960812108581609,0.1691691691691691
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,21,0.0,0.25,0.6271111258894612,0.6295246639802157,3147.6233199010785,4750,0,0,4995,0.0,,0.8524524524524525,,,,0.3818,78913f04a46e476ddfb10e67bc903cb166ae302221f3bfd57e9e2b68f7b769fa,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,5,0.001,0.3011659488388499,0.1647647647647647
baseline_reference,arrival_time_baseline,2.0,,exp4_recoverability_boundary,22,0.0,0.25,0.5786289935062282,0.5801648160291043,2900.8240801455213,4750,0,0,4995,0.0,,0.8146146146146146,,,,0.38,e774206c1c0d04fa9d565338571257c21b6cd04ed1e8ded362797764fb1cc783,simulator_emitted,arrival_time_naive,Arrival time,arrival_time,none,False,True,2.0,5,0.001,0.3306864538672229,0.1655655655655655
