figure_id,panel_id,experiment_id,setting_id,raw_setting_id,method_id,method_display_name,information_interface,reference_role,diagnostic_only,deployable,metric_id,metric_formula_id,x_id,x_value,x_display_label,y_value,ci_lower,ci_upper,ci_level,uncertainty_unit,n_seeds,n_bootstrap,run_mode,paper_result,config_hash,notes,empirical_mean_delay
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,geometric_mid,geometric_mid,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,geometric_mid,2,"Geometric
delay",1.6796089436156705,1.6796089436156705,1.6796089436156705,0.95,shared_seed,1,1000,fast,False,819e27ba1a1852ae,blocked_validation_error: missing formal setting ids,15.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,geometric_mid,geometric_mid,source_labelled,Source labelled,source_labelled,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,geometric_mid,2,"Geometric
delay",0.3718006766108772,0.3718006766108772,0.3718006766108772,0.95,shared_seed,1,1000,fast,False,4d51e5f6239adce2,blocked_validation_error: missing formal setting ids,15.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,geometric_mid,geometric_mid,soft_attribution_em,Soft attribution,partial_attribution,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,geometric_mid,2,"Geometric
delay",0.5616331351967353,0.5616331351967353,0.5616331351967353,0.95,shared_seed,1,1000,fast,False,9fcfc7ac57b36c15,blocked_validation_error: missing formal setting ids,15.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,geometric_mid,geometric_mid,proxy_state,Proxy state,proxy_state,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,geometric_mid,2,"Geometric
delay",1.7360346912386175,1.7360346912386175,1.7360346912386175,0.95,shared_seed,1,1000,fast,False,1f73229e53c27430,blocked_validation_error: missing formal setting ids,15.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,geometric_mid,geometric_mid,oracle_reference,Oracle reference†,oracle_reference,oracle_reference,False,False,causal_regret_per_round,causal_regret_final_divided_by_t,geometric_mid,2,"Geometric
delay",0.0,0.0,0.0,0.95,shared_seed,1,1000,fast,False,098b3285372b3fa0,blocked_validation_error: missing formal setting ids,15.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,mixture_mid,mixture_mid,arrival_time_naive,Arrival time,arrival_time,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,mixture_mid,3,"Mixture
delay",1.0127963243658797,1.0127963243658797,1.0127963243658797,0.95,shared_seed,1,1000,fast,False,b76e883107f7fac0,blocked_validation_error: missing formal setting ids,15.005931683370832
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,mixture_mid,mixture_mid,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,mixture_mid,3,"Mixture
delay",1.6946053237789522,1.6946053237789522,1.6946053237789522,0.95,shared_seed,1,1000,fast,False,9b50017009423846,blocked_validation_error: missing formal setting ids,15.005931683370832
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,mixture_mid,mixture_mid,source_labelled,Source labelled,source_labelled,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,mixture_mid,3,"Mixture
delay",0.37769997150083673,0.37769997150083673,0.37769997150083673,0.95,shared_seed,1,1000,fast,False,796987dec4d585c9,blocked_validation_error: missing formal setting ids,15.005931683370832
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,mixture_mid,mixture_mid,soft_attribution_em,Soft attribution,partial_attribution,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,mixture_mid,3,"Mixture
delay",0.5394348737784833,0.5394348737784833,0.5394348737784833,0.95,shared_seed,1,1000,fast,False,b456edc7354ef52c,blocked_validation_error: missing formal setting ids,15.005931683370832
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,mixture_mid,mixture_mid,proxy_state,Proxy state,proxy_state,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,mixture_mid,3,"Mixture
delay",1.2832262993946502,1.2832262993946502,1.2832262993946502,0.95,shared_seed,1,1000,fast,False,11ad27ab5fe3fcf0,blocked_validation_error: missing formal setting ids,15.005931683370832
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,mixture_mid,mixture_mid,oracle_reference,Oracle reference†,oracle_reference,oracle_reference,False,False,causal_regret_per_round,causal_regret_final_divided_by_t,mixture_mid,3,"Mixture
delay",0.0,0.0,0.0,0.95,shared_seed,1,1000,fast,False,fa51946f33d5335e,blocked_validation_error: missing formal setting ids,15.005931683370832
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,structural_mid,structural_mid,arrival_time_naive,Arrival time,arrival_time,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,structural_mid,4,"Structural
delay",0.9916414766883512,0.9916414766883512,0.9916414766883512,0.95,shared_seed,1,1000,fast,False,0a94e9635424ffdf,blocked_validation_error: missing formal setting ids,15.000216778668978
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,structural_mid,structural_mid,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,structural_mid,4,"Structural
delay",1.6585455615832856,1.6585455615832856,1.6585455615832856,0.95,shared_seed,1,1000,fast,False,6dbc111a134c8ad2,blocked_validation_error: missing formal setting ids,15.000216778668978
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,structural_mid,structural_mid,source_labelled,Source labelled,source_labelled,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,structural_mid,4,"Structural
delay",0.48717195167013877,0.48717195167013877,0.48717195167013877,0.95,shared_seed,1,1000,fast,False,da69191849fb9f26,blocked_validation_error: missing formal setting ids,15.000216778668978
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,structural_mid,structural_mid,soft_attribution_em,Soft attribution,partial_attribution,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,structural_mid,4,"Structural
delay",0.554946505688951,0.554946505688951,0.554946505688951,0.95,shared_seed,1,1000,fast,False,e3570b1bd303ccac,blocked_validation_error: missing formal setting ids,15.000216778668978
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,structural_mid,structural_mid,proxy_state,Proxy state,proxy_state,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,structural_mid,4,"Structural
delay",0.9523302088912268,0.9523302088912268,0.9523302088912268,0.95,shared_seed,1,1000,fast,False,09c38aad07f5d1bc,blocked_validation_error: missing formal setting ids,15.000216778668978
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,structural_mid,structural_mid,oracle_reference,Oracle reference†,oracle_reference,oracle_reference,False,False,causal_regret_per_round,causal_regret_final_divided_by_t,structural_mid,4,"Structural
delay",0.0,0.0,0.0,0.95,shared_seed,1,1000,fast,False,330d9ce07bd5a340,blocked_validation_error: missing formal setting ids,15.000216778668978
