figure_id,panel_id,experiment_id,subexperiment_id,setting_id,method_id,method_display_name,information_interface,reference_role,diagnostic_only,deployable,metric_id,metric_formula_id,x_id,x_value,x_display_label,y_value,ci_lower,ci_upper,ci_level,uncertainty_unit,n_seeds,n_bootstrap,n_events,n_users,filter_id,filter_description,run_mode,paper_result,notes
fig_exp1_validity_boundary,panel_a,exp1_controlled_validity,matched_mean_delay,mixture_matched_15,source_labelled,Source labelled,source_labelled,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,3.0,Mixture,0.3144209310305086,0.3038574675141491,0.3246527690584277,0.95,shared_simulation_seed,30,2000,146562,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_a,exp1_controlled_validity,matched_mean_delay,state_structural_matched_15,oracle_reference,Context oracle reference,oracle_reference,oracle_reference,False,False,causal_regret_per_round,R_T^c / T,delay_setting,4.0,State structural,0.0,0.0,0.0,0.95,shared_simulation_seed,30,2000,141326,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_a,exp1_controlled_validity,matched_mean_delay,state_structural_matched_15,arrival_time_naive,Arrival time,arrival_time,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,4.0,State structural,0.974262933655057,0.9226316200939167,1.0263795333512478,0.95,shared_simulation_seed,30,2000,141326,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_a,exp1_controlled_validity,matched_mean_delay,state_structural_matched_15,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,4.0,State structural,1.5255698585820487,1.4782837318842,1.5713844268167825,0.95,shared_simulation_seed,30,2000,141326,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_a,exp1_controlled_validity,matched_mean_delay,state_structural_matched_15,source_labelled,Source labelled,source_labelled,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,4.0,State structural,0.34902483488809,0.3355506340147231,0.3625492695881042,0.95,shared_simulation_seed,30,2000,141326,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_b,exp1_controlled_validity,matched_mean_delay,geometric_matched_15,oracle_reference,Context oracle reference,oracle_reference,oracle_reference,False,False,causal_regret_per_round,R_T^c / T,delay_setting,0.0,Geometric,0.0,0.0,0.0,0.95,shared_simulation_seed,30,2000,149338,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_b,exp1_controlled_validity,matched_mean_delay,geometric_matched_15,arrival_time_naive,Arrival time,arrival_time,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,0.0,Geometric,1.1386709041445864,1.0776800724290558,1.199695077169307,0.95,shared_simulation_seed,30,2000,149338,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_b,exp1_controlled_validity,matched_mean_delay,geometric_matched_15,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,0.0,Geometric,1.538615410977084,1.4928155670605583,1.5847177958794356,0.95,shared_simulation_seed,30,2000,149338,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_b,exp1_controlled_validity,matched_mean_delay,geometric_matched_15,source_labelled,Source labelled,source_labelled,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,0.0,Geometric,0.3142587883916097,0.3019416567209566,0.3252549978723525,0.95,shared_simulation_seed,30,2000,149338,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_b,exp1_controlled_validity,matched_mean_delay,mixture_matched_15,oracle_reference,Context oracle reference,oracle_reference,oracle_reference,False,False,causal_regret_per_round,R_T^c / T,delay_setting,1.0,Mixture,0.0,0.0,0.0,0.95,shared_simulation_seed,30,2000,146562,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_b,exp1_controlled_validity,matched_mean_delay,mixture_matched_15,arrival_time_naive,Arrival time,arrival_time,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,1.0,Mixture,0.8251432025702246,0.7849518070751934,0.8642598388371026,0.95,shared_simulation_seed,30,2000,146562,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_b,exp1_controlled_validity,matched_mean_delay,mixture_matched_15,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,1.0,Mixture,1.5220115786539077,1.479009803691639,1.5654404853645767,0.95,shared_simulation_seed,30,2000,146562,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_b,exp1_controlled_validity,matched_mean_delay,mixture_matched_15,source_labelled,Source labelled,source_labelled,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,1.0,Mixture,0.3144209310305086,0.3040433250277063,0.3244718979684098,0.95,shared_simulation_seed,30,2000,146562,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_b,exp1_controlled_validity,matched_mean_delay,state_structural_matched_15,oracle_reference,Context oracle reference,oracle_reference,oracle_reference,False,False,causal_regret_per_round,R_T^c / T,delay_setting,2.0,State structural,0.0,0.0,0.0,0.95,shared_simulation_seed,30,2000,141326,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_b,exp1_controlled_validity,matched_mean_delay,state_structural_matched_15,arrival_time_naive,Arrival time,arrival_time,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,2.0,State structural,0.974262933655057,0.9254596060405322,1.0292058865631448,0.95,shared_simulation_seed,30,2000,141326,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_b,exp1_controlled_validity,matched_mean_delay,state_structural_matched_15,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,2.0,State structural,1.5255698585820487,1.4776695890491407,1.5741410894517345,0.95,shared_simulation_seed,30,2000,141326,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
fig_exp1_validity_boundary,panel_b,exp1_controlled_validity,matched_mean_delay,state_structural_matched_15,source_labelled,Source labelled,source_labelled,none,False,True,causal_regret_per_round,R_T^c / T,delay_setting,2.0,State structural,0.34902483488809,0.3355227149880718,0.3627799789130424,0.95,shared_simulation_seed,30,2000,141326,0,labelled_core_methods,Full source-label regime; no cross-regime method comparison.,full,True,
