method_id,source_label_rate_q,proxy_noise_sigma,n_seeds,n_rows,causal_regret_per_round_mean,causal_regret_per_round_se,causal_regret_per_round_ci_low,causal_regret_per_round_ci_high,causal_regret_all_rounds_mean,causal_regret_all_rounds_se,causal_regret_all_rounds_ci_low,causal_regret_all_rounds_ci_high,final_causal_regret_mean,final_causal_regret_se,final_causal_regret_ci_low,final_causal_regret_ci_high,mean_delay_mean,mean_delay_se,mean_delay_ci_low,mean_delay_ci_high,pending_at_horizon_mean,pending_at_horizon_se,pending_at_horizon_ci_low,pending_at_horizon_ci_high,pending_fraction_mean,pending_fraction_se,pending_fraction_ci_low,pending_fraction_ci_high,source_state_mismatch_mean,source_state_mismatch_se,source_state_mismatch_ci_low,source_state_mismatch_ci_high,ranking_reversal_rate_mean,ranking_reversal_rate_se,ranking_reversal_rate_ci_low,ranking_reversal_rate_ci_high,wrong_assignment_rate_mean,wrong_assignment_rate_se,wrong_assignment_rate_ci_low,wrong_assignment_rate_ci_high,labelled_arrival_fraction_mean,labelled_arrival_fraction_se,labelled_arrival_fraction_ci_low,labelled_arrival_fraction_ci_high,ci_level,uncertainty_unit,n_bootstrap,proxy_state_error_per_round_mean,proxy_state_error_per_round_se,proxy_state_error_per_round_ci_low,proxy_state_error_per_round_ci_high,absolute_proxy_distortion_per_round_mean,absolute_proxy_distortion_per_round_se,absolute_proxy_distortion_per_round_ci_low,absolute_proxy_distortion_per_round_ci_high,proxy_ranking_reversal_rate_mean,proxy_ranking_reversal_rate_se,proxy_ranking_reversal_rate_ci_low,proxy_ranking_reversal_rate_ci_high
arrival_time_naive,0.0,0.25,3,3,0.605966464263815,0.009311677075773949,,,0.6069132121502906,0.009499825595230417,,,3034.566060751453,47.49912797615223,,,2.0,0.0,,,6.0,0.0,,,0.0012,0.0,,,0.31056787502462857,0.0036515013537692952,,,0.1661994393271926,0.0017030237381088149,,,0.8432118542250701,0.003411928425879585,,,0.0,0.0,,,,fast_preview_point_estimate_only,0,,,,,,,,,,,,
arrival_time_naive,0.1,0.25,3,3,0.605966464263815,0.009311677075773949,,,0.6069132121502906,0.009499825595230417,,,3034.566060751453,47.49912797615223,,,2.0,0.0,,,6.0,0.0,,,0.0012,0.0,,,0.31056787502462857,0.0036515013537692952,,,0.1661994393271926,0.0017030237381088149,,,0.8432118542250701,0.003411928425879585,,,0.0,0.0,,,,fast_preview_point_estimate_only,0,,,,,,,,,,,,
arrival_time_naive,0.3,0.25,3,3,0.605966464263815,0.009311677075773949,,,0.6069132121502906,0.009499825595230417,,,3034.566060751453,47.49912797615223,,,2.0,0.0,,,6.0,0.0,,,0.0012,0.0,,,0.31056787502462857,0.0036515013537692952,,,0.1661994393271926,0.0017030237381088149,,,0.8432118542250701,0.003411928425879585,,,0.0,0.0,,,,fast_preview_point_estimate_only,0,,,,,,,,,,,,
arrival_time_naive,0.5,0.25,3,3,0.605966464263815,0.009311677075773949,,,0.6069132121502906,0.009499825595230417,,,3034.566060751453,47.49912797615223,,,2.0,0.0,,,6.0,0.0,,,0.0012,0.0,,,0.31056787502462857,0.0036515013537692952,,,0.1661994393271926,0.0017030237381088149,,,0.8432118542250701,0.003411928425879585,,,0.0,0.0,,,,fast_preview_point_estimate_only,0,,,,,,,,,,,,
arrival_time_naive,0.7,0.25,3,3,0.605966464263815,0.009311677075773949,,,0.6069132121502906,0.009499825595230417,,,3034.566060751453,47.49912797615223,,,2.0,0.0,,,6.0,0.0,,,0.0012,0.0,,,0.31056787502462857,0.0036515013537692952,,,0.1661994393271926,0.0017030237381088149,,,0.8432118542250701,0.003411928425879585,,,0.0,0.0,,,,fast_preview_point_estimate_only,0,,,,,,,,,,,,
arrival_time_naive,1.0,0.25,3,3,0.605966464263815,0.009311677075773949,,,0.6069132121502906,0.009499825595230417,,,3034.566060751453,47.49912797615223,,,2.0,0.0,,,6.0,0.0,,,0.0012,0.0,,,0.31056787502462857,0.0036515013537692952,,,0.1661994393271926,0.0017030237381088149,,,0.8432118542250701,0.003411928425879585,,,0.0,0.0,,,,fast_preview_point_estimate_only,0,,,,,,,,,,,,
observable_history_surrogate,0.0,0.25,3,3,0.5677863431160001,0.008873661111356547,,,0.5698516130899868,0.008389258805757058,,,2849.258065449934,41.94629402878533,,,2.0,0.0,,,6.0,0.0,,,0.0012,0.0,,,0.31056787502462857,0.0036515013537692952,,,0.1661994393271926,0.0017030237381088149,,,0.0,0.0,,,0.0,0.0,,,,fast_preview_point_estimate_only,0,,,,,,,,,,,,
observable_history_surrogate,0.1,0.25,3,3,0.5677863431160001,0.008873661111356547,,,0.5698516130899868,0.008389258805757058,,,2849.258065449934,41.94629402878533,,,2.0,0.0,,,6.0,0.0,,,0.0012,0.0,,,0.31056787502462857,0.0036515013537692952,,,0.1661994393271926,0.0017030237381088149,,,0.0,0.0,,,0.0,0.0,,,,fast_preview_point_estimate_only,0,,,,,,,,,,,,
observable_history_surrogate,0.3,0.25,3,3,0.5677863431160001,0.008873661111356547,,,0.5698516130899868,0.008389258805757058,,,2849.258065449934,41.94629402878533,,,2.0,0.0,,,6.0,0.0,,,0.0012,0.0,,,0.31056787502462857,0.0036515013537692952,,,0.1661994393271926,0.0017030237381088149,,,0.0,0.0,,,0.0,0.0,,,,fast_preview_point_estimate_only,0,,,,,,,,,,,,
observable_history_surrogate,0.5,0.25,3,3,0.5677863431160001,0.008873661111356547,,,0.5698516130899868,0.008389258805757058,,,2849.258065449934,41.94629402878533,,,2.0,0.0,,,6.0,0.0,,,0.0012,0.0,,,0.31056787502462857,0.0036515013537692952,,,0.1661994393271926,0.0017030237381088149,,,0.0,0.0,,,0.0,0.0,,,,fast_preview_point_estimate_only,0,,,,,,,,,,,,
observable_history_surrogate,0.7,0.25,3,3,0.5677863431160001,0.008873661111356547,,,0.5698516130899868,0.008389258805757058,,,2849.258065449934,41.94629402878533,,,2.0,0.0,,,6.0,0.0,,,0.0012,0.0,,,0.31056787502462857,0.0036515013537692952,,,0.1661994393271926,0.0017030237381088149,,,0.0,0.0,,,0.0,0.0,,,,fast_preview_point_estimate_only,0,,,,,,,,,,,,
observable_history_surrogate,1.0,0.25,3,3,0.5677863431160001,0.008873661111356547,,,0.5698516130899868,0.008389258805757058,,,2849.258065449934,41.94629402878533,,,2.0,0.0,,,6.0,0.0,,,0.0012,0.0,,,0.31056787502462857,0.0036515013537692952,,,0.1661994393271926,0.0017030237381088149,,,0.0,0.0,,,0.0,0.0,,,,fast_preview_point_estimate_only,0,,,,,,,,,,,,
