experiment_id,delay_setting,delay_family,setting_role,policy_dependent_delay,regime,method,n_seeds,mean_final_Rc,se_final_Rc,ci95_low,ci95_high,mean_delay,trace_observed_mean_delay,arrival_rate
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,labelled,anonymous_delayed,30,7729.434923405196,118.90130257078545,7496.388370366457,7962.481476443935,15.037525187797286,15.000114652012371,0.92868
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,labelled,causal_em,30,1780.5039405911996,39.499543035508715,1703.0848362416025,1857.9230449407967,15.380705270555323,15.000114652012371,0.9241466666666668
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,labelled,causal_em_misspecified,30,1784.6645677652848,47.02142777756576,1692.5025693212558,1876.8265662093138,14.46299775272161,15.000114652012371,0.9282466666666667
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,labelled,causal_labeled,30,1782.6653439436163,41.51395796015787,1701.297986341707,1864.0327015455257,15.390680726960543,15.000114652012371,0.9224933333333333
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,labelled,delayed_exp3,30,7616.244350026818,120.71416368965902,7379.644589195086,7852.84411085855,15.012678046864098,15.000114652012371,0.9278533333333333
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,labelled,delayed_ucb,30,4850.102647514942,93.58897674387971,4666.668253096937,5033.5370419329465,15.000834741350758,15.000114652012371,0.9282
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,labelled,naive,30,4738.001950167536,168.0514260708344,4408.6211550687,5067.382745266372,14.720577148121944,15.000114652012371,0.9269933333333334
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,labelled,naive_ewma,30,4748.242825236283,133.5906944391958,4486.40506413546,5010.080586337107,14.757392643881,15.000114652012371,0.9269133333333334
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,labelled,oracle,30,0.0,0.0,0.0,0.0,14.828250237968609,15.000114652012371,0.9293733333333333
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,labelled,proxy,30,1863.970591515993,47.777873411742476,1770.3259596289777,1957.6152234030083,14.901589550158986,15.000114652012371,0.9230133333333334
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,labelled,sliding_window_W250,30,7026.641320994862,104.52892809600199,6821.764621926698,7231.518020063027,15.099628693979472,15.000114652012371,0.9277866666666666
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,mixture_labelled,anonymous_delayed,30,7729.315820782658,123.05987000249938,7488.118475577759,7970.513165987557,15.049671344127711,15.000114652012371,0.9285666666666668
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,mixture_labelled,causal_em,30,2692.1108503801274,71.43546614558655,2552.097336734778,2832.124364025477,14.374366476672542,15.000114652012371,0.9297000000000001
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,mixture_labelled,causal_em_misspecified,30,2568.4548639474606,62.7867685895731,2445.3927975118972,2691.516930383024,14.3477671390193,15.000114652012371,0.9307400000000001
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,mixture_labelled,causal_labeled,30,2879.9072816803014,68.99472509900585,2744.67762048625,3015.136942874353,14.90620557096619,15.000114652012371,0.9211266666666665
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,mixture_labelled,delayed_exp3,30,7640.657054374937,115.67208612837236,7413.939765563327,7867.374343186547,15.014148278210266,15.000114652012371,0.9271866666666665
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,mixture_labelled,delayed_ucb,30,4887.2681958274625,112.91781588659272,4665.949276689741,5108.587114965184,14.917199227403712,15.000114652012371,0.9300666666666665
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,mixture_labelled,naive,30,4691.929544191438,156.03010560821238,4386.110537199342,4997.748551183535,14.31476496449547,15.000114652012371,0.9318599999999999
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,mixture_labelled,naive_ewma,30,4912.647412438814,152.91685731215867,4612.930372106983,5212.364452770646,14.844945598848279,15.000114652012371,0.9300133333333332
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,mixture_labelled,oracle,30,0.0,0.0,0.0,0.0,14.828250237968609,15.000114652012371,0.9293733333333333
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,mixture_labelled,proxy,30,2706.2184902206272,63.55466134509741,2581.6513539842363,2830.785626457018,14.14382042537383,15.000114652012371,0.9339333333333333
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,mixture_labelled,sliding_window_W250,30,7099.228211280822,103.312661310778,6896.735395111697,7301.721027449947,15.04921251280968,15.000114652012371,0.9285466666666667
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,unlabelled,anonymous_delayed,30,7733.227561936019,118.3841797236888,7501.194569677589,7965.260554194449,15.046065920123114,15.000114652012371,0.9277733333333333
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,unlabelled,causal_em,30,4777.9433484052515,185.90698427004153,4413.56565923597,5142.321037574533,14.346571557130796,15.000114652012371,0.9398066666666668
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,unlabelled,causal_em_misspecified,30,5215.189569937556,197.21262034201226,4828.652834067212,5601.726305807901,14.339056596880884,15.000114652012371,0.9287733333333333
exp1_controlled_identifiability_contextual,action_structural_stress,action_structural,policy_dependent_stress,True,unlabelled,causal_labeled,30,7758.903780497586,125.80607156651492,7512.323880227217,8005.483680767955,14.99593639298882,15.000114652012371,0.9284066666666667
