control_id,control_display_name,correspondence_status,raw_defect,oof_calibrated_defect,recoverability,negative_recoverability_rate,estimability_rate,minimum_training_support,monte_carlo_replications,analysis_tier,run_id,run_tier,paper_result,experiment_id,module_id,code_commit,config_hash,source_code_hash,calibration_hash,result_schema,seed_or_replication
affine_linked,Affine-linked control,preserved by construction,0.5815165225499298,0.15621088119298576,0.7312124455253525,0.0,1.0,428,10,primary,fast_20260806T071500Z_2efad11d,fast,False,exp4_controlled_route_audit,module_c_calibration_controls,339a5d71930a05939f8a98fda3cdda11bbcbd5be,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,9f449fa0ef13523eb6544f0abd018e671816b02700640b0215b7f6f9e560ddf9,c0515deecd64a918cc8ca78e346c6a571a7f8ec497e172090e78c2d23bd91057,exp4_controlled_route_audit_v2,aggregate
blocked_correspondence_destroyed,Temporally blocked correspondence-destroyed control,destroyed within temporal blocks,1.4356938637214156,0.8766230994979726,0.3893364825918112,0.0,1.0,428,10,primary,fast_20260806T071500Z_2efad11d,fast,False,exp4_controlled_route_audit,module_c_calibration_controls,339a5d71930a05939f8a98fda3cdda11bbcbd5be,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,9f449fa0ef13523eb6544f0abd018e671816b02700640b0215b7f6f9e560ddf9,c0515deecd64a918cc8ca78e346c6a571a7f8ec497e172090e78c2d23bd91057,exp4_controlled_route_audit_v2,aggregate
nonlinear_monotone,Nonlinear monotone control,monotone but outside affine family,0.1870536682257315,0.10949540772162436,0.4145570022500765,0.0,1.0,428,10,appendix,fast_20260806T071500Z_2efad11d,fast,False,exp4_controlled_route_audit,module_c_calibration_controls,339a5d71930a05939f8a98fda3cdda11bbcbd5be,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,9f449fa0ef13523eb6544f0abd018e671816b02700640b0215b7f6f9e560ddf9,c0515deecd64a918cc8ca78e346c6a571a7f8ec497e172090e78c2d23bd91057,exp4_controlled_route_audit_v2,aggregate
